5 ,S. VETTEL
6 ,N. ROSBERG
3 ,D. RICCIARDO
LAP  ,TIME,LAP  ,TIME
1 ,14:07:49 ,36 ,1:28.587
2 ,1:31.382 ,37 ,1:28.387
3 ,1:30.333 ,38 ,1:28.429
4 ,1:29.962 ,39 ,1:28.740
5 ,1:29.525 ,40 ,1:29.493
6 ,1:29.663 ,41 ,1:28.853
7 ,1:29.597 ,42 P ,1:39.537
8 ,1:29.516 ,43 ,2:07.620
9 ,1:29.429 ,44 ,1:51.996
10 ,1:28.830 ,45 P ,1:52.519
11 ,1:28.888 ,46 P ,2:23.890
12 ,1:29.433 ,47 ,2:18.742
13 ,1:28.409 ,48 ,2:04.052
14 ,1:28.625 ,49 ,1:30.229
15 ,1:28.717 ,50 ,1:28.552
16 ,1:28.679 ,51 ,1:26.961
17 ,1:28.926 ,52 ,1:26.508
18 ,1:28.804 ,53 ,1:26.623
19 ,1:29.211 ,54 ,1:26.794
20 ,1:29.209 ,55 ,1:26.750
21 P ,1:32.192 ,56 ,1:27.258
22 ,1:46.428 ,57 ,1:27.113
23 ,1:28.345 ,58 ,1:27.289
24 ,1:28.378 ,59 ,1:27.015
25 ,1:29.096 ,60 ,1:27.305
26 ,1:28.407 ,61 ,1:27.115
27 ,1:28.419 ,62 ,1:27.137
28 ,1:28.732 ,63 ,1:27.016
29 ,1:29.692 ,64 P ,1:32.601
30 ,1:28.696 ,65 ,1:53.294
31 ,1:28.924 ,66 ,1:25.315
32 ,1:28.428 ,67 ,1:25.016
33 ,1:28.108 ,68 ,1:24.821
34 ,1:28.444 ,69 ,1:26.611
35 ,1:28.281,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:07:46 ,36 ,1:28.835
2 ,1:29.499 ,37 ,1:29.801
3 ,1:28.808 ,38 ,1:29.075
4 ,1:28.409 ,39 ,1:27.883
5 ,1:28.277 ,40 ,1:27.979
6 ,1:28.214 ,41 ,1:28.541
7 ,1:28.563 ,42 P ,1:35.026
8 ,1:28.459 ,43 ,2:08.803
9 ,1:28.692 ,44 ,1:52.056
10 ,1:28.888 ,45 P ,2:01.971
11 ,1:29.092 ,46 P ,2:25.394
12 ,1:28.658 ,47 ,2:25.489
13 ,1:28.591 ,48 ,2:06.108
14 ,1:29.027 ,49 ,1:28.251
15 ,1:28.549 ,50 ,1:27.394
16 ,1:28.276 ,51 ,1:27.318
17 ,1:28.794 ,52 ,1:26.917
18 ,1:28.521 ,53 ,1:27.083
19 ,1:28.531 ,54 ,1:27.672
20 P ,1:31.910 ,55 ,1:27.569
21 ,1:46.432 ,56 ,1:27.363
22 ,1:28.360 ,57 ,1:27.453
23 ,1:27.970 ,58 ,1:27.095
24 ,1:29.195 ,59 ,1:27.150
25 ,1:29.055 ,60 ,1:27.224
26 ,1:28.072 ,61 ,1:27.153
27 ,1:29.039 ,62 ,1:27.052
28 ,1:28.561 ,63 ,1:27.179
29 ,1:28.339 ,64 P ,2:07.418
30 ,1:28.212 ,65 ,1:48.633
31 ,1:28.536 ,66 ,1:27.187
32 ,1:28.454 ,67 ,1:25.253
33 ,1:28.499 ,68 ,1:25.149
34 ,1:28.731 ,69 ,1:28.315
35 ,1:28.881,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:07:43 ,36 ,1:27.925
2 ,1:28.820 ,37 ,1:28.055
3 ,1:28.664 ,38 ,1:28.012
4 ,1:28.067 ,39 ,1:27.802
5 ,1:28.312 ,40 ,1:28.048
6 ,1:27.976 ,41 ,1:27.790
7 ,1:28.132 ,42 ,1:28.098
