SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,29.794
3 ,D. RICCIARDO ,30.091
44 ,L. HAMILTON ,30.127
7 ,K. RAIKKONEN ,30.410
26 ,D. KVYAT ,30.447
19 ,F. MASSA ,30.517
77 ,V. BOTTAS ,30.536
5 ,S. VETTEL ,30.594
13 ,P. MALDONADO ,30.627
9 ,M. ERICSSON ,30.695
33 ,M. VERSTAPPEN ,30.804
12 ,F. NASR ,30.813
11 ,S. PEREZ ,30.818
8 ,R. GROSJEAN ,30.833
14 ,F. ALONSO ,30.855
27 ,N. HULKENBERG ,30.883
55 ,C. SAINZ ,30.995
22 ,J. BUTTON ,31.029
28 ,W. STEVENS ,31.475
98 ,R. MERHI ,31.652
NO ,DRIVER ,TIME
3 ,D. RICCIARDO ,30.888
6 ,N. ROSBERG ,31.203
44 ,L. HAMILTON ,31.598
26 ,D. KVYAT ,31.693
5 ,S. VETTEL ,31.863
13 ,P. MALDONADO ,31.881
19 ,F. MASSA ,31.999
14 ,F. ALONSO ,32.051
77 ,V. BOTTAS ,32.061
7 ,K. RAIKKONEN ,32.098
33 ,M. VERSTAPPEN ,32.181
8 ,R. GROSJEAN ,32.316
12 ,F. NASR ,32.395
9 ,M. ERICSSON ,32.542
22 ,J. BUTTON ,32.544
27 ,N. HULKENBERG ,32.547
55 ,C. SAINZ ,32.571
11 ,S. PEREZ ,32.638
28 ,W. STEVENS ,33.044
98 ,R. MERHI ,33.116
NO ,DRIVER ,TIME
3 ,D. RICCIARDO ,23.753
6 ,N. ROSBERG ,23.806
44 ,L. HAMILTON ,23.953
26 ,D. KVYAT ,24.217
19 ,F. MASSA ,24.292
5 ,S. VETTEL ,24.296
14 ,F. ALONSO ,24.327
13 ,P. MALDONADO ,24.334
7 ,K. RAIKKONEN ,24.398
27 ,N. HULKENBERG ,24.429
77 ,V. BOTTAS ,24.454
12 ,F. NASR ,24.486
33 ,M. VERSTAPPEN ,24.506
22 ,J. BUTTON ,24.511
8 ,R. GROSJEAN ,24.537
9 ,M. ERICSSON ,24.653
11 ,S. PEREZ ,24.734
55 ,C. SAINZ ,24.890
28 ,W. STEVENS ,25.024
98 ,R. MERHI ,25.067
