POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:24.821 ,68 ,"","",185.939 ,15:51:18
2 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:25.149 ,68 ,0.328 ,0.578,185.223 ,15:51:51
3 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:25.727 ,68 ,0.906 ,"",183.974 ,15:51:45
"","","","","","","","",0.792,"",""
4 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:26.519 ,57 ,1.698 ,0.253,182.290 ,15:34:57
5 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:26.772 ,63 ,1.951 ,0.092,181.759 ,15:43:35
6 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:26.864 ,59 ,2.043 ,0.090,181.566 ,15:38:51
7 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:26.954 ,24 ,2.133 ,"",181.378 ,14:41:57
"","","","","","","","",0.104,"",""
8 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:27.058 ,51 ,2.237 ,0.072,181.161 ,15:27:12
9 ,13 ,P. MALDONADO ,VEN ,Lotus F1 Team ,1:27.130 ,62 ,2.309 ,0.181,181.012 ,15:43:17
10 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:27.311 ,67 ,2.490 ,0.339,180.637 ,15:50:13
11 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:27.650 ,62 ,2.829 ,"",179.938 ,15:42:47
"","","","","","","","",0.354,"",""
12 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:28.004 ,60 ,3.183 ,0.070,179.214 ,15:40:09
13 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:28.074 ,38 ,3.253 ,0.006,179.072 ,15:03:42
14 ,8 ,R. GROSJEAN ,FRA ,Lotus F1 Team ,1:28.080 ,60 ,3.259 ,0.188,179.059 ,15:40:03
15 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:28.268 ,51 ,3.447 ,0.231,178.678 ,15:26:54
16 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:28.499 ,51 ,3.678 ,0.036,178.212 ,15:26:55
17 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:28.535 ,65 ,3.714 ,0.076,178.139 ,15:47:31
18 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:28.611 ,38 ,3.790 ,"",177.986 ,15:04:03
"","","","","","","","",0.932,"",""
19 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:29.543 ,56 ,4.722 ,0.325,176.134 ,15:36:42
20 ,98 ,R. MERHI ,ESP ,Manor Marussia F1 Team ,1:29.868 ,59 ,5.047 ,"",175.497 ,15:40:38
