5 ,S. VETTEL
6 ,N. ROSBERG
3 ,D. RICCIARDO
LAP  ,TIME,LAP  ,TIME
1 ,14:08:58 ,11 ,1:57.569
2 ,1:56.263 ,12 ,1:58.162
3 ,1:56.429 ,13 ,1:57.262
4 ,1:56.453 ,14 ,1:57.035
5 ,1:56.417 ,15 ,1:57.154
6 ,1:56.785 ,16 ,1:56.331
7 P ,2:01.699 ,17 ,1:56.448
8 ,2:10.249 ,18 ,1:58.080
9 ,1:56.739 ,19 ,1:56.757
10 ,1:56.463,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:09:00 ,22 ,2:04.049
2 ,1:57.106 ,23 ,1:55.397
3 ,1:56.388 ,24 ,1:55.386
4 ,1:56.867 ,25 ,1:55.808
5 ,1:56.676 ,26 ,1:55.765
6 ,1:56.737 ,27 ,1:55.856
7 ,1:56.652 ,28 ,1:55.551
8 ,1:57.346 ,29 ,1:55.316
9 ,1:57.179 ,30 ,1:55.523
10 ,1:57.459 ,31 ,1:55.432
11 ,1:57.478 ,32 ,1:55.443
12 ,1:58.217 ,33 ,1:55.497
13 ,1:57.926 ,34 ,1:55.761
14 P ,2:02.971 ,35 ,1:55.884
15 ,2:08.622 ,36 ,1:55.711
16 ,1:56.128 ,37 ,1:55.520
17 ,1:56.184 ,38 ,1:55.696
18 ,1:56.008 ,39 ,1:56.407
19 ,1:56.115 ,40 ,1:55.949
20 ,1:56.348 ,41 ,1:56.116
21 ,2:22.634 ,42 P ,3:03.554
LAP  ,TIME,LAP  ,TIME
1 ,14:09:00 ,23 ,1:55.676
2 ,1:56.746 ,24 ,1:55.326
3 ,1:56.292 ,25 ,1:55.194
4 ,1:56.420 ,26 ,1:55.240
5 ,1:56.695 ,27 ,1:55.080
6 ,1:56.149 ,28 ,1:54.798
7 ,1:56.726 ,29 ,1:54.971
8 ,1:57.298 ,30 ,1:56.163
9 ,1:56.194 ,31 P ,2:00.170
10 ,1:56.292 ,32 ,2:05.678
11 ,1:56.589 ,33 ,1:52.669
12 P ,2:01.136 ,34 ,1:52.416
13 ,2:08.295 ,35 ,1:52.559
14 ,1:54.948 ,36 ,1:52.511
15 ,1:54.264 ,37 ,1:53.556
16 ,1:54.664 ,38 ,1:53.960
17 ,1:54.638 ,39 ,1:53.806
18 ,1:54.921 ,40 ,1:54.122
19 ,1:55.454 ,41 ,1:54.073
20 ,1:55.736 ,42 ,1:54.134
21 ,2:17.663 ,43 ,1:54.178
22 ,2:07.776,"",""
8 ,R. GROSJEAN
9 ,M. ERICSSON
7 ,K. RAIKKONEN
LAP  ,TIME,LAP  ,TIME
1 ,14:09:05 ,23 ,1:54.543
2 ,1:57.466 ,24 ,1:55.426
3 ,1:57.964 ,25 ,1:54.570
4 ,1:57.963 ,26 ,1:55.205
5 ,1:57.344 ,27 ,1:55.121
6 ,1:57.401 ,28 ,1:55.194
7 ,1:57.684 ,29 ,1:55.195
8 ,1:58.616 ,30 ,1:54.517
9 ,1:58.820 ,31 ,1:55.182
10 ,1:57.035 ,32 ,1:55.063
11 P ,2:02.307 ,33 ,1:54.817
12 ,2:08.635 ,34 ,1:55.273
13 ,1:56.655 ,35 ,1:55.626
14 ,1:56.313 ,36 ,1:55.527
15 ,1:55.810 ,37 ,1:56.505
16 ,1:55.987 ,38 ,1:56.048
17 ,1:56.247 ,39 ,1:55.899
18 ,1:56.852 ,40 ,1:56.592
19 ,1:56.389 ,41 ,1:56.381
20 ,1:56.881 ,42 ,1:57.934
21 P ,2:29.880 ,43 ,1:57.682
22 ,2:09.220,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:09:01 ,23 ,1:54.957
2 ,1:57.588 ,24 ,1:55.076
3 ,1:56.854 ,25 ,1:55.414
4 ,1:57.237 ,26 ,1:55.731
5 ,1:57.497 ,27 ,1:55.311
6 ,1:57.478 ,28 ,1:55.628
7 ,1:58.374 ,29 ,1:55.617
8 ,1:57.878 ,30 ,1:56.019
9 P ,2:02.271 ,31 ,1:55.194
10 ,2:09.016 ,32 ,1:55.043
11 ,1:56.250 ,33 ,1:55.299
12 ,1:55.666 ,34 ,1:55.004
13 ,1:56.190 ,35 ,1:55.333
14 ,1:56.167 ,36 ,1:55.311
15 ,1:55.981 ,37 ,1:54.779
16 ,1:55.513 ,38 ,1:55.397
17 ,1:55.391 ,39 ,1:56.189
18 ,1:55.818 ,40 ,1:55.915
19 ,1:56.311 ,41 ,1:56.311
20 ,1:55.769 ,42 ,1:56.254
21 P ,2:23.889 ,43 ,1:56.341
22 ,2:12.318,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:09:02 ,23 ,1:57.984
2 ,1:58.173 ,24 ,1:57.122
3 ,1:58.550 ,25 ,1:57.387
4 ,1:58.735 ,26 ,1:57.197
5 ,1:59.243 ,27 ,1:56.948
6 ,1:58.614 ,28 P ,2:01.677
