44 ,0,1:57.421
11 ,1.443 ,1:58.864
3 ,2.529 ,1:59.950
6 ,3.848 ,2:01.269
77 ,4.049 ,2:01.470
5 ,4.499 ,2:01.920
13 ,4.869 ,2:02.290
8 ,5.375 ,2:02.796
19 ,5.833 ,2:03.254
9 ,6.416 ,2:03.837
26 ,7.212 ,2:04.633
33 ,8.384 ,2:05.805
7 ,8.900 ,2:06.321
14 ,9.667 ,2:07.088
22 ,10.106 ,2:07.527
12 ,10.373 ,2:07.794
98 ,11.340 ,2:08.761
28 ,13.383 ,2:10.804
44 ,0,1:56.039
11 ,1.601 ,1:56.197
3 ,2.753 ,1:56.263
6 ,4.555 ,1:56.746
5 ,5.566 ,1:57.106
77 ,6.369 ,1:58.359
8 ,6.924 ,1:57.588
19 ,7.868 ,1:58.074
9 ,8.550 ,1:58.173
26 ,9.080 ,1:57.907
33 ,9.526 ,1:57.181
7 ,10.327 ,1:57.466
14 ,13.238 ,1:59.610
22 ,14.877 ,2:00.810
12 ,15.252 ,2:00.918
98 ,16.987 ,2:01.686
28 ,18.298 ,2:00.954
13 ,PIT  ,3:35.871
55 ,1 LAP ,5:47.531
44 ,0,1:56.017
11 ,2.061 ,1:56.477
3 ,3.165 ,1:56.429
6 ,4.830 ,1:56.292
5 ,5.937 ,1:56.388
77 ,7.145 ,1:56.793
8 ,7.761 ,1:56.854
19 ,8.819 ,1:56.968
26 ,9.769 ,1:56.706
9 ,11.083 ,1:58.550
33 ,11.714 ,1:58.205
7 ,12.274 ,1:57.964
14 ,16.417 ,1:59.196
12 ,17.234 ,1:57.999
22 ,19.658 ,2:00.798
98 ,22.246 ,2:01.276
28 ,23.739 ,2:01.458
44 ,0,1:55.782
11 ,2.687 ,1:56.408
3 ,3.836 ,1:56.453
6 ,5.468 ,1:56.420
5 ,7.022 ,1:56.867
77 ,8.644 ,1:57.281
8 ,9.216 ,1:57.237
19 ,10.450 ,1:57.413
26 ,11.507 ,1:57.520
33 ,12.583 ,1:56.651
9 ,14.036 ,1:58.735
7 ,14.455 ,1:57.963
14 ,20.122 ,1:59.487
55 ,2 LAPS ,2:18.254
12 ,21.319 ,1:59.867
22 ,24.635 ,2:00.759
