SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,30.509
11 ,S. PEREZ ,30.579
44 ,L. HAMILTON ,30.593
5 ,S. VETTEL ,30.726
19 ,F. MASSA ,30.774
7 ,K. RAIKKONEN ,30.781
27 ,N. HULKENBERG ,30.836
8 ,R. GROSJEAN ,30.842
13 ,P. MALDONADO ,30.882
77 ,V. BOTTAS ,30.918
55 ,C. SAINZ ,31.023
3 ,D. RICCIARDO ,31.128
9 ,M. ERICSSON ,31.198
33 ,M. VERSTAPPEN ,31.243
26 ,D. KVYAT ,31.298
12 ,F. NASR ,31.402
22 ,J. BUTTON ,31.751
14 ,F. ALONSO ,31.761
28 ,W. STEVENS ,32.154
98 ,R. MERHI ,32.349
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,47.786
6 ,N. ROSBERG ,48.239
3 ,D. RICCIARDO ,48.317
77 ,V. BOTTAS ,48.385
8 ,R. GROSJEAN ,48.518
13 ,P. MALDONADO ,48.536
26 ,D. KVYAT ,48.574
19 ,F. MASSA ,48.722
55 ,C. SAINZ ,48.844
11 ,S. PEREZ ,48.865
5 ,S. VETTEL ,48.871
27 ,N. HULKENBERG ,49.014
9 ,M. ERICSSON ,49.028
12 ,F. NASR ,49.184
7 ,K. RAIKKONEN ,49.256
33 ,M. VERSTAPPEN ,49.367
22 ,J. BUTTON ,49.393
14 ,F. ALONSO ,49.759
98 ,R. MERHI ,50.402
28 ,W. STEVENS ,50.606
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,28.818
6 ,N. ROSBERG ,28.851
77 ,V. BOTTAS ,29.022
19 ,F. MASSA ,29.045
5 ,S. VETTEL ,29.062
33 ,M. VERSTAPPEN ,29.076
11 ,S. PEREZ ,29.088
7 ,K. RAIKKONEN ,29.106
27 ,N. HULKENBERG ,29.129
55 ,C. SAINZ ,29.159
8 ,R. GROSJEAN ,29.177
3 ,D. RICCIARDO ,29.194
13 ,P. MALDONADO ,29.215
9 ,M. ERICSSON ,29.290
26 ,D. KVYAT ,29.334
12 ,F. NASR ,29.366
22 ,J. BUTTON ,29.834
14 ,F. ALONSO ,29.900
28 ,W. STEVENS ,30.188
98 ,R. MERHI ,30.348
