SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
26 ,D. KVYAT ,31.186
33 ,M. VERSTAPPEN ,31.463
19 ,F. MASSA ,31.557
7 ,K. RAIKKONEN ,31.752
11 ,S. PEREZ ,31.762
6 ,N. ROSBERG ,31.770
8 ,R. GROSJEAN ,31.771
77 ,V. BOTTAS ,31.786
44 ,L. HAMILTON ,31.820
5 ,S. VETTEL ,31.959
3 ,D. RICCIARDO ,31.988
55 ,C. SAINZ ,32.153
9 ,M. ERICSSON ,32.263
14 ,F. ALONSO ,32.297
12 ,F. NASR ,32.302
22 ,J. BUTTON ,32.701
98 ,R. MERHI ,33.283
28 ,W. STEVENS ,33.302
13 ,P. MALDONADO ,47.122
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,50.401
44 ,L. HAMILTON ,50.441
14 ,F. ALONSO ,50.779
12 ,F. NASR ,50.785
33 ,M. VERSTAPPEN ,50.999
26 ,D. KVYAT ,51.169
9 ,M. ERICSSON ,51.358
19 ,F. MASSA ,51.531
8 ,R. GROSJEAN ,51.593
22 ,J. BUTTON ,51.705
55 ,C. SAINZ ,51.955
11 ,S. PEREZ ,52.073
77 ,V. BOTTAS ,52.302
7 ,K. RAIKKONEN ,52.321
5 ,S. VETTEL ,52.686
3 ,D. RICCIARDO ,53.074
98 ,R. MERHI ,53.460
28 ,W. STEVENS ,53.650
13 ,P. MALDONADO ,55.384
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,29.789
33 ,M. VERSTAPPEN ,29.842
44 ,L. HAMILTON ,30.005
12 ,F. NASR ,30.035
19 ,F. MASSA ,30.062
77 ,V. BOTTAS ,30.069
26 ,D. KVYAT ,30.112
7 ,K. RAIKKONEN ,30.127
9 ,M. ERICSSON ,30.147
8 ,R. GROSJEAN ,30.190
14 ,F. ALONSO ,30.207
11 ,S. PEREZ ,30.218
5 ,S. VETTEL ,30.356
55 ,C. SAINZ ,30.424
22 ,J. BUTTON ,30.624
3 ,D. RICCIARDO ,30.647
13 ,P. MALDONADO ,30.701
28 ,W. STEVENS ,31.102
98 ,R. MERHI ,31.198
