INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
77 ,V. BOTTAS ,339.5
19 ,F. MASSA ,334.6
44 ,L. HAMILTON ,330.8
6 ,N. ROSBERG ,329.4
55 ,C. SAINZ ,328.8
11 ,S. PEREZ ,328.3
7 ,K. RAIKKONEN ,327.7
26 ,D. KVYAT ,327.6
12 ,F. NASR ,327.1
3 ,D. RICCIARDO ,326.5
27 ,N. HULKENBERG ,326.1
9 ,M. ERICSSON ,324.5
5 ,S. VETTEL ,323.1
22 ,J. BUTTON ,322.9
8 ,R. GROSJEAN ,322.0
33 ,M. VERSTAPPEN ,318.3
14 ,F. ALONSO ,314.6
98 ,R. MERHI ,301.2
28 ,W. STEVENS ,300.5
13 ,P. MALDONADO ,235.9
NO ,DRIVER ,KPH
3 ,D. RICCIARDO ,344.6
26 ,D. KVYAT ,343.9
9 ,M. ERICSSON ,343.5
7 ,K. RAIKKONEN ,343.4
11 ,S. PEREZ ,342.0
77 ,V. BOTTAS ,341.7
6 ,N. ROSBERG ,339.9
19 ,F. MASSA ,336.8
44 ,L. HAMILTON ,336.0
22 ,J. BUTTON ,333.8
27 ,N. HULKENBERG ,333.7
55 ,C. SAINZ ,333.1
5 ,S. VETTEL ,332.9
12 ,F. NASR ,331.4
33 ,M. VERSTAPPEN ,329.3
8 ,R. GROSJEAN ,327.7
14 ,F. ALONSO ,318.9
28 ,W. STEVENS ,318.1
98 ,R. MERHI ,315.6
13 ,P. MALDONADO ,201.7
NO ,DRIVER ,KPH
77 ,V. BOTTAS ,320.4
19 ,F. MASSA ,320.1
44 ,L. HAMILTON ,318.4
6 ,N. ROSBERG ,317.7
7 ,K. RAIKKONEN ,316.0
55 ,C. SAINZ ,315.6
3 ,D. RICCIARDO ,315.5
5 ,S. VETTEL ,315.3
11 ,S. PEREZ ,314.4
9 ,M. ERICSSON ,314.1
33 ,M. VERSTAPPEN ,314.0
26 ,D. KVYAT ,313.6
12 ,F. NASR ,311.9
27 ,N. HULKENBERG ,311.5
14 ,F. ALONSO ,310.6
8 ,R. GROSJEAN ,309.7
22 ,J. BUTTON ,306.2
28 ,W. STEVENS ,301.6
98 ,R. MERHI ,298.5
