NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
12 ,F. NASR ,Sauber F1 Team ,1 ,14:05:00 ,"",1 ,"",25.761 ,25.761
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,1 ,14:05:02 ,"",1 ,"",18.818 ,18.818
55 ,C. SAINZ ,Scuderia Toro Rosso ,10 ,14:18:38 ,"",1 ,"",30.358 ,30.358
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,18 ,14:30:11 ,"",1 ,"",24.657 ,24.657
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,18 ,14:30:23 ,"",1 ,"",24.286 ,24.286
19 ,F. MASSA ,Williams Martini Racing ,19 ,14:31:39 ,"",1 ,"",25.207 ,25.207
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,19 ,14:32:19 ,"",2 ,"",25.318 ,44.136
9 ,M. ERICSSON ,Sauber F1 Team ,20 ,14:33:26 ,"",1 ,"",24.842 ,24.842
77 ,V. BOTTAS ,Williams Martini Racing ,22 ,14:36:10 ,"",1 ,"",25.536 ,25.536
11 ,S. PEREZ ,Sahara Force India F1 Team ,23 ,14:37:46 ,"",1 ,"",24.281 ,24.281
12 ,F. NASR ,Sauber F1 Team ,24 ,14:40:02 ,"",2 ,"",25.282 ,51.043
5 ,S. VETTEL ,Scuderia Ferrari ,25 ,14:40:24 ,"",1 ,"",24.340 ,24.340
22 ,J. BUTTON ,McLaren Honda ,25 ,14:41:32 ,"",1 ,"",24.310 ,24.310
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,26 ,14:41:34 ,"",1 ,"",24.368 ,24.368
28 ,W. STEVENS ,Manor Marussia F1 Team ,26 ,14:43:37 ,"",1 ,"",29.382 ,29.382
26 ,D. KVYAT ,Infiniti Red Bull Racing ,27 ,14:44:11 ,"",1 ,"",23.884 ,23.884
7 ,K. RAIKKONEN ,Scuderia Ferrari ,28 ,14:45:20 ,"",1 ,"",24.442 ,24.442
98 ,R. MERHI ,Manor Marussia F1 Team ,27 ,14:45:21 ,"",1 ,"",26.435 ,26.435
14 ,F. ALONSO ,McLaren Honda ,28 ,14:46:15 ,"",1 ,"",24.330 ,24.330
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,30 ,14:48:35 ,"",1 ,"",24.259 ,24.259
55 ,C. SAINZ ,Scuderia Toro Rosso ,30 ,14:48:54 ,"",2 ,"",24.736 ,55.094
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,33 ,14:53:32 ,"",3 ,"",24.938 ,1:09.074
14 ,F. ALONSO ,McLaren Honda ,46 ,15:13:37 ,"",2 ,"",19.374 ,43.704
