SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,27.571
77 ,V. BOTTAS ,27.593
19 ,F. MASSA ,27.740
5 ,S. VETTEL ,27.776
6 ,N. ROSBERG ,27.804
7 ,K. RAIKKONEN ,27.854
11 ,S. PEREZ ,27.972
9 ,M. ERICSSON ,28.049
3 ,D. RICCIARDO ,28.063
55 ,C. SAINZ ,28.066
33 ,M. VERSTAPPEN ,28.069
27 ,N. HULKENBERG ,28.163
26 ,D. KVYAT ,28.177
12 ,F. NASR ,28.225
14 ,F. ALONSO ,28.372
22 ,J. BUTTON ,28.582
28 ,W. STEVENS ,29.087
98 ,R. MERHI ,29.326
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,29.957
6 ,N. ROSBERG ,29.969
33 ,M. VERSTAPPEN ,30.023
5 ,S. VETTEL ,30.028
3 ,D. RICCIARDO ,30.061
55 ,C. SAINZ ,30.067
7 ,K. RAIKKONEN ,30.100
26 ,D. KVYAT ,30.137
77 ,V. BOTTAS ,30.288
11 ,S. PEREZ ,30.367
19 ,F. MASSA ,30.410
12 ,F. NASR ,30.461
9 ,M. ERICSSON ,30.511
27 ,N. HULKENBERG ,30.588
14 ,F. ALONSO ,30.791
22 ,J. BUTTON ,30.827
28 ,W. STEVENS ,31.049
98 ,R. MERHI ,31.247
8 ,R. GROSJEAN ,31.443
13 ,P. MALDONADO ,51.239
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,29.000
6 ,N. ROSBERG ,29.097
5 ,S. VETTEL ,29.116
55 ,C. SAINZ ,29.219
33 ,M. VERSTAPPEN ,29.233
3 ,D. RICCIARDO ,29.257
7 ,K. RAIKKONEN ,29.354
77 ,V. BOTTAS ,29.482
26 ,D. KVYAT ,29.561
19 ,F. MASSA ,29.581
11 ,S. PEREZ ,29.647
12 ,F. NASR ,29.771
14 ,F. ALONSO ,29.809
27 ,N. HULKENBERG ,29.818
9 ,M. ERICSSON ,29.819
22 ,J. BUTTON ,30.071
8 ,R. GROSJEAN ,30.306
98 ,R. MERHI ,30.614
28 ,W. STEVENS ,30.657
