3 ,D. RICCIARDO
5 ,S. VETTEL
6 ,N. ROSBERG
LAP  ,TIME,LAP  ,TIME
1 ,20:05:29 ,32 ,1:50.966
2 ,1:52.906 ,33 ,1:51.395
3 ,1:52.641 ,34 ,1:51.631
4 ,1:52.658 ,35 ,1:51.586
5 ,1:52.435 ,36 ,1:51.948
6 ,1:52.574 ,37 P ,2:10.595
7 ,1:52.656 ,38 ,3:02.566
8 ,1:52.835 ,39 ,2:42.264
9 ,1:52.446 ,40 ,2:46.490
10 ,1:52.299 ,41 ,1:52.696
11 ,1:52.507 ,42 ,1:51.816
12 ,1:52.480 ,43 ,1:51.111
13 P ,2:09.718 ,44 ,1:51.152
14 ,2:49.226 ,45 ,1:50.591
15 ,2:28.994 ,46 ,1:50.558
16 ,2:48.350 ,47 ,1:50.304
17 ,2:46.976 ,48 ,1:50.300
18 ,2:41.262 ,49 ,1:50.118
19 ,1:52.479 ,50 ,1:50.258
20 ,1:52.477 ,51 ,1:50.174
21 ,1:52.393 ,52 ,1:50.041
22 ,1:52.497 ,53 ,1:50.240
23 ,1:52.868 ,54 ,1:50.498
24 ,1:52.964 ,55 ,1:50.694
25 ,1:52.881 ,56 ,1:50.879
26 ,1:53.209 ,57 ,1:51.414
27 ,1:52.524 ,58 ,1:50.632
28 ,1:51.560 ,59 ,1:51.824
29 ,1:51.346 ,60 ,1:50.750
30 ,1:50.861 ,61 ,1:50.623
31 ,1:50.857,"",""
LAP  ,TIME,LAP  ,TIME
1 ,20:05:26 ,32 ,1:50.875
2 ,1:51.623 ,33 ,1:51.524
3 ,1:52.242 ,34 ,1:51.587
4 ,1:52.092 ,35 ,1:51.793
5 ,1:52.354 ,36 ,1:51.899
6 ,1:52.664 ,37 P ,2:08.617
7 ,1:52.639 ,38 ,3:07.834
8 ,1:53.132 ,39 ,2:42.180
9 ,1:52.729 ,40 ,2:46.351
10 ,1:52.636 ,41 ,1:51.473
11 ,1:52.711 ,42 ,1:51.510
12 ,1:52.969 ,43 ,1:51.063
13 P ,2:08.101 ,44 ,1:50.787
14 ,2:48.222 ,45 ,1:50.733
15 ,2:29.147 ,46 ,1:50.352
16 ,2:52.733 ,47 ,1:50.186
17 ,2:47.639 ,48 ,1:50.304
18 ,2:41.692 ,49 ,1:50.320
19 ,1:52.265 ,50 ,1:50.271
20 ,1:52.463 ,51 ,1:50.075
21 ,1:52.414 ,52 ,1:50.319
22 ,1:52.734 ,53 ,1:50.069
23 ,1:52.592 ,54 ,1:50.267
24 ,1:52.967 ,55 ,1:50.393
25 ,1:52.943 ,56 ,1:50.989
26 ,1:53.193 ,57 ,1:50.939
27 ,1:50.520 ,58 ,1:51.053
28 ,1:50.904 ,59 ,1:51.273
29 ,1:50.799 ,60 ,1:51.278
30 ,1:50.916 ,61 ,1:52.559
31 ,1:50.641,"",""
LAP  ,TIME,LAP  ,TIME
1 ,20:05:33 ,32 ,1:52.353
2 ,1:53.927 ,33 ,1:52.809
3 ,1:54.137 ,34 ,1:52.669
4 ,1:53.538 ,35 ,1:52.880
5 ,1:53.533 ,36 ,1:52.982
6 ,1:53.337 ,37 P ,2:15.675
7 ,1:53.600 ,38 ,2:46.542
8 ,1:53.392 ,39 ,2:37.431
9 ,1:53.170 ,40 ,2:45.988
10 ,1:53.499 ,41 ,1:52.774
11 ,1:53.562 ,42 ,1:51.760
12 ,1:53.471 ,43 ,1:51.450
13 P ,2:15.119 ,44 ,1:51.419
14 ,2:47.491 ,45 ,1:51.544
15 ,2:30.009 ,46 ,1:51.492
16 ,2:33.426 ,47 ,1:51.755
17 ,2:46.131 ,48 ,1:51.549
18 ,2:39.939 ,49 ,1:51.255
19 ,1:53.754 ,50 ,1:50.934
20 ,1:52.731 ,51 ,1:51.176
21 ,1:53.298 ,52 ,1:51.153
22 ,1:53.117 ,53 ,1:51.340
23 ,1:53.021 ,54 ,1:51.792
24 ,1:52.807 ,55 ,1:51.822
25 ,1:53.012 ,56 ,1:52.215
26 ,1:53.359 ,57 ,1:52.249
27 ,1:53.944 ,58 ,1:51.925
28 ,1:52.215 ,59 ,1:52.430
29 ,1:52.460 ,60 ,1:52.885
30 ,1:52.638 ,61 ,1:52.660
31 ,1:52.845,"",""
7 ,K. RAIKKONEN
8 ,R. GROSJEAN
9 ,M. ERICSSON
LAP  ,TIME,LAP  ,TIME
1 ,20:05:31 ,32 ,1:51.475
2 ,1:52.845 ,33 ,1:52.158
3 ,1:52.752 ,34 ,1:52.404
4 ,1:52.698 ,35 ,1:52.283
5 ,1:52.643 ,36 ,1:52.900
6 ,1:52.477 ,37 P ,2:13.435
7 ,1:52.963 ,38 ,2:54.682
8 ,1:52.702 ,39 ,2:41.700
9 ,1:52.750 ,40 ,2:46.600
10 ,1:52.720 ,41 ,1:52.132
11 ,1:52.761 ,42 ,1:51.738
12 ,1:52.924 ,43 ,1:51.542
13 P ,2:12.457 ,44 ,1:51.251
14 ,2:47.644 ,45 ,1:51.048
15 ,2:28.374 ,46 ,1:50.999
16 ,2:45.834 ,47 ,1:50.962
17 ,2:47.086 ,48 ,1:50.341
18 ,2:40.961 ,49 ,1:50.800
19 ,1:52.496 ,50 ,1:50.568
20 ,1:52.469 ,51 ,1:50.944
21 ,1:52.571 ,52 ,1:50.857
22 ,1:52.362 ,53 ,1:51.156
23 ,1:52.824 ,54 ,1:51.068
24 ,1:53.199 ,55 ,1:51.270
25 ,1:52.714 ,56 ,1:51.163
26 ,1:53.266 ,57 ,1:51.746
27 ,1:52.705 ,58 ,1:51.847
28 ,1:52.128 ,59 ,1:51.875
29 ,1:51.949 ,60 ,1:52.598
30 ,1:51.474 ,61 ,1:54.614
31 ,1:51.631,"",""
LAP  ,TIME,LAP  ,TIME
1 ,20:05:38 ,31 ,1:52.893
2 ,1:55.008 ,32 ,1:52.831
3 ,1:54.865 ,33 ,1:53.834
4 ,1:54.475 ,34 ,1:53.742
5 ,1:54.304 ,35 ,1:54.687
6 ,1:54.362 ,36 ,1:53.807
7 ,1:54.175 ,37 ,2:26.792
8 ,1:55.733 ,38 ,2:28.613
9 P ,2:01.706 ,39 ,2:05.914
10 ,2:15.827 ,40 ,2:43.373
11 ,1:53.951 ,41 ,1:56.790
12 ,1:53.986 ,42 ,1:52.689
13 ,2:26.529 ,43 ,1:52.985
14 ,2:29.009 ,44 ,1:52.777
15 ,2:28.540 ,45 ,1:53.416
16 ,2:29.261 ,46 ,1:55.044
17 ,2:19.849 ,47 ,1:56.147
18 ,2:37.900 ,48 ,1:54.713
19 ,1:55.148 ,49 ,1:53.858
20 ,1:54.559 ,50 ,1:54.363
21 ,1:54.274 ,51 ,1:54.536
22 ,1:54.036 ,52 ,1:54.122
23 ,1:53.803 ,53 ,1:54.634
24 ,1:53.794 ,54 ,1:55.471
25 ,1:54.186 ,55 ,1:55.582
26 P ,2:00.860 ,56 ,1:55.999
27 ,2:13.227 ,57 ,1:56.300
28 ,1:52.353 ,58 ,1:57.028
29 ,1:52.532 ,59 P ,2:09.352
30 ,1:53.307,"",""
LAP  ,TIME,LAP  ,TIME
1 ,20:05:39 ,32 ,1:53.166
2 ,1:55.420 ,33 ,1:52.425
3 ,1:54.930 ,34 ,1:52.247
4 ,1:54.784 ,35 ,1:53.823
5 ,1:54.808 ,36 P ,2:00.858
6 ,1:54.848 ,37 ,2:46.341
7 ,1:54.622 ,38 ,2:29.814
8 ,1:54.682 ,39 ,1:59.632
9 ,1:54.344 ,40 ,2:15.970
10 P ,2:02.422 ,41 ,1:59.071
11 ,2:14.806 ,42 ,1:55.131
12 ,2:03.785 ,43 ,1:54.642
13 ,2:29.687 ,44 ,1:54.219
