INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
12 ,F. NASR ,319.3
8 ,R. GROSJEAN ,315.3
33 ,M. VERSTAPPEN ,314.3
11 ,S. PEREZ ,314.0
55 ,C. SAINZ ,313.4
9 ,M. ERICSSON ,313.2
13 ,P. MALDONADO ,312.6
7 ,K. RAIKKONEN ,312.5
26 ,D. KVYAT ,312.1
77 ,V. BOTTAS ,311.4
27 ,N. HULKENBERG ,310.3
6 ,N. ROSBERG ,307.2
19 ,F. MASSA ,306.7
5 ,S. VETTEL ,303.8
44 ,L. HAMILTON ,302.6
3 ,D. RICCIARDO ,302.3
22 ,J. BUTTON ,300.6
14 ,F. ALONSO ,295.6
53 ,A. ROSSI ,291.6
28 ,W. STEVENS ,290.7
NO ,DRIVER ,KPH
11 ,S. PEREZ ,278.8
77 ,V. BOTTAS ,278.6
6 ,N. ROSBERG ,277.9
13 ,P. MALDONADO ,276.4
19 ,F. MASSA ,276.3
9 ,M. ERICSSON ,275.2
7 ,K. RAIKKONEN ,275.0
8 ,R. GROSJEAN ,273.8
5 ,S. VETTEL ,273.6
44 ,L. HAMILTON ,273.5
27 ,N. HULKENBERG ,273.2
33 ,M. VERSTAPPEN ,272.7
12 ,F. NASR ,271.0
55 ,C. SAINZ ,268.9
3 ,D. RICCIARDO ,268.1
26 ,D. KVYAT ,268.0
22 ,J. BUTTON ,266.4
28 ,W. STEVENS ,264.5
14 ,F. ALONSO ,264.2
53 ,A. ROSSI ,261.6
NO ,DRIVER ,KPH
5 ,S. VETTEL ,248.3
77 ,V. BOTTAS ,247.7
7 ,K. RAIKKONEN ,246.3
13 ,P. MALDONADO ,246.1
11 ,S. PEREZ ,246.0
6 ,N. ROSBERG ,245.4
44 ,L. HAMILTON ,244.1
8 ,R. GROSJEAN ,244.1
55 ,C. SAINZ ,244.1
9 ,M. ERICSSON ,243.2
19 ,F. MASSA ,242.8
3 ,D. RICCIARDO ,242.5
27 ,N. HULKENBERG ,242.4
33 ,M. VERSTAPPEN ,242.1
26 ,D. KVYAT ,241.9
12 ,F. NASR ,241.9
22 ,J. BUTTON ,239.8
14 ,F. ALONSO ,238.2
53 ,A. ROSSI ,235.4
28 ,W. STEVENS ,233.9
