POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:36.145 ,33 ,"","",217.434 ,14:58:51
2 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:37.147 ,31 ,1.002 ,0.759,215.191 ,14:55:47
3 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:37.906 ,32 ,1.761 ,"",213.523 ,14:57:26
"","","","","","","","",0.129,"",""
4 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:38.035 ,32 ,1.890 ,0.101,213.242 ,14:57:40
5 ,13 ,P. MALDONADO ,VEN ,Lotus F1 Team ,1:38.136 ,39 ,1.991 ,0.031,213.022 ,15:09:52
6 ,8 ,R. GROSJEAN ,FRA ,Lotus F1 Team ,1:38.167 ,35 ,2.022 ,0.070,212.955 ,15:03:12
7 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:38.237 ,32 ,2.092 ,0.004,212.803 ,14:58:32
8 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:38.241 ,41 ,2.096 ,0.090,212.795 ,15:12:29
9 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:38.331 ,43 ,2.186 ,0.035,212.600 ,15:16:09
10 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:38.366 ,36 ,2.221 ,0.225,212.524 ,15:05:26
11 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:38.591 ,50 ,2.446 ,0.004,212.039 ,15:28:52
12 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:38.595 ,51 ,2.450 ,0.091,212.031 ,15:32:22
13 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:38.686 ,16 ,2.541 ,0.212,211.835 ,14:31:04
14 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:38.898 ,32 ,2.753 ,"",211.381 ,14:58:56
"","","","","","","","",0.445,"",""
15 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:39.343 ,28 ,3.198 ,0.271,210.434 ,14:51:59
16 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:39.614 ,45 ,3.469 ,"",209.862 ,15:20:19
"","","","","","","","",0.474,"",""
17 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:40.088 ,39 ,3.943 ,0.033,208.868 ,15:10:45
18 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:40.121 ,31 ,3.976 ,"",208.799 ,14:57:01
"","","","","","","","",1.331,"",""
19 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:41.452 ,44 ,5.307 ,0.015,206.060 ,15:21:34
20 ,53 ,A. ROSSI ,USA ,Manor Marussia F1 Team ,1:41.467 ,35 ,5.322 ,"",206.029 ,15:05:20
