NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
11 ,S. PEREZ ,Sahara Force India F1 Team ,1 ,14:05:29 ,"",1 ,"",25.041 ,25.041
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,1 ,14:06:11 ,"",1 ,"",26.087 ,26.087
19 ,F. MASSA ,Williams Martini Racing ,1 ,14:06:55 ,"",1 ,"",34.166 ,34.166
26 ,D. KVYAT ,Infiniti Red Bull Racing ,8 ,14:17:26 ,"",1 ,"",23.316 ,23.316
14 ,F. ALONSO ,McLaren Honda ,9 ,14:19:04 ,"",1 ,"",23.640 ,23.640
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,9 ,14:19:07 ,"",1 ,"",27.793 ,27.793
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,10 ,14:20:34 ,"",1 ,"",23.750 ,23.750
12 ,F. NASR ,Sauber F1 Team ,10 ,14:20:51 ,"",1 ,"",24.763 ,24.763
22 ,J. BUTTON ,McLaren Honda ,10 ,14:20:51 ,"",1 ,"",23.343 ,23.343
77 ,V. BOTTAS ,Williams Martini Racing ,11 ,14:22:04 ,"",1 ,"",23.542 ,23.542
8 ,R. GROSJEAN ,Lotus F1 Team ,11 ,14:22:12 ,"",1 ,"",23.793 ,23.793
13 ,P. MALDONADO ,Lotus F1 Team ,12 ,14:23:55 ,"",1 ,"",24.842 ,24.842
5 ,S. VETTEL ,Scuderia Ferrari ,13 ,14:25:21 ,"",1 ,"",23.074 ,23.074
9 ,M. ERICSSON ,Sauber F1 Team ,13 ,14:26:01 ,"",1 ,"",23.418 ,23.418
7 ,K. RAIKKONEN ,Scuderia Ferrari ,14 ,14:27:09 ,"",1 ,"",23.714 ,23.714
55 ,C. SAINZ ,Scuderia Toro Rosso ,14 ,14:27:23 ,"",1 ,"",23.701 ,23.701
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,15 ,14:28:45 ,"",1 ,"",23.078 ,23.078
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,16 ,14:30:13 ,"",1 ,"",22.750 ,22.750
19 ,F. MASSA ,Williams Martini Racing ,16 ,14:32:49 ,"",2 ,"",26.735 ,1:00.901
11 ,S. PEREZ ,Sahara Force India F1 Team ,18 ,14:34:39 ,"",2 ,"",24.303 ,49.344
26 ,D. KVYAT ,Infiniti Red Bull Racing ,20 ,14:38:04 ,"",2 ,"",23.183 ,46.499
28 ,W. STEVENS ,Manor Marussia F1 Team ,21 ,14:40:29 ,"",1 ,"",25.875 ,25.875
53 ,A. ROSSI ,Manor Marussia F1 Team ,22 ,14:42:18 ,"",1 ,"",25.146 ,25.146
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,24 ,14:45:19 ,"",2 ,"",23.225 ,49.312
9 ,M. ERICSSON ,Sauber F1 Team ,26 ,14:48:19 ,"",2 ,"",23.441 ,46.859
55 ,C. SAINZ ,Scuderia Toro Rosso ,27 ,14:49:26 ,"",2 ,"",39.345 ,1:03.046
22 ,J. BUTTON ,McLaren Honda ,27 ,14:49:59 ,"",2 ,"",23.801 ,47.144
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
7 ,K. RAIKKONEN ,Scuderia Ferrari ,28 ,14:50:45 ,"",2 ,"",22.584 ,46.298
14 ,F. ALONSO ,McLaren Honda ,28 ,14:51:35 ,"",2 ,"",23.767 ,47.407
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,29 ,14:52:12 ,"",2 ,"",23.241 ,46.319
77 ,V. BOTTAS ,Williams Martini Racing ,29 ,14:52:23 ,"",2 ,"",23.588 ,47.130
5 ,S. VETTEL ,Scuderia Ferrari ,30 ,14:53:49 ,"",2 ,"",23.130 ,46.204
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,30 ,14:54:54 ,"",2 ,"",23.977 ,51.770
12 ,F. NASR ,Sauber F1 Team ,30 ,14:55:14 ,"",2 ,"",24.116 ,48.879
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,31 ,14:55:15 ,"",2 ,"",23.165 ,45.915
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,31 ,14:56:02 ,"",2 ,"",23.491 ,47.241
8 ,R. GROSJEAN ,Lotus F1 Team ,33 ,14:59:32 ,"",2 ,"",24.554 ,48.347
28 ,W. STEVENS ,Manor Marussia F1 Team ,32 ,14:59:51 ,"",2 ,"",23.647 ,49.522
53 ,A. ROSSI ,Manor Marussia F1 Team ,33 ,15:01:34 ,"",2 ,"",25.088 ,50.234
26 ,D. KVYAT ,Infiniti Red Bull Racing ,34 ,15:01:48 ,"",3 ,"",23.381 ,1:09.880
19 ,F. MASSA ,Williams Martini Racing ,34 ,15:03:24 ,"",3 ,"",24.670 ,1:25.571
13 ,P. MALDONADO ,Lotus F1 Team ,36 ,15:04:35 ,"",2 ,"",23.249 ,48.091
11 ,S. PEREZ ,Sahara Force India F1 Team ,36 ,15:05:03 ,"",3 ,"",24.267 ,1:13.611
28 ,W. STEVENS ,Manor Marussia F1 Team ,42 ,15:17:36 ,"",3 ,"",35.760 ,1:25.282
