SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,33.144
6 ,N. ROSBERG ,33.145
77 ,V. BOTTAS ,33.351
3 ,D. RICCIARDO ,33.428
19 ,F. MASSA ,33.433
5 ,S. VETTEL ,33.580
26 ,D. KVYAT ,33.652
7 ,K. RAIKKONEN ,33.657
8 ,R. GROSJEAN ,33.826
55 ,C. SAINZ ,33.837
11 ,S. PEREZ ,33.892
13 ,P. MALDONADO ,33.988
14 ,F. ALONSO ,34.100
33 ,M. VERSTAPPEN ,34.114
27 ,N. HULKENBERG ,34.133
22 ,J. BUTTON ,34.345
12 ,F. NASR ,34.393
9 ,M. ERICSSON ,34.455
28 ,W. STEVENS ,35.882
53 ,A. ROSSI ,35.887
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,41.458
44 ,L. HAMILTON ,41.528
77 ,V. BOTTAS ,41.658
5 ,S. VETTEL ,41.736
7 ,K. RAIKKONEN ,41.755
19 ,F. MASSA ,41.770
3 ,D. RICCIARDO ,41.832
8 ,R. GROSJEAN ,42.146
26 ,D. KVYAT ,42.187
27 ,N. HULKENBERG ,42.202
11 ,S. PEREZ ,42.214
33 ,M. VERSTAPPEN ,42.219
55 ,C. SAINZ ,42.331
13 ,P. MALDONADO ,42.383
14 ,F. ALONSO ,42.471
22 ,J. BUTTON ,42.636
12 ,F. NASR ,42.653
9 ,M. ERICSSON ,42.866
28 ,W. STEVENS ,44.127
53 ,A. ROSSI ,45.948
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,17.734
44 ,L. HAMILTON ,17.842
19 ,F. MASSA ,17.912
5 ,S. VETTEL ,17.915
7 ,K. RAIKKONEN ,17.918
8 ,R. GROSJEAN ,17.979
77 ,V. BOTTAS ,17.989
27 ,N. HULKENBERG ,18.055
11 ,S. PEREZ ,18.068
13 ,P. MALDONADO ,18.094
3 ,D. RICCIARDO ,18.098
55 ,C. SAINZ ,18.167
33 ,M. VERSTAPPEN ,18.189
26 ,D. KVYAT ,18.199
14 ,F. ALONSO ,18.214
22 ,J. BUTTON ,18.332
9 ,M. ERICSSON ,18.352
12 ,F. NASR ,18.513
28 ,W. STEVENS ,18.639
53 ,A. ROSSI ,20.779
