SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
77 ,V. BOTTAS ,35.202
7 ,K. RAIKKONEN ,35.345
19 ,F. MASSA ,35.431
5 ,S. VETTEL ,35.517
44 ,L. HAMILTON ,35.646
11 ,S. PEREZ ,35.759
13 ,P. MALDONADO ,35.861
3 ,D. RICCIARDO ,35.980
12 ,F. NASR ,35.983
26 ,D. KVYAT ,36.126
55 ,C. SAINZ ,36.237
6 ,N. ROSBERG ,36.308
33 ,M. VERSTAPPEN ,36.371
14 ,F. ALONSO ,36.461
8 ,R. GROSJEAN ,36.574
22 ,J. BUTTON ,36.781
98 ,R. MERHI ,37.207
28 ,W. STEVENS ,37.262
NO ,DRIVER ,TIME
5 ,S. VETTEL ,34.707
7 ,K. RAIKKONEN ,35.044
44 ,L. HAMILTON ,35.056
77 ,V. BOTTAS ,35.076
26 ,D. KVYAT ,35.109
19 ,F. MASSA ,35.134
13 ,P. MALDONADO ,35.274
12 ,F. NASR ,35.344
11 ,S. PEREZ ,35.425
55 ,C. SAINZ ,35.498
22 ,J. BUTTON ,35.586
3 ,D. RICCIARDO ,35.616
33 ,M. VERSTAPPEN ,35.637
14 ,F. ALONSO ,35.877
6 ,N. ROSBERG ,36.073
8 ,R. GROSJEAN ,36.559
98 ,R. MERHI ,36.677
28 ,W. STEVENS ,36.727
NO ,DRIVER ,TIME
5 ,S. VETTEL ,29.723
44 ,L. HAMILTON ,29.726
7 ,K. RAIKKONEN ,29.898
26 ,D. KVYAT ,29.960
12 ,F. NASR ,29.960
19 ,F. MASSA ,30.027
13 ,P. MALDONADO ,30.164
3 ,D. RICCIARDO ,30.178
55 ,C. SAINZ ,30.321
11 ,S. PEREZ ,30.326
33 ,M. VERSTAPPEN ,30.338
6 ,N. ROSBERG ,30.394
77 ,V. BOTTAS ,30.400
22 ,J. BUTTON ,30.513
14 ,F. ALONSO ,30.761
28 ,W. STEVENS ,30.811
98 ,R. MERHI ,31.044
8 ,R. GROSJEAN ,31.610
