POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:40.071 ,51 ,"","",210.378 ,15:37:28
2 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:40.294 ,48 ,0.223 ,0.279,209.910 ,15:32:45
3 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:40.573 ,44 ,0.502 ,0.308,209.328 ,15:25:26
4 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:40.881 ,48 ,0.810 ,"",208.689 ,15:32:57
"","","","","","","","",0.253,"",""
5 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:41.134 ,45 ,1.063 ,0.238,208.167 ,15:27:37
6 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:41.372 ,52 ,1.301 ,0.135,207.678 ,15:39:52
7 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:41.507 ,52 ,1.436 ,0.013,207.402 ,15:40:00
8 ,13 ,P. MALDONADO ,VEN ,Lotus F1 Team ,1:41.520 ,51 ,1.449 ,0.252,207.375 ,15:38:23
9 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:41.772 ,48 ,1.701 ,0.116,206.862 ,15:32:41
10 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:41.888 ,43 ,1.817 ,"",206.626 ,15:24:13
"","","","","","","","",0.370,"",""
11 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:42.258 ,44 ,2.187 ,0.381,205.879 ,15:26:04
12 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:42.639 ,29 ,2.568 ,"",205.115 ,15:00:46
"","","","","","","","",0.429,"",""
13 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:43.068 ,53 ,2.997 ,0.065,204.261 ,15:42:06
14 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:43.133 ,6 ,3.062 ,0.132,204.132 ,14:16:17
15 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:43.265 ,45 ,3.194 ,"",203.871 ,15:28:17
"","","","","","","","",1.661,"",""
16 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:44.926 ,50 ,4.855 ,"",200.644 ,15:39:07
"","","","","","","","",0.123,"",""
17 ,98 ,R. MERHI ,ESP ,Manor Marussia F1 Team ,1:45.049 ,50 ,4.978 ,0.217,200.409 ,15:38:27
18 ,8 ,R. GROSJEAN ,FRA ,Lotus F1 Team ,1:45.266 ,7 ,5.195 ,"",199.996 ,14:18:20
