5 ,S. VETTEL
3 ,D. RICCIARDO
6 ,N. ROSBERG
LAP  ,TIME,LAP  ,TIME
1 ,14:06:03 ,25 ,1:43.703
2 ,2:37.174 ,26 ,1:43.840
3 ,2:30.687 ,27 ,1:44.154
4 ,1:45.978 ,28 ,1:43.738
5 ,1:45.298 ,29 ,1:43.339
6 ,1:45.194 ,30 ,1:43.455
7 ,1:44.521 ,31 ,1:43.200
8 ,1:44.946 ,32 ,1:43.179
9 ,1:44.335 ,33 ,1:42.899
10 ,1:44.170 ,34 ,1:42.664
11 ,1:44.308 ,35 ,1:42.743
12 P ,2:06.565 ,36 ,1:43.284
13 ,2:33.308 ,37 ,1:42.340
14 ,2:44.767 ,38 ,1:42.110
15 ,2:37.647 ,39 ,1:42.191
16 ,2:27.649 ,40 ,1:41.921
17 ,1:48.836 ,41 ,1:41.996
18 ,1:45.080 ,42 ,1:42.040
19 ,1:44.121 ,43 ,1:41.888
20 ,1:43.971 ,44 ,1:42.411
21 ,1:43.945 ,45 ,1:42.816
22 ,1:43.711 ,46 ,1:42.838
23 ,1:44.359 ,47 ,1:43.182
24 ,1:44.138,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:05:57 ,28 ,1:42.283
2 ,2:40.542 ,29 ,1:42.510
3 ,2:32.144 ,30 P ,1:47.618
4 ,1:45.099 ,31 ,2:01.849
5 ,1:43.960 ,32 ,1:41.509
6 ,1:43.962 ,33 ,1:41.637
7 ,1:44.099 ,34 ,1:41.936
8 ,1:43.650 ,35 ,1:41.706
9 ,1:43.535 ,36 ,1:41.380
10 ,1:43.261 ,37 ,1:41.548
11 ,1:43.168 ,38 ,1:41.437
12 ,1:56.223 ,39 ,1:41.113
13 ,2:45.782 ,40 ,1:40.853
14 ,2:46.619 ,41 ,1:41.068
15 ,2:38.153 ,42 ,1:40.532
16 ,2:30.570 ,43 ,1:41.154
17 ,1:44.432 ,44 ,1:40.923
18 ,1:42.641 ,45 ,1:40.810
19 ,1:42.352 ,46 ,1:40.890
20 ,1:42.189 ,47 ,1:41.849
21 ,1:42.199 ,48 ,1:41.514
22 ,1:42.099 ,49 ,1:42.018
23 ,1:42.437 ,50 ,1:42.917
24 ,1:42.572 ,51 ,1:40.071
25 ,1:42.715 ,52 ,1:41.856
26 ,1:43.149 ,53 ,1:42.669
27 ,1:42.326,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:05:53 ,5 ,1:43.410
2 ,2:40.614 ,6 ,1:43.133
3 ,2:34.027 ,7 P ,2:11.662
4 ,1:43.415,"",""
8 ,R. GROSJEAN
7 ,K. RAIKKONEN
9 ,M. ERICSSON
LAP  ,TIME,LAP  ,TIME
1 ,14:05:55 ,28 ,1:42.425
2 ,2:40.449 ,29 ,1:42.508
3 ,2:33.363 ,30 ,1:42.782
4 ,1:45.300 ,31 P ,1:47.152
5 ,1:43.993 ,32 ,2:04.301
6 ,1:43.802 ,33 ,1:42.695
7 ,1:44.126 ,34 ,1:42.607
8 ,1:43.578 ,35 ,1:42.647
9 ,1:43.510 ,36 ,1:44.358
10 ,1:43.040 ,37 ,1:42.313
11 ,1:43.049 ,38 ,1:42.103
12 ,1:56.110 ,39 ,1:41.691
13 ,2:46.053 ,40 ,1:42.231
14 ,2:46.433 ,41 ,1:41.520
15 ,2:38.528 ,42 ,1:41.971
16 ,2:30.915 ,43 ,1:42.404
17 ,1:46.148 ,44 ,1:42.067
18 ,1:42.758 ,45 ,1:41.518
19 ,1:42.642 ,46 ,1:43.271
20 ,1:42.526 ,47 ,1:42.718
21 ,1:42.254 ,48 ,1:40.294
22 ,1:42.431 ,49 ,1:41.015
23 ,1:42.574 ,50 ,1:41.159
24 ,1:42.941 ,51 ,1:40.592
25 ,1:42.435 ,52 ,1:42.087
26 ,1:42.385 ,53 ,1:59.312
27 ,1:42.654,"",""
LAP  ,TIME,LAP  ,TIME
1 P ,14:06:03 ,7 ,1:45.266
2 ,2:48.117 ,8 ,1:45.720
3 ,2:24.697 ,9 ,1:45.443
4 ,1:46.834 ,10 ,1:45.504
5 ,1:46.229 ,11 ,1:45.656
6 ,1:45.448,"",""
LAP  ,TIME,LAP  ,TIME
12 ,F. NASR
11 ,S. PEREZ
13 ,P. MALDONADO
LAP  ,TIME,LAP  ,TIME
1 ,14:05:59 ,28 ,1:43.911
2 ,2:39.536 ,29 ,1:43.076
3 ,2:31.595 ,30 ,1:43.327
4 ,1:45.471 ,31 ,1:43.300
5 ,1:44.895 ,32 ,1:44.289
6 ,1:44.209 ,33 ,1:43.471
7 ,1:44.461 ,34 ,1:43.013
8 ,1:44.349 ,35 ,1:42.873
9 ,1:43.980 ,36 ,1:42.681
10 ,1:44.466 ,37 ,1:42.544
11 ,1:44.723 ,38 ,1:42.157
12 P ,2:01.607 ,39 ,1:41.862
13 ,2:39.098 ,40 ,1:41.930
14 ,2:46.228 ,41 ,1:42.064
15 ,2:37.589 ,42 ,1:41.907
16 ,2:28.269 ,43 ,1:42.153
17 ,1:47.531 ,44 ,1:42.024
18 ,1:44.434 ,45 ,1:42.149
19 ,1:44.195 ,46 ,1:41.910
20 ,1:43.893 ,47 ,1:41.903
21 ,1:43.617 ,48 ,1:41.772
22 ,1:43.965 ,49 ,1:41.971
23 ,1:43.730 ,50 ,1:41.925
24 ,1:44.083 ,51 ,1:41.884
25 ,1:44.042 ,52 ,1:44.659
26 ,1:43.482 ,53 ,1:44.496
27 ,1:43.553,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:06:07 ,28 ,1:42.547
2 ,2:36.771 ,29 ,1:44.478
3 ,2:28.528 ,30 ,1:43.265
4 ,1:45.850 ,31 ,1:42.878
5 ,1:45.629 ,32 ,1:43.369
6 ,1:45.395 ,33 ,1:43.330
7 ,1:45.557 ,34 P ,1:47.832
8 ,1:45.118 ,35 ,2:06.083
9 ,1:45.328 ,36 ,1:43.909
10 ,1:44.825 ,37 ,1:43.861
11 ,1:44.908 ,38 ,1:43.577
12 ,2:00.387 ,39 ,1:42.104
13 ,2:29.012 ,40 ,1:42.558
14 ,2:47.248 ,41 ,1:42.186
15 ,2:37.294 ,42 ,1:41.649
16 ,2:29.869 ,43 ,1:41.837
17 ,1:47.276 ,44 ,1:41.598
18 ,1:43.989 ,45 ,1:43.022
19 ,1:44.366 ,46 ,1:43.492
20 ,1:43.948 ,47 ,1:42.366
21 ,1:43.408 ,48 ,1:42.876
22 ,1:43.784 ,49 ,1:42.808
23 ,1:43.267 ,50 ,1:42.825
24 ,1:43.329 ,51 ,1:42.277
25 ,1:43.571 ,52 ,1:41.507
26 ,1:43.207 ,53 ,1:43.016
27 ,1:43.088,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:06:09 ,28 ,1:43.518
2 ,2:36.819 ,29 ,1:43.438
3 ,2:27.256 ,30 P ,1:48.255
4 ,1:47.085 ,31 ,2:03.714
5 ,1:45.975 ,32 ,1:43.165
6 ,1:45.267 ,33 ,1:42.766
7 ,1:45.781 ,34 ,1:42.843
8 ,1:45.541 ,35 ,1:43.270
9 ,1:45.236 ,36 ,1:43.069
10 ,1:44.652 ,37 ,1:43.190
11 ,1:44.889 ,38 ,1:43.377
