SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,30.701
3 ,D. RICCIARDO ,30.713
44 ,L. HAMILTON ,30.980
26 ,D. KVYAT ,31.000
33 ,M. VERSTAPPEN ,31.073
5 ,S. VETTEL ,31.205
7 ,K. RAIKKONEN ,31.332
14 ,F. ALONSO ,31.483
27 ,N. HULKENBERG ,31.557
11 ,S. PEREZ ,31.565
22 ,J. BUTTON ,31.772
77 ,V. BOTTAS ,31.827
8 ,R. GROSJEAN ,31.880
19 ,F. MASSA ,31.908
13 ,P. MALDONADO ,31.986
9 ,M. ERICSSON ,32.183
12 ,F. NASR ,32.404
53 ,A. ROSSI ,33.276
28 ,W. STEVENS ,33.309
55 ,C. SAINZ ,34.029
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,45.210
44 ,L. HAMILTON ,45.218
27 ,N. HULKENBERG ,45.794
3 ,D. RICCIARDO ,45.798
7 ,K. RAIKKONEN ,46.011
26 ,D. KVYAT ,46.181
33 ,M. VERSTAPPEN ,46.284
77 ,V. BOTTAS ,46.355
11 ,S. PEREZ ,46.385
8 ,R. GROSJEAN ,46.444
14 ,F. ALONSO ,46.456
5 ,S. VETTEL ,46.476
19 ,F. MASSA ,46.604
22 ,J. BUTTON ,46.944
13 ,P. MALDONADO ,46.944
9 ,M. ERICSSON ,47.320
55 ,C. SAINZ ,47.438
12 ,F. NASR ,47.856
28 ,W. STEVENS ,48.222
53 ,A. ROSSI ,48.261
NO ,DRIVER ,TIME
3 ,D. RICCIARDO ,39.925
26 ,D. KVYAT ,39.959
44 ,L. HAMILTON ,40.200
6 ,N. ROSBERG ,40.441
7 ,K. RAIKKONEN ,40.708
33 ,M. VERSTAPPEN ,40.817
5 ,S. VETTEL ,40.849
11 ,S. PEREZ ,40.887
27 ,N. HULKENBERG ,40.899
77 ,V. BOTTAS ,41.038
22 ,J. BUTTON ,41.280
19 ,F. MASSA ,41.487
14 ,F. ALONSO ,41.498
8 ,R. GROSJEAN ,41.565
13 ,P. MALDONADO ,41.626
9 ,M. ERICSSON ,42.532
12 ,F. NASR ,42.589
53 ,A. ROSSI ,42.639
28 ,W. STEVENS ,42.995
55 ,C. SAINZ ,45.837
