POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:20.521 ,67 ,"","",192.426 ,14:40:19
2 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:20.723 ,67 ,0.202 ,"",191.945 ,14:40:21
"","","","","","","","",0.826,"",""
3 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:21.549 ,69 ,1.028 ,0.036,190.001 ,14:43:16
4 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:21.585 ,68 ,1.064 ,0.040,189.917 ,14:41:51
5 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:21.625 ,70 ,1.104 ,0.222,189.824 ,14:44:41
6 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:21.847 ,48 ,1.326 ,"",189.309 ,14:11:43
"","","","","","","","",0.162,"",""
7 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:22.009 ,71 ,1.488 ,0.163,188.935 ,14:46:05
8 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:22.172 ,46 ,1.651 ,0.219,188.560 ,14:09:01
9 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:22.391 ,69 ,1.870 ,0.212,188.059 ,14:43:24
10 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:22.603 ,70 ,2.082 ,0.113,187.576 ,14:44:56
11 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:22.716 ,62 ,2.195 ,0.041,187.320 ,14:33:54
12 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:22.757 ,51 ,2.236 ,0.136,187.227 ,14:15:30
13 ,8 ,R. GROSJEAN ,FRA ,Lotus F1 Team ,1:22.893 ,69 ,2.372 ,0.070,186.920 ,14:43:35
14 ,13 ,P. MALDONADO ,VEN ,Lotus F1 Team ,1:22.963 ,70 ,2.442 ,"",186.762 ,14:44:59
"","","","","","","","",0.043,"",""
15 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:23.006 ,49 ,2.485 ,0.344,186.666 ,14:14:12
16 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:23.350 ,48 ,2.829 ,"",185.895 ,14:12:32
"","","","","","","","",0.704,"",""
17 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:24.054 ,20 ,3.533 ,"",184.338 ,13:31:56
"","","","","","","","",0.951,"",""
18 ,53 ,A. ROSSI ,USA ,Manor Marussia F1 Team ,1:25.005 ,69 ,4.484 ,0.535,182.276 ,14:45:55
19 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:25.540 ,67 ,5.019 ,"",181.136 ,14:43:09
