3 ,D. RICCIARDO
5 ,S. VETTEL
6 ,N. ROSBERG
LAP  ,TIME,LAP  ,TIME
1 ,13:04:40 ,37 ,1:23.524
2 ,1:26.066 ,38 ,1:23.245
3 ,1:26.138 ,39 ,1:23.826
4 ,1:25.805 ,40 ,1:24.231
5 ,1:25.759 ,41 ,1:23.943
6 ,1:25.802 ,42 ,1:23.735
7 ,1:25.409 ,43 ,1:23.215
8 ,1:25.560 ,44 ,1:22.898
9 ,1:25.953 ,45 ,1:22.797
10 ,1:25.573 ,46 ,1:23.025
11 ,1:25.243 ,47 ,1:23.183
12 ,1:24.991 ,48 ,1:22.731
13 ,1:24.793 ,49 ,1:22.989
14 ,1:24.501 ,50 ,1:23.791
15 ,1:24.414 ,51 ,1:22.659
16 ,1:24.667 ,52 P ,1:42.371
17 ,1:24.232 ,53 ,2:05.447
18 ,1:24.242 ,54 ,1:44.099
19 ,1:24.360 ,55 ,2:02.762
20 ,1:24.751 ,56 ,2:03.582
21 ,1:24.938 ,57 ,1:59.446
22 ,1:24.849 ,58 ,1:24.590
23 ,1:24.979 ,59 ,1:23.131
24 P ,1:27.792 ,60 ,1:22.677
25 ,1:43.511 ,61 ,1:22.099
26 ,1:23.906 ,62 ,1:22.221
27 ,1:23.343 ,63 ,1:22.817
28 ,1:23.306 ,64 ,1:22.769
29 ,1:23.397 ,65 ,1:22.563
30 ,1:23.305 ,66 ,1:22.372
31 ,1:23.155 ,67 ,1:22.334
32 ,1:23.087 ,68 ,1:22.151
33 ,1:22.991 ,69 ,1:21.806
34 ,1:23.170 ,70 ,1:21.625
35 ,1:23.101 ,71 ,1:22.763
36 ,1:23.089,"",""
LAP  ,TIME,LAP  ,TIME
1 P ,13:05:01 ,26 ,1:23.767
2 ,1:51.515 ,27 ,1:25.313
3 ,1:25.006 ,28 ,1:23.848
4 ,1:24.764 ,29 ,1:24.014
5 ,1:24.745 ,30 ,1:24.183
6 ,1:24.493 ,31 ,1:23.864
7 ,1:24.737 ,32 ,1:23.621
8 ,1:24.516 ,33 ,1:24.250
9 ,1:24.455 ,34 ,1:23.282
10 ,1:24.953 ,35 P ,1:26.656
11 ,1:24.510 ,36 ,1:41.730
12 ,1:24.024 ,37 ,1:22.321
13 ,1:24.159 ,38 ,1:22.561
14 ,1:24.487 ,39 ,1:22.858
