INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
44 ,L. HAMILTON ,308.0
6 ,N. ROSBERG ,307.8
77 ,V. BOTTAS ,307.1
8 ,R. GROSJEAN ,300.9
5 ,S. VETTEL ,300.0
11 ,S. PEREZ ,298.3
33 ,M. VERSTAPPEN ,297.7
55 ,C. SAINZ ,295.3
26 ,D. KVYAT ,294.8
19 ,F. MASSA ,294.4
22 ,J. BUTTON ,294.1
13 ,P. MALDONADO ,293.4
9 ,M. ERICSSON ,293.0
3 ,D. RICCIARDO ,293.0
27 ,N. HULKENBERG ,290.6
7 ,K. RAIKKONEN ,288.4
12 ,F. NASR ,284.3
28 ,W. STEVENS ,279.3
53 ,A. ROSSI ,277.3
14 ,F. ALONSO ,240.0
NO ,DRIVER ,KPH
19 ,F. MASSA ,295.4
77 ,V. BOTTAS ,295.0
8 ,R. GROSJEAN ,293.4
13 ,P. MALDONADO ,293.3
44 ,L. HAMILTON ,293.0
27 ,N. HULKENBERG ,292.9
6 ,N. ROSBERG ,292.6
11 ,S. PEREZ ,290.3
9 ,M. ERICSSON ,290.1
5 ,S. VETTEL ,289.6
7 ,K. RAIKKONEN ,287.9
26 ,D. KVYAT ,286.7
3 ,D. RICCIARDO ,286.2
12 ,F. NASR ,286.0
22 ,J. BUTTON ,285.2
55 ,C. SAINZ ,283.9
33 ,M. VERSTAPPEN ,283.6
28 ,W. STEVENS ,269.7
53 ,A. ROSSI ,265.4
14 ,F. ALONSO ,141.8
NO ,DRIVER ,KPH
44 ,L. HAMILTON ,257.8
19 ,F. MASSA ,257.0
6 ,N. ROSBERG ,256.7
8 ,R. GROSJEAN ,256.2
77 ,V. BOTTAS ,254.5
27 ,N. HULKENBERG ,254.4
13 ,P. MALDONADO ,253.7
11 ,S. PEREZ ,253.6
5 ,S. VETTEL ,253.4
9 ,M. ERICSSON ,253.4
3 ,D. RICCIARDO ,251.8
26 ,D. KVYAT ,250.8
55 ,C. SAINZ ,249.4
22 ,J. BUTTON ,249.1
12 ,F. NASR ,248.8
33 ,M. VERSTAPPEN ,248.7
7 ,K. RAIKKONEN ,247.1
53 ,A. ROSSI ,238.8
28 ,W. STEVENS ,238.7
