NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
5 ,S. VETTEL ,Scuderia Ferrari ,1 ,13:04:58 ,"",1 ,"",28.070 ,28.070
77 ,V. BOTTAS ,Williams Martini Racing ,8 ,13:14:42 ,"",1 ,"",22.957 ,22.957
19 ,F. MASSA ,Williams Martini Racing ,9 ,13:16:11 ,"",1 ,"",22.849 ,22.849
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,9 ,13:16:16 ,"",1 ,"",23.277 ,23.277
13 ,P. MALDONADO ,Lotus F1 Team ,10 ,13:17:46 ,"",1 ,"",26.647 ,26.647
9 ,M. ERICSSON ,Sauber F1 Team ,10 ,13:17:54 ,"",1 ,"",22.956 ,22.956
8 ,R. GROSJEAN ,Lotus F1 Team ,11 ,13:19:15 ,"",1 ,"",22.735 ,22.735
12 ,F. NASR ,Sauber F1 Team ,12 ,13:20:51 ,"",1 ,"",23.026 ,23.026
55 ,C. SAINZ ,Scuderia Toro Rosso ,13 ,13:21:59 ,"",1 ,"",23.128 ,23.128
11 ,S. PEREZ ,Sahara Force India F1 Team ,18 ,13:29:04 ,"",1 ,"",23.547 ,23.547
26 ,D. KVYAT ,Infiniti Red Bull Racing ,21 ,13:32:58 ,"",1 ,"",22.559 ,22.559
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,24 ,13:37:18 ,"",1 ,"",22.422 ,22.422
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,25 ,13:38:51 ,"",1 ,"",22.985 ,22.985
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,26 ,13:39:37 ,"",1 ,"",22.391 ,22.391
28 ,W. STEVENS ,Manor Marussia F1 Team ,26 ,13:41:44 ,"",1 ,"",25.087 ,25.087
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,28 ,13:42:28 ,"",1 ,"",22.304 ,22.304
53 ,A. ROSSI ,Manor Marussia F1 Team ,27 ,13:43:29 ,"",1 ,"",25.367 ,25.367
22 ,J. BUTTON ,McLaren Honda ,30 ,13:46:38 ,"",1 ,"",23.356 ,23.356
5 ,S. VETTEL ,Scuderia Ferrari ,35 ,13:53:28 ,"",2 ,"",22.156 ,50.226
9 ,M. ERICSSON ,Sauber F1 Team ,39 ,13:59:15 ,"",2 ,"",23.461 ,46.417
55 ,C. SAINZ ,Scuderia Toro Rosso ,43 ,14:04:29 ,"",2 ,"",23.776 ,46.904
12 ,F. NASR ,Sauber F1 Team ,44 ,14:06:33 ,"",2 ,"",23.417 ,46.443
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,46 ,14:07:31 ,"",2 ,"",22.303 ,44.694
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,48 ,14:10:19 ,"",2 ,"",22.328 ,44.632
22 ,J. BUTTON ,McLaren Honda ,47 ,14:11:04 ,"",2 ,"",23.018 ,46.374
55 ,C. SAINZ ,Scuderia Toro Rosso ,51 ,14:15:57 ,"",3 ,"",23.068 ,1:09.972
9 ,M. ERICSSON ,Sauber F1 Team ,51 ,14:16:29 ,"",3 ,"",23.292 ,1:09.709
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
26 ,D. KVYAT ,Infiniti Red Bull Racing ,52 ,14:16:33 ,"",2 ,"",22.518 ,45.077
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,52 ,14:16:49 ,"",2 ,"",22.488 ,44.910
19 ,F. MASSA ,Williams Martini Racing ,52 ,14:16:52 ,"",2 ,"",23.086 ,45.935
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,52 ,14:16:54 ,"",2 ,"",24.136 ,47.413
12 ,F. NASR ,Sauber F1 Team ,51 ,14:17:02 ,"",3 ,"",23.813 ,1:10.256
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,52 ,14:17:19 ,"",2 ,"",22.589 ,45.574
8 ,R. GROSJEAN ,Lotus F1 Team ,52 ,14:17:28 ,"",2 ,"",23.101 ,45.836
13 ,P. MALDONADO ,Lotus F1 Team ,52 ,14:17:35 ,"",2 ,"",23.937 ,50.584
28 ,W. STEVENS ,Manor Marussia F1 Team ,50 ,14:17:37 ,"",2 ,"",24.224 ,49.311
53 ,A. ROSSI ,Manor Marussia F1 Team ,50 ,14:17:41 ,"",2 ,"",30.442 ,55.809
77 ,V. BOTTAS ,Williams Martini Racing ,53 ,14:18:31 ,"",2 ,"",23.160 ,46.117
