SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,28.109
6 ,N. ROSBERG ,28.177
77 ,V. BOTTAS ,28.259
19 ,F. MASSA ,28.275
26 ,D. KVYAT ,28.491
27 ,N. HULKENBERG ,28.497
3 ,D. RICCIARDO ,28.514
5 ,S. VETTEL ,28.531
13 ,P. MALDONADO ,28.532
8 ,R. GROSJEAN ,28.614
11 ,S. PEREZ ,28.682
9 ,M. ERICSSON ,28.692
55 ,C. SAINZ ,28.736
33 ,M. VERSTAPPEN ,28.889
22 ,J. BUTTON ,28.896
12 ,F. NASR ,28.950
7 ,K. RAIKKONEN ,29.129
53 ,A. ROSSI ,30.004
28 ,W. STEVENS ,30.117
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,31.506
44 ,L. HAMILTON ,31.682
26 ,D. KVYAT ,31.734
3 ,D. RICCIARDO ,31.834
5 ,S. VETTEL ,32.030
77 ,V. BOTTAS ,32.041
55 ,C. SAINZ ,32.153
27 ,N. HULKENBERG ,32.215
19 ,F. MASSA ,32.228
33 ,M. VERSTAPPEN ,32.361
22 ,J. BUTTON ,32.503
11 ,S. PEREZ ,32.556
8 ,R. GROSJEAN ,32.563
9 ,M. ERICSSON ,32.600
13 ,P. MALDONADO ,32.625
12 ,F. NASR ,32.877
7 ,K. RAIKKONEN ,33.078
53 ,A. ROSSI ,33.370
28 ,W. STEVENS ,33.529
14 ,F. ALONSO ,47.593
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,20.780
44 ,L. HAMILTON ,20.787
3 ,D. RICCIARDO ,20.909
26 ,D. KVYAT ,20.995
5 ,S. VETTEL ,21.110
77 ,V. BOTTAS ,21.125
22 ,J. BUTTON ,21.181
33 ,M. VERSTAPPEN ,21.215
27 ,N. HULKENBERG ,21.237
55 ,C. SAINZ ,21.263
9 ,M. ERICSSON ,21.285
19 ,F. MASSA ,21.325
11 ,S. PEREZ ,21.378
8 ,R. GROSJEAN ,21.436
13 ,P. MALDONADO ,21.472
12 ,F. NASR ,21.496
53 ,A. ROSSI ,21.592
7 ,K. RAIKKONEN ,21.701
28 ,W. STEVENS ,21.894
