POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:14.832 ,51 ,"","",207.296 ,15:09:01
2 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:14.957 ,57 ,0.125 ,"",206.950 ,15:16:31
"","","","","","","","",0.089,"",""
3 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:15.046 ,57 ,0.214 ,0.370,206.705 ,15:16:46
4 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:15.416 ,48 ,0.584 ,0.323,205.691 ,15:05:38
5 ,8 ,R. GROSJEAN ,FRA ,Lotus F1 Team ,1:15.739 ,57 ,0.907 ,0.004,204.813 ,15:18:17
6 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:15.743 ,57 ,0.911 ,0.046,204.803 ,15:18:06
7 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:15.789 ,57 ,0.957 ,0.181,204.678 ,15:18:57
8 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:15.970 ,53 ,1.138 ,0.002,204.191 ,15:13:16
9 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:15.972 ,56 ,1.140 ,"",204.185 ,15:17:02
"","","","","","","","",0.067,"",""
10 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:16.039 ,61 ,1.207 ,0.274,204.005 ,15:22:34
11 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:16.313 ,56 ,1.481 ,0.008,203.273 ,15:17:07
12 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:16.321 ,53 ,1.489 ,0.033,203.252 ,15:13:21
13 ,13 ,P. MALDONADO ,VEN ,Lotus F1 Team ,1:16.354 ,63 ,1.522 ,0.146,203.164 ,15:25:57
14 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:16.500 ,41 ,1.668 ,0.019,202.776 ,14:57:10
15 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:16.519 ,54 ,1.687 ,0.255,202.726 ,15:14:43
16 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:16.774 ,66 ,1.942 ,0.020,202.052 ,15:29:17
17 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:16.794 ,41 ,1.962 ,"",202.000 ,14:57:36
"","","","","","","","",1.823,"",""
18 ,53 ,A. ROSSI ,USA ,Manor Marussia F1 Team ,1:18.617 ,43 ,3.785 ,"",197.316 ,15:02:15
"","","","","","","","",0.481,"",""
19 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:19.098 ,42 ,4.266 ,"",196.116 ,15:00:50
