3 ,D. RICCIARDO
5 ,S. VETTEL
6 ,N. ROSBERG
LAP  ,TIME,LAP  ,TIME
1 ,14:04:28 ,36 ,1:18.418
2 ,1:19.032 ,37 ,1:17.248
3 P ,1:23.701 ,38 ,1:17.743
4 ,1:34.647 ,39 ,1:18.964
5 ,1:17.750 ,40 ,1:18.806
6 ,1:17.854 ,41 ,1:17.436
7 ,1:17.989 ,42 ,1:17.581
8 ,1:18.230 ,43 ,1:18.172
9 ,1:20.043 ,44 ,1:17.695
10 ,1:18.519 ,45 ,1:17.522
11 ,1:18.340 ,46 ,1:17.462
12 ,1:18.482 ,47 ,1:17.060
13 ,1:18.215 ,48 ,1:17.696
14 ,1:18.143 ,49 ,1:17.275
15 ,1:17.942 ,50 ,1:19.687
16 ,1:18.337 ,51 ,1:17.695
17 ,1:18.366 ,52 P ,1:22.272
18 ,1:18.270 ,53 ,1:34.679
19 ,1:18.591 ,54 ,1:16.958
20 ,1:18.468 ,55 ,1:16.483
21 ,1:18.740 ,56 ,1:16.313
22 ,1:18.472 ,57 ,1:16.784
23 ,1:18.533 ,58 ,1:16.337
24 ,1:18.664 ,59 ,1:16.713
25 ,1:18.792 ,60 ,1:16.603
26 ,1:18.584 ,61 ,1:16.455
27 ,1:19.122 ,62 ,1:16.596
28 P ,1:24.120 ,63 ,1:16.394
29 ,1:34.550 ,64 ,1:16.546
30 ,1:17.510 ,65 ,1:16.452
31 ,1:17.516 ,66 ,1:17.700
32 ,1:17.849 ,67 ,1:17.108
33 ,1:17.290 ,68 ,1:16.734
34 ,1:17.446 ,69 ,1:16.589
35 ,1:17.739 ,70 ,1:17.161
LAP  ,TIME,LAP  ,TIME
1 ,14:04:20 ,37 ,1:15.858
2 ,1:16.717 ,38 ,1:15.875
3 ,1:16.498 ,39 ,1:15.772
4 ,1:16.211 ,40 ,1:16.153
5 ,1:16.080 ,41 ,1:16.226
6 ,1:16.226 ,42 ,1:16.202
7 ,1:16.516 ,43 ,1:15.920
8 ,1:16.295 ,44 ,1:15.655
9 ,1:16.712 ,45 ,1:16.317
10 ,1:16.817 ,46 ,1:15.870
11 ,1:16.588 ,47 ,1:15.509
12 ,1:16.525 ,48 P ,1:21.073
13 P ,1:21.802 ,49 ,1:31.394
14 ,1:33.962 ,50 ,1:15.149
15 ,1:16.413 ,51 ,1:15.136
16 ,1:16.025 ,52 ,1:15.518
17 ,1:16.619 ,53 ,1:15.123
18 ,1:16.692 ,54 ,1:15.478
19 ,1:16.484 ,55 ,1:15.152
20 ,1:16.616 ,56 ,1:15.444
21 ,1:16.600 ,57 ,1:14.957
22 ,1:16.709 ,58 ,1:15.228
23 ,1:16.639 ,59 ,1:15.474
24 ,1:16.678 ,60 ,1:15.187
25 ,1:16.869 ,61 ,1:15.271
26 ,1:16.420 ,62 ,1:15.041
27 ,1:16.578 ,63 ,1:15.270
28 ,1:16.426 ,64 ,1:15.643
29 ,1:16.409 ,65 ,1:15.538
30 ,1:16.381 ,66 ,1:15.471
31 ,1:16.442 ,67 ,1:15.750
32 ,1:16.612 ,68 ,1:15.488
33 P ,1:22.486 ,69 ,1:16.079
34 ,1:32.819 ,70 ,1:15.602
35 ,1:15.669 ,71 ,1:16.493
36 ,1:15.693,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:04:22 ,37 ,1:16.246
2 ,1:17.314 ,38 ,1:15.879
3 ,1:16.803 ,39 ,1:16.470
4 ,1:16.616 ,40 ,1:16.052
5 ,1:16.639 ,41 ,1:15.766
6 ,1:16.604 ,42 ,1:15.827
7 ,1:16.720 ,43 ,1:15.774
8 ,1:16.615 ,44 ,1:16.031
9 ,1:16.597 ,45 ,1:16.124
10 ,1:16.952 ,46 ,1:16.235
11 ,1:16.741 ,47 P ,1:21.737
12 ,1:16.906 ,48 ,1:33.300
13 P ,1:22.215 ,49 ,1:15.294
14 ,1:33.874 ,50 ,1:16.155
15 ,1:16.442 ,51 ,1:15.769
16 ,1:16.384 ,52 ,1:15.999
17 ,1:16.799 ,53 ,1:15.567
18 ,1:17.373 ,54 ,1:15.539
19 ,1:16.737 ,55 ,1:15.539
20 ,1:16.814 ,56 ,1:15.628
21 ,1:16.646 ,57 ,1:15.046
22 ,1:16.674 ,58 ,1:15.264
23 ,1:16.792 ,59 ,1:15.328
24 ,1:16.627 ,60 ,1:15.218
25 ,1:16.677 ,61 ,1:15.284
26 ,1:16.862 ,62 ,1:15.068
27 ,1:17.276 ,63 ,1:15.400
28 ,1:17.104 ,64 ,1:15.164
29 ,1:16.999 ,65 ,1:15.398
30 ,1:16.902 ,66 ,1:15.589
31 ,1:16.919 ,67 ,1:15.524
32 P ,1:22.146 ,68 ,1:16.115
33 ,1:32.821 ,69 ,1:15.738
34 ,1:15.650 ,70 ,1:16.036
35 ,1:15.614 ,71 ,1:15.464
36 ,1:15.789,"",""
7 ,K. RAIKKONEN
8 ,R. GROSJEAN
9 ,M. ERICSSON
LAP  ,TIME,LAP  ,TIME
1 ,14:04:22 ,37 ,1:17.288
2 ,1:17.488 ,38 ,1:17.648
3 ,1:17.073 ,39 ,1:18.109
4 ,1:16.751 ,40 ,1:17.707
5 ,1:16.885 ,41 ,1:17.246
6 ,1:16.751 ,42 ,1:17.151
7 ,1:17.252 ,43 ,1:17.355
8 ,1:16.950 ,44 ,1:17.450
9 ,1:17.251 ,45 ,1:17.508
10 ,1:17.376 ,46 P ,1:23.141
11 ,1:17.236 ,47 ,1:35.635
12 P ,1:22.395 ,48 ,1:15.416
