INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
19 ,F. MASSA ,339.6
11 ,S. PEREZ ,337.3
8 ,R. GROSJEAN ,336.0
13 ,P. MALDONADO ,335.5
5 ,S. VETTEL ,335.2
77 ,V. BOTTAS ,334.5
27 ,N. HULKENBERG ,332.9
6 ,N. ROSBERG ,332.4
33 ,M. VERSTAPPEN ,330.6
44 ,L. HAMILTON ,330.2
7 ,K. RAIKKONEN ,330.0
26 ,D. KVYAT ,329.9
12 ,F. NASR ,329.5
3 ,D. RICCIARDO ,329.2
9 ,M. ERICSSON ,328.7
22 ,J. BUTTON ,325.0
14 ,F. ALONSO ,322.8
53 ,A. ROSSI ,312.2
28 ,W. STEVENS ,309.0
55 ,C. SAINZ ,285.9
NO ,DRIVER ,KPH
44 ,L. HAMILTON ,254.9
8 ,R. GROSJEAN ,254.0
6 ,N. ROSBERG ,252.8
5 ,S. VETTEL ,251.9
13 ,P. MALDONADO ,251.1
33 ,M. VERSTAPPEN ,250.0
19 ,F. MASSA ,249.3
7 ,K. RAIKKONEN ,247.9
14 ,F. ALONSO ,247.0
27 ,N. HULKENBERG ,246.5
26 ,D. KVYAT ,246.5
11 ,S. PEREZ ,246.4
77 ,V. BOTTAS ,246.1
9 ,M. ERICSSON ,245.3
12 ,F. NASR ,245.1
22 ,J. BUTTON ,244.1
3 ,D. RICCIARDO ,243.2
53 ,A. ROSSI ,237.7
28 ,W. STEVENS ,235.9
NO ,DRIVER ,KPH
8 ,R. GROSJEAN ,345.0
77 ,V. BOTTAS ,344.0
44 ,L. HAMILTON ,340.9
5 ,S. VETTEL ,340.1
7 ,K. RAIKKONEN ,340.0
13 ,P. MALDONADO ,340.0
11 ,S. PEREZ ,339.5
19 ,F. MASSA ,339.3
6 ,N. ROSBERG ,338.7
33 ,M. VERSTAPPEN ,338.7
27 ,N. HULKENBERG ,338.4
3 ,D. RICCIARDO ,337.7
9 ,M. ERICSSON ,336.3
12 ,F. NASR ,335.9
26 ,D. KVYAT ,335.6
14 ,F. ALONSO ,333.0
22 ,J. BUTTON ,329.4
53 ,A. ROSSI ,319.0
28 ,W. STEVENS ,318.3
