SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
5 ,S. VETTEL ,18.574
44 ,L. HAMILTON ,18.590
6 ,N. ROSBERG ,18.594
19 ,F. MASSA ,18.709
8 ,R. GROSJEAN ,18.718
11 ,S. PEREZ ,18.765
33 ,M. VERSTAPPEN ,18.801
7 ,K. RAIKKONEN ,18.865
26 ,D. KVYAT ,18.884
13 ,P. MALDONADO ,18.885
3 ,D. RICCIARDO ,18.922
77 ,V. BOTTAS ,18.927
9 ,M. ERICSSON ,18.968
14 ,F. ALONSO ,19.012
27 ,N. HULKENBERG ,19.028
22 ,J. BUTTON ,19.058
12 ,F. NASR ,19.146
28 ,W. STEVENS ,19.642
53 ,A. ROSSI ,19.669
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,38.777
6 ,N. ROSBERG ,39.004
5 ,S. VETTEL ,39.097
7 ,K. RAIKKONEN ,39.159
9 ,M. ERICSSON ,39.355
33 ,M. VERSTAPPEN ,39.495
8 ,R. GROSJEAN ,39.534
14 ,F. ALONSO ,39.620
19 ,F. MASSA ,39.622
3 ,D. RICCIARDO ,39.684
22 ,J. BUTTON ,39.726
13 ,P. MALDONADO ,39.852
77 ,V. BOTTAS ,39.859
26 ,D. KVYAT ,39.959
11 ,S. PEREZ ,39.981
12 ,F. NASR ,40.008
27 ,N. HULKENBERG ,40.050
53 ,A. ROSSI ,40.887
28 ,W. STEVENS ,41.232
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,16.905
11 ,S. PEREZ ,17.108
6 ,N. ROSBERG ,17.142
8 ,R. GROSJEAN ,17.147
5 ,S. VETTEL ,17.178
7 ,K. RAIKKONEN ,17.182
9 ,M. ERICSSON ,17.185
77 ,V. BOTTAS ,17.226
19 ,F. MASSA ,17.229
13 ,P. MALDONADO ,17.266
33 ,M. VERSTAPPEN ,17.289
3 ,D. RICCIARDO ,17.296
27 ,N. HULKENBERG ,17.341
26 ,D. KVYAT ,17.369
14 ,F. ALONSO ,17.405
22 ,J. BUTTON ,17.432
12 ,F. NASR ,17.440
28 ,W. STEVENS ,17.975
53 ,A. ROSSI ,18.061
