POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:44.517 ,44 ,"","",191.302 ,18:22:46
2 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:44.550 ,48 ,0.033 ,0.246,191.242 ,18:30:23
3 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:44.796 ,52 ,0.279 ,0.146,190.793 ,18:40:55
4 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:44.942 ,47 ,0.425 ,"",190.528 ,18:28:11
"","","","","","","","",0.414,"",""
5 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:45.356 ,37 ,0.839 ,0.390,189.779 ,18:10:15
6 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:45.746 ,40 ,1.229 ,0.113,189.079 ,18:17:12
7 ,8 ,R. GROSJEAN ,FRA ,Lotus F1 Team ,1:45.859 ,47 ,1.342 ,0.033,188.877 ,18:29:26
8 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:45.892 ,30 ,1.375 ,"",188.818 ,17:58:30
"","","","","","","","",0.413,"",""
9 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:46.305 ,46 ,1.788 ,0.119,188.085 ,18:27:03
10 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:46.424 ,46 ,1.907 ,0.040,187.874 ,18:28:19
11 ,77 ,V. BOTTAS ,FIN ,Williams Racing ,1:46.464 ,45 ,1.947 ,0.053,187.804 ,18:26:14
12 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:46.517 ,48 ,2.000 ,0.365,187.710 ,18:31:52
13 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:46.882 ,27 ,2.365 ,0.102,187.069 ,17:53:22
14 ,19 ,F. MASSA ,BRA ,Williams Racing ,1:46.984 ,33 ,2.467 ,0.014,186.891 ,18:04:07
15 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:46.998 ,38 ,2.481 ,"",186.867 ,18:13:13
"","","","","","","","",0.066,"",""
16 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:47.064 ,29 ,2.547 ,0.445,186.751 ,17:56:55
17 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:47.509 ,29 ,2.992 ,"",185.978 ,17:57:18
"","","","","","","","",2.101,"",""
18 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:49.610 ,53 ,5.093 ,"",182.414 ,18:43:26
"","","","","","","","",1.603,"",""
19 ,98 ,R. MERHI ,ESP ,Manor Marussia F1 Team ,1:51.213 ,26 ,6.696 ,"",179.784 ,17:53:35
