5 ,S. VETTEL
6 ,N. ROSBERG
3 ,D. RICCIARDO
LAP  ,TIME,LAP  ,TIME
1 ,17:05:25 ,29 ,1:46.427
2 ,1:48.856 ,30 ,1:47.134
3 ,1:48.008 ,31 ,1:47.265
4 ,1:48.469 ,32 ,1:46.876
5 ,1:49.002 ,33 ,1:46.774
6 P ,1:50.418 ,34 ,1:46.813
7 ,2:07.872 ,35 ,1:46.567
8 ,1:49.246 ,36 ,1:46.384
9 ,1:48.466 ,37 ,1:46.608
10 ,1:49.146 ,38 ,1:46.432
11 ,1:49.816 ,39 ,1:46.597
12 ,1:48.407 ,40 ,1:46.920
13 ,1:48.300 ,41 ,1:47.344
14 ,1:48.743 ,42 ,1:47.115
15 ,1:48.919 ,43 ,1:47.434
16 ,1:48.357 ,44 ,1:48.040
17 ,1:48.347 ,45 ,1:46.533
18 ,1:48.566 ,46 ,1:46.305
19 ,1:48.958 ,47 ,1:46.773
20 ,1:48.851 ,48 ,1:46.822
21 ,1:49.337 ,49 ,1:47.305
22 ,1:48.887 ,50 ,1:46.867
23 ,1:48.761 ,51 ,1:47.417
24 ,1:48.984 ,52 ,1:47.210
25 ,1:48.334 ,53 ,1:47.077
26 P ,1:49.970 ,54 ,1:47.396
27 ,2:06.213 ,55 ,1:47.481
28 ,1:46.552,"",""
LAP  ,TIME,LAP  ,TIME
1 ,17:05:30 ,29 ,1:46.177
2 ,1:49.608 ,30 ,1:45.965
3 ,1:49.249 ,31 ,1:46.341
4 ,1:49.085 ,32 ,1:47.385
5 ,1:48.943 ,33 ,1:46.959
6 ,1:49.144 ,34 ,1:46.426
7 ,1:48.610 ,35 ,1:46.631
8 ,1:48.128 ,36 ,1:48.704
9 ,1:47.950 ,37 ,1:46.949
10 ,1:48.069 ,38 ,1:46.878
11 ,1:48.183 ,39 P ,1:48.650
12 ,1:47.871 ,40 ,2:05.872
13 ,1:48.757 ,41 ,1:45.156
14 ,1:49.719 ,42 ,1:45.684
15 ,1:48.575 ,43 ,1:45.708
16 ,1:49.705 ,44 ,1:45.542
17 ,1:48.420 ,45 ,1:45.255
18 ,1:48.287 ,46 ,1:44.607
19 ,1:48.339 ,47 ,1:45.250
20 ,1:48.641 ,48 ,1:44.550
21 ,1:48.579 ,49 ,1:44.733
22 ,1:48.657 ,50 ,1:46.526
23 P ,1:50.602 ,51 ,1:46.805
24 ,2:06.851 ,52 ,1:45.781
25 ,1:47.978 ,53 ,1:46.503
26 ,1:47.277 ,54 ,1:46.623
27 ,1:46.078 ,55 ,1:46.380
28 ,1:46.116,"",""
LAP  ,TIME,LAP  ,TIME
1 ,17:05:20 ,29 ,1:47.264
2 ,1:47.014 ,30 ,1:47.009
3 ,1:46.942 ,31 P ,1:49.248
4 ,1:47.263 ,32 ,2:05.870
5 ,1:47.188 ,33 ,1:45.450
6 ,1:47.254 ,34 ,1:45.944
7 ,1:46.889 ,35 ,1:45.627
8 ,1:47.172 ,36 ,1:45.530
9 ,1:47.121 ,37 ,1:45.356
10 P ,1:49.514 ,38 ,1:46.047
11 ,2:06.903 ,39 ,1:45.500
12 ,1:47.373 ,40 ,1:45.673
13 ,1:47.490 ,41 ,1:45.912
14 ,1:47.549 ,42 ,1:45.951
15 ,1:46.828 ,43 ,1:45.476
16 ,1:47.393 ,44 ,1:45.669
17 ,1:47.435 ,45 ,1:45.490
18 ,1:47.029 ,46 ,1:46.487
19 ,1:47.334 ,47 ,1:45.773
20 ,1:47.538 ,48 ,1:45.475
21 ,1:47.128 ,49 ,1:45.461
22 ,1:47.233 ,50 ,1:45.639
23 ,1:47.779 ,51 ,1:45.436
24 ,1:47.339 ,52 ,1:45.577
25 ,1:47.453 ,53 ,1:46.806
26 ,1:46.999 ,54 ,1:46.383
27 ,1:47.410 ,55 ,1:47.913
28 ,1:47.194,"",""
8 ,R. GROSJEAN
9 ,M. ERICSSON
7 ,K. RAIKKONEN
LAP  ,TIME,LAP  ,TIME
1 ,17:05:23 ,29 ,1:47.175
2 ,1:47.602 ,30 ,1:47.197
3 ,1:47.451 ,31 ,1:47.432
4 ,1:47.431 ,32 P ,1:49.143
5 ,1:47.704 ,33 ,2:11.006
6 ,1:47.840 ,34 ,1:46.168
7 ,1:48.311 ,35 ,1:46.322
8 ,1:48.653 ,36 ,1:45.984
9 ,1:48.508 ,37 ,1:45.352
10 P ,1:50.750 ,38 ,1:45.478
11 ,2:07.036 ,39 ,1:45.847
12 ,1:46.792 ,40 ,1:45.222
13 ,1:46.991 ,41 ,1:45.234
14 ,1:47.604 ,42 ,1:45.398
15 ,1:47.750 ,43 ,1:45.675
16 ,1:47.220 ,44 ,1:45.898
17 ,1:47.264 ,45 ,1:46.064
18 ,1:47.319 ,46 ,1:45.455
19 ,1:47.267 ,47 ,1:44.942
20 ,1:47.306 ,48 ,1:45.452
21 ,1:47.618 ,49 ,1:45.693
22 ,1:47.380 ,50 ,1:45.558
23 ,1:47.435 ,51 ,1:46.401
24 ,1:47.851 ,52 ,1:46.372
25 ,1:47.616 ,53 ,1:45.824
26 ,1:47.819 ,54 ,1:46.397
27 ,1:47.272 ,55 ,1:49.036
28 ,1:47.264,"",""
LAP  ,TIME,LAP  ,TIME
1 ,17:05:32 ,29 ,1:47.955
2 ,1:50.672 ,30 ,1:47.647
3 ,1:49.887 ,31 ,1:48.142
4 ,1:50.175 ,32 ,1:47.718
5 ,1:49.671 ,33 ,1:47.505
6 ,1:49.529 ,34 ,1:47.843
7 ,1:49.585 ,35 ,1:47.794
8 ,1:49.120 ,36 ,1:47.955
9 ,1:48.827 ,37 ,1:47.789
10 ,1:48.958 ,38 ,1:47.761
11 ,1:49.731 ,39 ,1:47.710
12 ,1:50.807 ,40 ,1:47.647
13 ,1:49.106 ,41 ,1:47.727
14 ,1:49.178 ,42 ,1:47.841
15 ,1:48.936 ,43 P ,1:49.807
16 ,1:48.823 ,44 ,2:06.393
17 ,1:49.048 ,45 ,1:46.170
18 ,1:49.033 ,46 ,1:46.017
19 ,1:49.270 ,47 ,1:45.859
20 ,1:49.226 ,48 ,1:46.220
21 ,1:48.884 ,49 ,1:46.371
22 ,1:49.060 ,50 ,1:46.310
23 P ,1:51.364 ,51 ,1:47.286
24 ,2:09.751 ,52 ,1:47.290
25 ,1:48.249 ,53 ,1:46.829
26 ,1:48.034 ,54 ,1:47.035
27 ,1:48.028 ,55 ,1:46.742
28 ,1:48.311,"",""
LAP  ,TIME,LAP  ,TIME
1 ,17:05:32 ,28 ,1:49.202
2 ,1:51.192 ,29 ,1:50.071
3 ,1:50.155 ,30 ,1:49.023
4 ,1:50.937 ,31 ,1:48.822
