NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
14 ,F. ALONSO ,McLaren Honda ,1 ,17:05:39 ,"",1 ,"",44.990 ,44.990
12 ,F. NASR ,Sauber F1 Team ,4 ,17:11:05 ,"",1 ,"",28.407 ,28.407
26 ,D. KVYAT ,Infiniti Red Bull Racing ,5 ,17:12:45 ,"",1 ,"",21.868 ,21.868
11 ,S. PEREZ ,Sahara Force India F1 Team ,6 ,17:14:27 ,"",1 ,"",21.922 ,21.922
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,6 ,17:14:29 ,"",1 ,"",21.949 ,21.949
19 ,F. MASSA ,Williams Racing ,6 ,17:14:32 ,"",1 ,"",22.851 ,22.851
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,7 ,17:16:20 ,"",1 ,"",22.045 ,22.045
55 ,C. SAINZ ,Scuderia Toro Rosso ,7 ,17:16:24 ,"",1 ,"",25.307 ,25.307
77 ,V. BOTTAS ,Williams Racing ,8 ,17:18:12 ,"",1 ,"",24.485 ,24.485
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,8 ,17:18:16 ,"",1 ,"",22.309 ,22.309
22 ,J. BUTTON ,McLaren Honda ,8 ,17:18:18 ,"",1 ,"",23.722 ,23.722
14 ,F. ALONSO ,McLaren Honda ,8 ,17:19:12 ,"",2 ,"",16.128 ,1:01.118
77 ,V. BOTTAS ,Williams Racing ,9 ,17:20:31 ,"",2 ,"",28.622 ,53.107
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,10 ,17:21:26 ,"",1 ,"",21.637 ,21.637
7 ,K. RAIKKONEN ,Scuderia Ferrari ,10 ,17:21:36 ,"",1 ,"",22.162 ,22.162
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,11 ,17:23:20 ,"",1 ,"",21.346 ,21.346
9 ,M. ERICSSON ,Sauber F1 Team ,15 ,17:31:20 ,"",1 ,"",22.838 ,22.838
14 ,F. ALONSO ,McLaren Honda ,17 ,17:36:02 ,"",3 ,"",22.246 ,1:23.364
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,20 ,17:40:25 ,"",2 ,"",22.457 ,44.766
5 ,S. VETTEL ,Scuderia Ferrari ,23 ,17:45:22 ,"",1 ,"",21.795 ,21.795
8 ,R. GROSJEAN ,Lotus F1 Team ,23 ,17:45:39 ,"",1 ,"",22.203 ,22.203
28 ,W. STEVENS ,Manor Marussia F1 Team ,23 ,17:47:03 ,"",1 ,"",22.913 ,22.913
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,24 ,17:47:36 ,"",2 ,"",22.174 ,44.219
98 ,R. MERHI ,Manor Marussia F1 Team ,24 ,17:49:26 ,"",1 ,"",24.314 ,24.314
26 ,D. KVYAT ,Infiniti Red Bull Racing ,25 ,17:49:27 ,"",2 ,"",21.634 ,43.502
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,26 ,17:51:05 ,"",2 ,"",22.118 ,44.067
19 ,F. MASSA ,Williams Racing ,26 ,17:51:15 ,"",2 ,"",22.710 ,45.561
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
12 ,F. NASR ,Sauber F1 Team ,26 ,17:51:35 ,"",2 ,"",22.806 ,51.213
11 ,S. PEREZ ,Sahara Force India F1 Team ,27 ,17:52:50 ,"",2 ,"",22.116 ,44.038
22 ,J. BUTTON ,McLaren Honda ,27 ,17:53:21 ,"",2 ,"",22.310 ,46.032
55 ,C. SAINZ ,Scuderia Toro Rosso ,28 ,17:54:59 ,"",2 ,"",22.063 ,47.370
77 ,V. BOTTAS ,Williams Racing ,29 ,17:57:10 ,"",3 ,"",29.592 ,1:22.699
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,31 ,17:59:21 ,"",2 ,"",21.580 ,43.217
7 ,K. RAIKKONEN ,Scuderia Ferrari ,32 ,18:01:20 ,"",2 ,"",25.613 ,47.775
28 ,W. STEVENS ,Manor Marussia F1 Team ,33 ,18:06:05 ,"",2 ,"",22.854 ,45.767
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,38 ,18:13:19 ,"",3 ,"",22.355 ,1:07.121
5 ,S. VETTEL ,Scuderia Ferrari ,39 ,18:14:14 ,"",2 ,"",21.628 ,43.423
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,41 ,18:17:11 ,"",2 ,"",21.392 ,42.738
9 ,M. ERICSSON ,Sauber F1 Team ,41 ,18:18:57 ,"",2 ,"",22.200 ,45.038
8 ,R. GROSJEAN ,Lotus F1 Team ,43 ,18:22:01 ,"",2 ,"",22.234 ,44.437
12 ,F. NASR ,Sauber F1 Team ,44 ,18:24:25 ,"",3 ,"",22.086 ,1:13.299
14 ,F. ALONSO ,McLaren Honda ,47 ,18:30:52 ,"",4 ,"",22.377 ,1:45.741
