Lewis Hamilton,146.005,133.785,93.493,92.765,92.685,92.593,92.899,92.933,92.911,92.742,92.432,92.491,93.033,93.177,92.458,92.148,92.462,92.347,92.306,91.94,92.405,92.791,92.925,111.204,99.012,93.021,93.241,92.824,92.005,91.676,91.953,91.875,93.071,91.995,91.562,91.514,91.134,91.208,91.825,91.347,91.982,91.541,91.693,91.229,91.177,91.649,91.224,91.023,90.945,91.804,92.242,91.708,91.273,91.358,90.993,91.4,91.645
Nico Rosberg,145.242,134.42,94.638,93.068,92.371,92.827,92.46,92.38,92.572,93.184,92.65,92.752,92.93,93.576,92.324,92.3,92.365,92.243,92.426,92.454,93.011,92.948,93.048,93.964,111.568,98.552,92.092,92.108,91.754,91.609,91.737,91.66,92.981,91.775,91.355,91.61,91.573,91.565,91.798,91.4,91.493,91.259,92.243,91.231,91.319,91.092,91.332,91.141,91.384,91.443,91.678,91.688,91.411,91.372,91.366,91.189,91.146
Felipe Massa,144.418,134.436,95.15,93.928,93.47,93.205,93.576,93.212,93.054,93.171,93.484,93.355,93.354,93.517,93.247,93.159,93.245,93.195,93.141,111.561,98.947,94.555,92.072,93.042,92.58,93.059,93.22,93.118,92.91,92.755,92.813,92.776,92.857,92.612,92.607,92.293,92.444,92.91,92.776,92.747,92.358,92.141,92.091,91.947,92.273,92.073,91.802,91.931,91.719,91.859,91.857,92.289,91.784,91.944,91.753,92,92.358
Sebastian Vettel,144.069,133.846,95.361,94.027,93.438,93.197,93.754,92.991,93.074,93.49,93.597,93.513,93.374,93.853,93.173,93.229,93.146,93.168,93.145,92.859,92.307,92.664,111.263,98.543,92.115,92.429,92.67,92.432,92.518,92.698,92.443,92.3,92.856,92.633,92.567,92.456,92.518,93.729,92.644,92.673,92.653,92.129,92.334,92.288,92.054,92.259,92.037,92.127,91.754,91.578,91.457,91.492,91.847,91.719,91.478,91.717,93.383
Kimi Raikkonen,143.867,131.256,97.23,95.071,94.684,94.126,94.264,94.239,94.222,94.061,93.999,93.898,94.582,94.486,117.6,99.215,91.96,93.242,92.112,92.009,92.194,92.335,94.015,92.322,92.881,91.681,91.952,92.053,91.585,91.947,91.523,92.003,92.999,92.154,91.426,91.697,91.759,92.31,111.054,,,,,,,,,,,,,,,,,,
Daniel Ricciardo,143.889,132.122,96.675,95.092,94.81,94.42,94.51,94.213,94.236,94.037,94.029,93.991,94.354,94.629,94.082,94.34,94.963,94.456,94.288,94.688,94.649,113.8,99.811,93.836,93.761,93.543,93.574,93.102,92.939,93.207,93.139,93.128,93.167,93.005,93.063,92.934,92.9,93.231,93.172,93.003,93.03,93.045,93.377,94.615,92.797,93.253,94.021,94.011,93.121,93.69,93.224,93.332,93.342,93.934,98.234,96.576,
Carlos Sainz Jnr,143.584,133.584,97.662,95.195,94.557,95.417,94.392,94.604,94.35,94.588,94.561,94.846,94.74,94.708,94.234,94.313,94.522,94.232,94.696,94.3,94.799,94.933,146.974,100.615,93.226,93.081,93.462,94.067,93.566,93.706,94.073,96.786,95.504,95.64,95.828,95.719,95.781,94.286,96.271,93.544,93.428,93.971,93.529,93.459,93.869,93.57,93.229,92.872,93.024,93.074,93.646,93.449,94.977,93.366,94.074,95.328,
Felipe Nasr,143.809,132.364,96.284,95.148,94.761,94.263,94.505,94.33,94.164,93.945,94.047,94.211,94.18,94.385,93.596,93.549,93.85,93.745,94.118,94.248,93.722,94.264,94.091,114.815,100.836,92.766,92.931,93.376,93.459,93.466,93.585,93.385,93.234,93.887,93.435,93.221,93.019,93.429,93.127,92.739,92.855,92.905,93.058,93.44,92.612,92.632,93.013,93.188,93.766,93.919,93.797,94.053,93.015,92.788,93.371,93.957,96.63
Max Verstappen,143.966,130.745,97.782,95.735,95.37,95.04,95.169,94.721,95.157,95.126,95.029,94.588,95.034,94.982,94.439,94.301,94.535,94.842,94.69,94.546,94.641,94.477,94.482,94.805,94.717,95.096,94.663,94.529,94.295,94.829,114.11,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Hulkenberg,144.593,129.971,97.991,95.944,95.314,95.164,95.427,94.908,95.057,95.027,94.721,94.772,94.82,95.115,94.734,94.765,94.71,94.815,94.987,112.768,99.484,93.521,93.857,94.403,94.608,94.317,94.385,94.415,94.366,94.287,94.215,94.012,94.276,93.759,94.163,93.869,93.98,94.013,93.956,94.363,94.132,97.5,111.359,100.857,92.24,92.273,91.97,91.975,92.071,92.406,93.116,92.731,92.521,92.95,92.676,93.33,
