3 ,D. RICCIARDO
5 ,S. VETTEL
6 ,N. ROSBERG
LAP  ,TIME,LAP  ,TIME
1 ,15:05:27 ,29 ,1:47.108
2 ,1:47.416 ,30 ,1:47.617
3 ,1:47.785 ,31 ,1:47.153
4 P ,2:12.388 ,32 ,1:47.176
5 ,2:41.563 ,33 ,1:47.786
6 ,2:22.161 ,34 P ,1:51.197
7 ,1:48.247 ,35 ,2:06.164
8 ,1:47.893 ,36 ,1:45.371
9 ,1:48.060 ,37 ,1:45.504
10 ,1:48.070 ,38 ,1:45.357
11 ,1:48.765 ,39 ,1:45.445
12 ,1:49.743 ,40 ,1:45.379
13 ,1:49.570 ,41 ,1:46.197
14 ,1:50.352 ,42 ,1:45.312
15 ,1:49.627 ,43 ,1:45.430
16 ,1:49.008 ,44 ,1:45.544
17 ,1:50.431 ,45 ,1:45.735
18 P ,1:54.534 ,46 ,1:45.836
19 ,2:07.348 ,47 ,1:45.948
20 ,1:46.262 ,48 ,1:46.444
21 ,1:46.763 ,49 ,1:45.480
22 ,1:46.653 ,50 ,1:45.568
23 ,1:47.978 ,51 ,1:45.789
24 ,1:48.478 ,52 ,1:49.658
25 ,1:48.456 ,53 ,1:47.324
26 ,1:50.288 ,54 ,1:47.117
27 ,1:47.826 ,55 ,1:51.259
28 ,1:46.800,"",""
LAP  ,TIME,LAP  ,TIME
1 ,15:05:25 ,29 ,1:45.033
2 ,1:46.830 ,30 ,1:45.346
3 ,1:46.795 ,31 ,1:45.342
4 ,2:09.884 ,32 ,1:45.586
5 ,2:29.327 ,33 ,1:45.456
6 ,2:36.358 ,34 ,1:45.421
7 ,1:46.037 ,35 ,1:45.774
8 ,1:46.216 ,36 ,1:45.763
9 ,1:46.326 ,37 P ,1:49.791
10 ,1:46.264 ,38 ,2:04.142
11 ,1:46.470 ,39 ,1:43.732
12 ,1:46.210 ,40 ,1:44.012
13 ,1:46.677 ,41 ,1:44.089
14 ,1:46.649 ,42 ,1:43.690
15 ,1:46.710 ,43 ,1:43.814
16 ,1:46.946 ,44 ,1:44.228
17 P ,1:51.047 ,45 ,1:44.225
18 ,2:03.523 ,46 ,1:43.648
19 ,1:44.452 ,47 ,1:43.855
20 ,1:44.896 ,48 ,1:43.963
21 ,1:45.706 ,49 ,1:44.063
22 ,1:44.725 ,50 ,1:44.306
23 ,1:44.983 ,51 ,1:44.147
24 ,1:44.964 ,52 ,1:44.149
25 ,1:44.952 ,53 ,1:44.540
26 ,1:45.058 ,54 ,1:44.699
27 ,1:45.287 ,55 ,1:44.715
28 ,1:45.336 ,56 ,1:47.634
LAP  ,TIME,LAP  ,TIME
1 ,15:05:26 ,29 ,1:44.065
2 ,1:47.180 ,30 ,1:44.441
3 ,1:47.014 ,31 ,1:44.255
4 P ,2:12.990 ,32 ,1:44.065
5 ,2:45.795 ,33 ,1:44.478
6 ,2:20.879 ,34 ,1:44.604
7 ,1:48.861 ,35 ,1:44.509
8 ,1:47.441 ,36 ,1:44.497
9 ,1:47.524 ,37 ,1:44.553
10 ,1:47.920 ,38 ,1:45.564
11 ,1:48.730 ,39 ,1:45.218
12 ,1:48.493 ,40 ,1:45.241
13 ,1:48.081 ,41 P ,1:48.839
14 ,1:46.481 ,42 ,2:01.041
15 ,1:46.257 ,43 ,1:42.062
16 ,1:46.258 ,44 ,1:42.552
17 ,1:46.110 ,45 ,1:43.199
18 ,1:46.699 ,46 ,1:43.590
19 ,1:46.379 ,47 ,1:43.082
20 ,1:46.568 ,48 ,1:42.704
21 ,1:47.110 ,49 ,1:42.650
22 ,1:47.078 ,50 ,1:42.907
23 ,1:47.295 ,51 ,1:44.351
24 ,1:47.571 ,52 ,1:43.359
25 ,1:47.658 ,53 ,1:43.923
26 P ,1:51.325 ,54 ,1:43.966
27 ,2:04.090 ,55 ,1:44.108
28 ,1:44.655 ,56 ,1:44.898
7 ,K. RAIKKONEN
8 ,R. GROSJEAN
9 ,M. ERICSSON
LAP  ,TIME,LAP  ,TIME
1 ,15:05:33 ,29 ,1:47.441
2 P ,2:32.942 ,30 ,1:46.618
3 ,2:23.953 ,31 ,1:46.653
4 ,2:16.147 ,32 ,1:46.702
5 ,1:49.747 ,33 ,1:46.852
6 ,1:57.757 ,34 P ,1:50.889
7 ,1:46.534 ,35 ,2:03.968
8 ,1:46.765 ,36 ,1:45.144
9 ,1:46.558 ,37 ,1:44.590
10 ,1:47.014 ,38 ,1:44.432
11 ,1:47.637 ,39 ,1:44.393
12 ,1:48.500 ,40 ,1:44.124
13 ,1:46.975 ,41 ,1:44.571
14 P ,1:51.539 ,42 ,1:44.817
15 ,2:04.534 ,43 ,1:44.652
16 ,1:45.956 ,44 ,1:45.119
17 ,1:45.372 ,45 ,1:44.951
18 ,1:45.803 ,46 ,1:45.032
19 ,1:45.523 ,47 ,1:45.250
20 ,1:46.284 ,48 ,1:45.304
21 ,1:45.774 ,49 ,1:45.059
22 ,1:45.527 ,50 ,1:44.799
