SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
5 ,S. VETTEL ,24.890
6 ,N. ROSBERG ,25.006
9 ,M. ERICSSON ,25.132
8 ,R. GROSJEAN ,25.142
13 ,P. MALDONADO ,25.146
77 ,V. BOTTAS ,25.211
44 ,L. HAMILTON ,25.252
3 ,D. RICCIARDO ,25.276
7 ,K. RAIKKONEN ,25.297
19 ,F. MASSA ,25.325
12 ,F. NASR ,25.352
55 ,C. SAINZ ,25.363
26 ,D. KVYAT ,25.365
27 ,N. HULKENBERG ,25.402
11 ,S. PEREZ ,25.407
33 ,M. VERSTAPPEN ,25.518
14 ,F. ALONSO ,25.522
22 ,J. BUTTON ,25.639
98 ,R. MERHI ,26.578
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,33.508
44 ,L. HAMILTON ,33.845
13 ,P. MALDONADO ,33.908
55 ,C. SAINZ ,33.982
33 ,M. VERSTAPPEN ,34.073
5 ,S. VETTEL ,34.077
3 ,D. RICCIARDO ,34.081
8 ,R. GROSJEAN ,34.118
77 ,V. BOTTAS ,34.176
9 ,M. ERICSSON ,34.200
26 ,D. KVYAT ,34.239
7 ,K. RAIKKONEN ,34.381
19 ,F. MASSA ,34.410
27 ,N. HULKENBERG ,34.471
12 ,F. NASR ,34.581
11 ,S. PEREZ ,34.600
22 ,J. BUTTON ,34.623
14 ,F. ALONSO ,34.651
98 ,R. MERHI ,36.431
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,40.172
5 ,S. VETTEL ,40.176
6 ,N. ROSBERG ,40.215
55 ,C. SAINZ ,40.469
7 ,K. RAIKKONEN ,40.667
77 ,V. BOTTAS ,40.717
19 ,F. MASSA ,40.808
33 ,M. VERSTAPPEN ,40.846
26 ,D. KVYAT ,40.869
3 ,D. RICCIARDO ,40.869
27 ,N. HULKENBERG ,40.957
9 ,M. ERICSSON ,41.008
11 ,S. PEREZ ,41.029
8 ,R. GROSJEAN ,41.034
14 ,F. ALONSO ,41.154
12 ,F. NASR ,41.194
22 ,J. BUTTON ,41.287
13 ,P. MALDONADO ,41.307
98 ,R. MERHI ,43.491
