SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,25.113
6 ,N. ROSBERG ,25.141
5 ,S. VETTEL ,25.216
19 ,F. MASSA ,25.281
77 ,V. BOTTAS ,25.396
7 ,K. RAIKKONEN ,25.416
8 ,R. GROSJEAN ,25.529
3 ,D. RICCIARDO ,25.591
33 ,M. VERSTAPPEN ,25.638
12 ,F. NASR ,25.689
9 ,M. ERICSSON ,25.706
26 ,D. KVYAT ,25.710
55 ,C. SAINZ ,25.819
27 ,N. HULKENBERG ,25.869
13 ,P. MALDONADO ,25.875
11 ,S. PEREZ ,25.889
14 ,F. ALONSO ,26.070
22 ,J. BUTTON ,26.109
28 ,W. STEVENS ,26.936
98 ,R. MERHI ,26.974
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,28.698
6 ,N. ROSBERG ,28.738
7 ,K. RAIKKONEN ,29.152
19 ,F. MASSA ,29.192
5 ,S. VETTEL ,29.201
77 ,V. BOTTAS ,29.233
3 ,D. RICCIARDO ,29.275
26 ,D. KVYAT ,29.415
33 ,M. VERSTAPPEN ,29.451
55 ,C. SAINZ ,29.453
8 ,R. GROSJEAN ,29.475
12 ,F. NASR ,29.500
13 ,P. MALDONADO ,29.504
9 ,M. ERICSSON ,29.522
22 ,J. BUTTON ,29.707
14 ,F. ALONSO ,29.770
11 ,S. PEREZ ,29.819
27 ,N. HULKENBERG ,29.988
28 ,W. STEVENS ,30.868
98 ,R. MERHI ,31.130
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,41.931
44 ,L. HAMILTON ,41.971
5 ,S. VETTEL ,42.270
7 ,K. RAIKKONEN ,42.460
19 ,F. MASSA ,42.481
77 ,V. BOTTAS ,42.514
3 ,D. RICCIARDO ,42.674
8 ,R. GROSJEAN ,42.723
13 ,P. MALDONADO ,42.742
9 ,M. ERICSSON ,42.758
12 ,F. NASR ,42.828
55 ,C. SAINZ ,43.061
33 ,M. VERSTAPPEN ,43.082
26 ,D. KVYAT ,43.084
27 ,N. HULKENBERG ,43.108
11 ,S. PEREZ ,43.195
14 ,F. ALONSO ,43.440
22 ,J. BUTTON ,43.460
28 ,W. STEVENS ,44.287
98 ,R. MERHI ,44.738
