POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:42.208 ,31 ,"","",191.996 ,14:57:43
2 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:42.565 ,39 ,0.357 ,0.087,191.328 ,15:11:55
3 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:42.652 ,41 ,0.444 ,0.082,191.166 ,15:17:49
4 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:42.734 ,37 ,0.526 ,"",191.013 ,15:09:07
"","","","","","","","",0.284,"",""
5 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:43.018 ,15 ,0.810 ,0.008,190.487 ,14:30:10
6 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:43.026 ,48 ,0.818 ,0.025,190.472 ,15:27:38
7 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:43.051 ,37 ,0.843 ,0.083,190.426 ,15:09:16
8 ,8 ,R. GROSJEAN ,FRA ,Lotus F1 Team ,1:43.134 ,34 ,0.926 ,0.111,190.272 ,15:04:17
9 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:43.245 ,46 ,1.037 ,0.267,190.068 ,15:25:27
10 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:43.512 ,44 ,1.304 ,0.174,189.578 ,15:22:17
11 ,13 ,P. MALDONADO ,VEN ,Lotus F1 Team ,1:43.686 ,37 ,1.478 ,0.006,189.259 ,15:09:59
12 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:43.692 ,46 ,1.484 ,0.036,189.248 ,15:25:19
13 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:43.728 ,40 ,1.520 ,0.152,189.183 ,15:15:31
14 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:43.880 ,46 ,1.672 ,"",188.906 ,15:25:16
"","","","","","","","",0.324,"",""
15 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:44.204 ,32 ,1.996 ,0.787,188.319 ,15:01:03
16 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:44.991 ,21 ,2.783 ,"",186.907 ,14:41:30
"","","","","","","","",0.423,"",""
17 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:45.414 ,40 ,3.206 ,0.430,186.157 ,15:17:23
18 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:45.844 ,6 ,3.636 ,0.119,185.401 ,14:14:23
19 ,98 ,R. MERHI ,ESP ,Manor Marussia F1 Team ,1:45.963 ,43 ,3.755 ,"",185.192 ,15:22:59
"","","","","","","","",0.328,"",""
20 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:46.291 ,13 ,4.083 ,"",184.621 ,14:26:57
