3 ,D. RICCIARDO
5 ,S. VETTEL
6 ,N. ROSBERG
LAP  ,TIME,LAP  ,TIME
1 ,18:05:31 ,30 ,1:40.763
2 ,1:40.949 ,31 ,1:41.217
3 ,1:40.889 ,32 ,1:41.508
4 ,1:41.127 ,33 ,1:41.295
5 ,1:41.189 ,34 ,1:41.216
6 ,1:41.336 ,35 P ,1:44.355
7 ,1:41.308 ,36 ,2:00.171
8 ,1:41.354 ,37 ,1:39.109
9 ,1:41.219 ,38 ,1:39.404
10 ,1:41.271 ,39 ,1:39.265
11 ,1:41.349 ,40 ,1:39.322
12 ,1:41.746 ,41 ,1:39.410
13 ,1:41.780 ,42 ,1:39.417
14 P ,1:44.553 ,43 ,1:39.347
15 ,2:01.208 ,44 ,1:39.069
16 ,1:39.421 ,45 ,1:39.684
17 ,1:39.880 ,46 ,1:39.453
18 ,1:40.160 ,47 ,1:39.571
19 ,1:39.928 ,48 ,1:39.044
20 ,1:40.204 ,49 ,1:39.704
21 ,1:40.211 ,50 ,1:39.056
22 ,1:39.932 ,51 ,1:39.205
23 ,1:40.339 ,52 ,1:39.845
24 ,1:39.800 ,53 ,1:38.948
25 ,1:39.936 ,54 ,1:39.898
26 ,1:40.250 ,55 ,1:39.777
27 ,1:40.365 ,56 ,1:39.490
28 ,1:40.340 ,57 ,1:41.660
29 ,1:40.315,"",""
LAP  ,TIME,LAP  ,TIME
1 ,18:05:28 ,30 ,1:40.027
2 ,1:39.607 ,31 ,1:40.302
3 ,1:39.450 ,32 P ,1:43.027
4 ,1:39.730 ,33 ,1:58.751
5 ,1:40.205 ,34 ,1:37.547
6 ,1:40.235 ,35 ,1:38.013
7 ,1:40.306 ,36 P ,1:43.492
8 ,1:42.357 ,37 ,2:06.735
9 ,1:42.499 ,38 ,1:36.624
10 ,1:41.138 ,39 ,1:37.362
11 ,1:40.844 ,40 ,1:37.562
12 ,1:41.099 ,41 ,1:38.065
13 P ,1:44.118 ,42 ,1:38.452
14 ,1:58.328 ,43 ,1:38.372
15 ,1:38.201 ,44 ,1:38.968
16 ,1:39.661 ,45 ,1:38.752
17 ,1:38.917 ,46 ,1:38.917
18 ,1:38.793 ,47 ,1:39.469
19 ,1:39.310 ,48 ,1:39.289
20 ,1:39.203 ,49 ,1:39.507
21 ,1:39.286 ,50 ,1:39.225
22 ,1:39.349 ,51 ,1:39.471
23 ,1:39.605 ,52 ,1:39.503
24 ,1:39.385 ,53 ,1:39.537
25 ,1:40.435 ,54 ,1:39.743
26 ,1:39.469 ,55 ,1:39.699
27 ,1:39.808 ,56 ,1:39.756
28 ,1:39.981 ,57 ,1:39.952
29 ,1:40.143,"",""
LAP  ,TIME,LAP  ,TIME
1 ,18:05:29 ,30 ,1:39.868
2 ,1:40.231 ,31 ,1:40.093
3 ,1:39.569 ,32 ,1:40.499
4 ,1:39.788 ,33 ,1:40.474
5 ,1:40.035 ,34 P ,1:43.030
6 ,1:40.051 ,35 ,1:57.836
7 ,1:40.117 ,36 ,1:37.326
8 ,1:41.455 ,37 ,1:37.731
9 ,1:40.786 ,38 ,1:37.841
10 ,1:40.293 ,39 ,1:38.211
11 ,1:41.296 ,40 ,1:38.496
12 ,1:40.964 ,41 ,1:38.624
13 ,1:40.611 ,42 ,1:39.134
14 P ,1:43.611 ,43 ,1:38.718
15 ,1:58.549 ,44 ,1:38.745
16 ,1:37.690 ,45 ,1:38.930
17 ,1:38.966 ,46 ,1:38.322
18 ,1:38.737 ,47 ,1:38.358
19 ,1:39.459 ,48 ,1:38.363
20 ,1:39.466 ,49 ,1:38.579
21 ,1:38.852 ,50 ,1:38.717
22 ,1:39.435 ,51 ,1:38.420
23 ,1:39.312 ,52 ,1:38.350
24 ,1:39.033 ,53 ,1:39.072
25 ,1:39.331 ,54 ,1:38.821
26 ,1:39.273 ,55 ,1:39.149
27 ,1:39.513 ,56 ,1:41.390
28 ,1:39.903 ,57 ,1:39.197
29 ,1:39.841,"",""
7 ,K. RAIKKONEN
8 ,R. GROSJEAN
9 ,M. ERICSSON
LAP  ,TIME,LAP  ,TIME
1 ,18:05:29 ,30 ,1:39.733
2 ,1:39.882 ,31 ,1:39.995
3 ,1:39.852 ,32 ,1:39.565
4 ,1:42.277 ,33 ,1:39.509
5 ,1:40.262 ,34 ,1:39.450
6 ,1:40.056 ,35 ,1:39.632
7 ,1:40.196 ,36 ,1:39.884
8 ,1:40.592 ,37 ,1:39.591
9 ,1:41.331 ,38 ,1:39.665
10 ,1:41.066 ,39 ,1:40.684
11 ,1:41.172 ,40 P ,1:44.500
12 ,1:41.192 ,41 ,1:57.785
13 ,1:41.268 ,42 ,1:36.311
14 ,1:41.148 ,43 ,1:36.620
15 ,1:40.973 ,44 ,1:36.832
16 ,1:40.898 ,45 ,1:36.722
17 P ,1:44.164 ,46 ,1:36.785
18 ,1:59.477 ,47 ,1:37.541
19 ,1:38.403 ,48 ,1:37.590
20 ,1:38.688 ,49 ,1:37.524
21 ,1:39.193 ,50 ,1:37.683
22 ,1:39.013 ,51 ,1:37.316
23 ,1:38.986 ,52 ,1:37.695
24 ,1:39.017 ,53 ,1:37.720
25 ,1:39.101 ,54 ,1:38.228
26 ,1:39.171 ,55 ,1:39.181
27 ,1:39.398 ,56 ,1:38.766
28 ,1:39.389 ,57 ,1:38.015
29 ,1:39.606,"",""
LAP  ,TIME,LAP  ,TIME
1 ,18:05:31 ,30 ,1:42.275
2 ,1:41.107 ,31 P ,1:45.040
3 ,1:41.127 ,32 ,2:00.544
4 ,1:41.082 ,33 ,1:39.213
5 ,1:41.358 ,34 ,1:39.161
6 ,1:41.631 ,35 ,1:39.400
7 ,1:41.960 ,36 ,1:39.439
8 ,1:41.753 ,37 ,1:39.635
9 ,1:42.008 ,38 ,1:39.587
10 ,1:42.279 ,39 ,1:39.871
11 ,1:42.386 ,40 ,1:39.969
12 P ,1:45.241 ,41 ,1:40.167
13 ,2:00.563 ,42 ,1:39.955
14 ,1:39.556 ,43 ,1:39.915
15 ,1:40.270 ,44 ,1:39.714
16 ,1:39.826 ,45 ,1:40.137
17 ,1:40.222 ,46 ,1:40.238
18 ,1:40.429 ,47 ,1:40.755
19 ,1:40.454 ,48 ,1:40.542
20 ,1:40.651 ,49 ,1:40.342
21 ,1:40.727 ,50 ,1:40.177
22 ,1:40.926 ,51 ,1:40.286
23 ,1:40.992 ,52 ,1:40.275
24 ,1:41.319 ,53 ,1:40.534
25 ,1:41.431 ,54 ,1:40.391
26 ,1:41.294 ,55 ,1:40.387
27 ,1:41.619 ,56 ,1:40.532
28 ,1:41.415 ,57 ,1:41.197
29 ,1:41.902,"",""
LAP  ,TIME,LAP  ,TIME
1 ,18:05:33 ,29 ,1:39.777
2 ,1:41.486 ,30 ,1:39.499
3 ,1:41.058 ,31 ,1:40.168
4 ,1:41.415 ,32 ,1:39.751
5 ,1:41.708 ,33 ,1:40.710
6 ,1:41.741 ,34 ,1:40.081
7 ,1:42.293 ,35 ,1:40.805
8 ,1:42.465 ,36 ,1:40.428
9 ,1:42.418 ,37 P ,1:43.160
10 ,1:42.522 ,38 ,2:00.797
11 P ,1:45.312 ,39 ,1:39.047
12 ,2:01.123 ,40 ,1:38.963
13 ,1:38.856 ,41 ,1:39.330
14 ,1:40.633 ,42 ,1:39.471
15 ,1:40.100 ,43 ,1:41.133
16 ,1:40.314 ,44 ,1:39.901
17 ,1:40.134 ,45 ,1:40.536
18 ,1:40.404 ,46 ,1:41.030
19 ,1:40.574 ,47 ,1:40.635
20 ,1:40.754 ,48 ,1:40.406
21 ,1:41.362 ,49 ,1:40.450
22 ,1:41.092 ,50 ,1:40.503
23 ,1:41.564 ,51 ,1:40.594
24 ,1:41.224 ,52 ,1:40.076
25 P ,1:44.192 ,53 ,1:40.175
26 ,2:24.757 ,54 ,1:40.638
27 ,1:38.422 ,55 ,1:40.619
28 ,1:39.907 ,56 ,1:41.257
11 ,S. PEREZ
12 ,F. NASR
13 ,P. MALDONADO
LAP  ,TIME,LAP  ,TIME
1 ,18:05:34 ,29 ,1:40.876
2 ,1:41.618 ,30 ,1:41.363
3 ,1:41.688 ,31 ,1:41.464
4 ,1:41.737 ,32 ,1:41.701
5 ,1:41.911 ,33 ,1:41.206
6 ,1:41.980 ,34 ,1:41.433
7 ,1:42.096 ,35 ,1:41.679
8 ,1:42.518 ,36 ,1:42.644
9 ,1:41.726 ,37 P ,1:44.827
10 ,1:41.893 ,38 ,2:00.000
11 ,1:42.181 ,39 ,1:38.338
12 ,1:41.967 ,40 ,1:38.831
13 ,1:42.030 ,41 ,1:39.083
14 ,1:42.949 ,42 ,1:39.294
15 ,1:43.008 ,43 ,1:39.468
16 ,1:43.000 ,44 ,1:39.738
17 P ,1:46.296 ,45 ,1:39.591
18 ,2:01.091 ,46 ,1:39.567
19 ,1:39.088 ,47 ,1:40.075
20 ,1:39.301 ,48 ,1:40.375
21 ,1:39.470 ,49 ,1:41.672
22 ,1:39.859 ,50 ,1:40.136
23 ,1:40.424 ,51 ,1:40.540
24 ,1:40.924 ,52 ,1:40.232
25 ,1:40.274 ,53 ,1:40.392
26 ,1:40.797 ,54 ,1:40.618
27 ,1:40.407 ,55 ,1:42.127
28 ,1:40.440 ,56 ,1:41.162
LAP  ,TIME,LAP  ,TIME
1 ,18:05:35 ,29 ,1:40.708
2 ,1:41.738 ,30 ,1:41.691
3 ,1:41.697 ,31 ,1:40.533
4 ,1:41.939 ,32 ,1:40.239
5 ,1:42.068 ,33 ,1:40.461
6 ,1:42.213 ,34 ,1:40.381
7 ,1:42.012 ,35 ,1:42.367
8 ,1:42.599 ,36 ,1:41.423
9 ,1:42.436 ,37 ,1:41.491
10 P ,1:45.928 ,38 ,1:41.074
11 ,2:02.476 ,39 ,1:41.559
12 ,1:39.343 ,40 ,1:41.907
13 ,1:39.846 ,41 P ,1:44.757
14 ,1:40.091 ,42 ,2:02.106
15 ,1:40.472 ,43 ,1:38.216
16 ,1:40.257 ,44 ,1:38.660
17 ,1:40.539 ,45 ,1:39.822
18 ,1:40.879 ,46 ,1:38.827
19 ,1:40.977 ,47 ,1:39.541
20 ,1:41.373 ,48 ,1:40.645
21 ,1:41.525 ,49 ,1:40.480
22 ,1:41.796 ,50 ,1:39.178
23 ,1:42.295 ,51 ,1:39.457
24 P ,1:44.871 ,52 ,1:39.700
25 ,2:02.730 ,53 ,1:39.749
26 ,1:39.450 ,54 ,1:39.835
27 ,1:40.373 ,55 ,1:40.047
28 ,1:40.164 ,56 ,1:40.023
LAP  ,TIME,LAP  ,TIME
1 ,18:05:37 ,29 ,1:39.039
2 ,1:41.421 ,30 ,1:39.334
3 ,1:41.821 ,31 ,1:39.732
4 ,1:43.185 ,32 ,1:39.883
5 ,1:42.308 ,33 ,1:40.788
6 ,1:41.753 ,34 ,1:39.672
7 ,1:42.131 ,35 ,1:39.771
8 ,1:42.340 ,36 ,1:39.856
9 ,1:42.220 ,37 ,1:40.530
10 P ,1:45.144 ,38 ,1:39.814
11 ,2:06.713 ,39 ,1:40.016
12 ,1:38.495 ,40 ,1:39.958
13 ,1:39.451 ,41 P ,1:43.420
14 ,1:39.887 ,42 ,3:24.028
15 ,1:40.173 ,43 ,1:37.665
16 ,1:40.149 ,44 ,1:37.754
17 ,1:40.405 ,45 ,1:39.063
18 ,1:40.511 ,46 ,1:38.451
19 ,1:40.617 ,47 ,1:38.669
20 ,1:40.834 ,48 ,1:38.458
21 ,1:40.923 ,49 ,1:38.697
22 ,1:41.177 ,50 ,1:38.718
23 ,1:41.659 ,51 ,1:38.797
24 P ,1:45.057 ,52 ,1:38.640
25 ,1:59.108 ,53 ,1:38.968
26 ,1:38.340 ,54 ,1:38.894
27 ,1:39.388 ,55 ,1:38.850
28 ,1:38.685 ,56 ,1:38.736
14 ,F. ALONSO
19 ,F. MASSA
22 ,J. BUTTON
LAP  ,TIME,LAP  ,TIME
1 ,18:05:35 ,29 ,1:41.942
2 ,1:42.035 ,30 ,1:42.172
3 ,1:41.762 ,31 ,1:42.573
4 ,1:41.753 ,32 ,1:42.233
5 ,1:41.996 ,33 ,1:42.054
6 ,1:42.521 ,34 ,1:42.137
7 ,1:43.382 ,35 P ,1:44.509
8 ,1:42.257 ,36 ,2:00.291
9 ,1:42.478 ,37 ,1:39.326
10 ,1:42.712 ,38 ,1:38.992
11 ,1:43.093 ,39 ,1:39.292
12 ,1:44.581 ,40 ,1:40.936
13 P ,1:46.103 ,41 ,1:39.554
14 ,2:01.883 ,42 ,1:39.394
15 ,1:40.927 ,43 ,1:39.152
16 ,1:40.741 ,44 ,1:39.445
17 ,1:41.146 ,45 ,1:40.026
18 ,1:42.740 ,46 ,1:40.297
19 ,1:41.421 ,47 ,1:39.989
20 ,1:41.644 ,48 ,1:40.198
21 ,1:41.737 ,49 ,1:40.845
22 ,1:41.801 ,50 ,1:40.329
23 ,1:41.752 ,51 ,1:40.128
24 ,1:41.943 ,52 ,1:40.089
25 ,1:41.615 ,53 ,1:39.943
26 ,1:41.823 ,54 ,1:39.910
27 ,1:42.275 ,55 ,1:40.124
28 ,1:41.460 ,56 ,1:39.826
LAP  ,TIME,LAP  ,TIME
1 ,18:05:37 ,29 ,1:41.081
2 ,1:41.887 ,30 ,1:40.053
3 ,1:41.981 ,31 ,1:40.537
4 ,1:41.596 ,32 ,1:40.410
5 ,1:41.475 ,33 ,1:40.775
6 ,1:41.771 ,34 ,1:39.981
7 ,1:41.893 ,35 ,1:40.513
8 ,1:42.477 ,36 ,1:40.470
9 ,1:42.383 ,37 ,1:40.185
10 P ,1:45.864 ,38 ,1:40.303
11 ,2:00.121 ,39 ,1:40.432
12 ,1:39.094 ,40 ,1:40.292
13 ,1:39.475 ,41 ,1:40.547
14 ,1:40.200 ,42 ,1:40.651
15 ,1:40.520 ,43 ,1:40.476
16 ,1:40.700 ,44 ,1:40.584
17 ,1:40.723 ,45 ,1:40.592
18 ,1:41.226 ,46 ,1:40.466
19 ,1:41.169 ,47 ,1:40.973
20 ,1:41.314 ,48 ,1:40.818
21 ,1:41.581 ,49 ,1:41.774
22 ,1:41.905 ,50 ,1:42.001
23 ,1:42.262 ,51 ,1:41.618
24 P ,1:46.002 ,52 ,1:41.520
25 ,2:01.037 ,53 ,1:42.878
26 ,1:39.479 ,54 ,1:44.805
27 ,1:40.374 ,55 ,1:42.922
28 ,1:40.250 ,56 ,1:43.080
LAP  ,TIME,LAP  ,TIME
26 ,D. KVYAT
27 ,N. HULKENBERG
28 ,W. STEVENS
LAP  ,TIME,LAP  ,TIME
1 ,18:05:37 ,29 ,1:41.163
2 ,1:43.347 ,30 ,1:41.360
3 ,1:41.763 ,31 ,1:41.619
4 ,1:42.547 ,32 ,1:41.880
5 ,1:42.083 ,33 ,1:42.025
6 ,1:43.081 ,34 P ,1:45.112
7 ,1:41.375 ,35 ,2:01.315
8 ,1:42.013 ,36 ,1:38.725
9 ,1:42.175 ,37 ,1:39.167
10 ,1:42.413 ,38 ,1:39.431
11 ,1:42.309 ,39 ,1:39.715
12 ,1:43.061 ,40 ,1:39.579
13 ,1:42.825 ,41 ,1:40.305
14 ,1:42.610 ,42 ,1:39.519
15 P ,1:45.467 ,43 ,1:39.724
16 ,2:02.131 ,44 ,1:40.478
17 ,1:39.463 ,45 ,1:39.948
18 ,1:41.072 ,46 ,1:39.599
19 ,1:40.174 ,47 ,1:40.152
20 ,1:39.931 ,48 ,1:39.976
21 ,1:40.227 ,49 ,1:39.807
22 ,1:40.794 ,50 ,1:40.044
23 ,1:40.355 ,51 ,1:40.545
24 ,1:40.323 ,52 ,1:42.765
25 ,1:40.684 ,53 ,1:40.759
26 ,1:40.645 ,54 ,1:43.129
27 ,1:41.049 ,55 ,1:40.835
28 ,1:41.083 ,56 ,1:40.339
LAP  ,TIME,LAP  ,TIME
1 ,18:05:32 ,29 ,1:39.802
2 ,1:41.260 ,30 ,1:40.186
3 ,1:41.338 ,31 ,1:41.163
4 ,1:41.443 ,32 ,1:40.746
5 ,1:41.550 ,33 ,1:42.830
6 ,1:41.630 ,34 ,1:42.023
7 ,1:41.912 ,35 ,1:41.891
8 ,1:42.075 ,36 ,1:41.637
9 ,1:42.186 ,37 ,1:41.646
10 P ,1:44.820 ,38 P ,1:44.108
11 ,2:02.568 ,39 ,2:02.738
12 ,1:40.317 ,40 ,1:38.653
13 ,1:40.422 ,41 ,1:39.201
14 ,1:41.589 ,42 ,1:39.467
15 ,1:41.786 ,43 ,1:39.583
16 ,1:40.940 ,44 ,1:39.584
17 ,1:40.749 ,45 ,1:40.817
18 ,1:41.143 ,46 ,1:39.927
19 ,1:41.091 ,47 ,1:40.474
20 ,1:41.394 ,48 ,1:40.854
21 ,1:41.505 ,49 ,1:40.750
22 ,1:41.753 ,50 ,1:41.579
23 ,1:41.980 ,51 ,1:40.526
24 ,1:42.217 ,52 ,1:40.427
25 P ,1:44.907 ,53 ,1:40.606
26 ,1:59.978 ,54 ,1:40.641
27 ,1:40.076 ,55 ,1:40.752
28 ,1:40.652 ,56 ,1:41.270
LAP  ,TIME,LAP  ,TIME
1 ,18:05:39 ,29 ,1:43.356
2 ,1:45.025 ,30 ,1:43.343
3 ,1:44.141 ,31 ,1:43.243
4 ,1:44.182 ,32 ,1:44.152
5 ,1:44.914 ,33 P ,1:47.293
6 ,1:44.638 ,34 ,2:06.645
7 ,1:44.766 ,35 ,1:42.219
8 ,1:44.538 ,36 ,1:41.759
9 ,1:44.730 ,37 ,1:42.210
10 ,1:44.647 ,38 ,1:42.771
11 ,1:45.302 ,39 ,1:42.717
12 ,1:46.056 ,40 ,1:47.806
13 ,1:45.878 ,41 ,1:44.123
14 ,1:46.411 ,42 ,1:43.933
15 ,1:45.957 ,43 ,1:42.857
16 ,1:46.065 ,44 ,1:43.453
17 ,1:46.241 ,45 ,1:43.260
18 ,1:46.836 ,46 ,1:43.733
19 P ,1:49.973 ,47 ,1:44.412
20 ,2:07.458 ,48 ,1:43.339
21 ,1:42.514 ,49 ,1:43.540
22 ,1:42.568 ,50 ,1:43.364
23 ,1:42.968 ,51 ,1:43.842
24 ,1:42.552 ,52 ,1:44.335
25 ,1:42.600 ,53 ,1:43.530
26 ,1:42.852 ,54 ,1:44.417
27 ,1:44.018 ,55 ,1:46.380
28 ,1:42.916,"",""
33 ,M. VERSTAPPEN
44 ,L. HAMILTON
55 ,C. SAINZ
LAP  ,TIME,LAP  ,TIME
1 ,18:05:36 ,18 ,1:42.228
2 ,1:42.009 ,19 ,1:41.812
3 ,1:42.170 ,20 ,1:41.978
4 ,1:42.196 ,21 ,1:41.784
5 ,1:43.296 ,22 ,1:41.768
6 P ,1:46.696 ,23 ,1:41.802
7 ,2:16.163 ,24 ,1:41.678
8 ,1:40.982 ,25 ,1:41.782
9 ,1:41.257 ,26 ,1:42.000
10 ,1:41.797 ,27 ,1:42.091
11 ,1:41.831 ,28 ,1:42.596
12 ,1:43.113 ,29 ,1:42.639
13 ,1:41.672 ,30 P ,1:44.937
14 ,1:43.288 ,31 ,2:03.456
15 ,1:42.949 ,32 ,1:39.607
16 ,1:42.012 ,33 ,1:39.812
17 ,1:41.899 ,34 P ,1:56.809
LAP  ,TIME,LAP  ,TIME
1 ,18:05:27 ,30 ,1:39.533
2 ,1:38.955 ,31 ,1:39.451
3 ,1:39.257 ,32 ,1:39.551
