SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
7 ,K. RAIKKONEN ,30.736
5 ,S. VETTEL ,30.747
13 ,P. MALDONADO ,30.871
44 ,L. HAMILTON ,30.901
6 ,N. ROSBERG ,30.928
77 ,V. BOTTAS ,30.974
11 ,S. PEREZ ,31.046
27 ,N. HULKENBERG ,31.106
9 ,M. ERICSSON ,31.127
19 ,F. MASSA ,31.224
14 ,F. ALONSO ,31.285
12 ,F. NASR ,31.295
3 ,D. RICCIARDO ,31.309
8 ,R. GROSJEAN ,31.370
26 ,D. KVYAT ,31.388
33 ,M. VERSTAPPEN ,31.571
55 ,C. SAINZ ,31.740
28 ,W. STEVENS ,32.170
98 ,R. MERHI ,32.268
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,41.670
7 ,K. RAIKKONEN ,41.751
5 ,S. VETTEL ,41.826
13 ,P. MALDONADO ,42.415
44 ,L. HAMILTON ,42.564
12 ,F. NASR ,42.701
77 ,V. BOTTAS ,42.725
26 ,D. KVYAT ,42.772
9 ,M. ERICSSON ,42.929
11 ,S. PEREZ ,42.985
3 ,D. RICCIARDO ,43.025
14 ,F. ALONSO ,43.193
33 ,M. VERSTAPPEN ,43.232
27 ,N. HULKENBERG ,43.241
19 ,F. MASSA ,43.273
8 ,R. GROSJEAN ,43.302
55 ,C. SAINZ ,43.708
28 ,W. STEVENS ,44.524
98 ,R. MERHI ,44.568
NO ,DRIVER ,TIME
7 ,K. RAIKKONEN ,23.781
5 ,S. VETTEL ,23.833
6 ,N. ROSBERG ,23.847
44 ,L. HAMILTON ,23.972
77 ,V. BOTTAS ,23.983
9 ,M. ERICSSON ,24.031
13 ,P. MALDONADO ,24.140
12 ,F. NASR ,24.152
19 ,F. MASSA ,24.206
27 ,N. HULKENBERG ,24.276
11 ,S. PEREZ ,24.292
14 ,F. ALONSO ,24.332
8 ,R. GROSJEAN ,24.350
3 ,D. RICCIARDO ,24.364
26 ,D. KVYAT ,24.430
33 ,M. VERSTAPPEN ,24.637
55 ,C. SAINZ ,24.977
28 ,W. STEVENS ,25.065
98 ,R. MERHI ,25.178
