5 ,S. VETTEL
6 ,N. ROSBERG
3 ,D. RICCIARDO
LAP  ,TIME,LAP  ,TIME
1 ,14:05:25 ,34 ,1:33.210
2 ,1:35.920 ,35 ,1:33.192
3 ,1:35.077 ,36 ,1:33.210
4 ,1:34.721 ,37 ,1:33.188
5 ,1:34.540 ,38 ,1:33.576
6 ,1:33.848 ,39 ,1:33.377
7 ,1:33.731 ,40 ,1:33.594
8 ,1:33.864 ,41 ,1:33.220
9 ,1:34.122 ,42 P ,1:36.347
10 ,1:33.891 ,43 ,1:53.781
11 ,1:35.231 ,44 ,1:31.953
12 ,1:33.992 ,45 ,1:32.252
13 P ,1:36.742 ,46 ,1:32.181
14 ,1:51.763 ,47 ,1:31.946
15 ,1:33.339 ,48 ,1:32.213
16 ,1:32.756 ,49 ,1:34.292
17 ,1:33.074 ,50 ,1:33.843
18 ,1:33.033 ,51 ,1:32.105
19 ,1:34.071 ,52 ,1:31.682
20 ,1:32.956 ,53 ,1:31.402
21 ,1:33.140 ,54 ,1:31.234
22 ,1:32.943 ,55 ,1:31.276
23 ,1:32.723 ,56 ,1:31.124
24 ,1:32.848 ,57 ,1:33.980
25 ,1:32.961 ,58 ,1:31.487
26 ,1:33.339 ,59 ,1:31.535
27 ,1:33.231 ,60 ,1:31.371
28 ,1:33.248 ,61 ,1:31.574
29 ,1:33.291 ,62 ,1:31.718
30 ,1:33.090 ,63 ,1:31.950
31 ,1:33.017 ,64 ,1:31.631
32 ,1:33.133 ,65 ,1:31.559
33 ,1:33.228,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:05:19 ,34 ,1:32.366
2 ,1:32.821 ,35 ,1:33.160
3 ,1:32.317 ,36 ,1:32.497
4 ,1:32.515 ,37 ,1:32.733
5 ,1:32.325 ,38 ,1:32.760
6 ,1:32.718 ,39 ,1:32.921
7 ,1:32.010 ,40 P ,1:36.714
8 ,1:32.331 ,41 ,1:49.623
9 ,1:32.562 ,42 ,1:31.185
10 ,1:32.498 ,43 ,1:31.237
11 ,1:32.400 ,44 ,1:31.613
12 ,1:32.512 ,45 ,1:31.673
13 ,1:32.292 ,46 ,1:32.494
14 P ,1:35.928 ,47 ,1:31.516
15 ,1:49.159 ,48 ,1:31.545
16 ,1:31.736 ,49 ,1:31.827
17 ,1:31.546 ,50 ,1:31.655
18 ,1:31.897 ,51 ,1:31.705
19 ,1:31.764 ,52 ,1:31.738
20 ,1:31.618 ,53 ,1:32.074
21 ,1:31.646 ,54 ,1:31.735
22 ,1:31.509 ,55 ,1:31.799
23 ,1:31.646 ,56 ,1:32.199
24 ,1:31.634 ,57 ,1:32.125
25 ,1:31.654 ,58 ,1:31.641
26 ,1:32.070 ,59 ,1:31.576
27 ,1:31.934 ,60 ,1:31.075
28 ,1:32.371 ,61 ,1:30.737
29 ,1:32.129 ,62 ,1:30.923
30 ,1:32.268 ,63 ,1:31.160
31 ,1:32.528 ,64 ,1:31.375
32 ,1:32.397 ,65 ,1:31.477
33 ,1:32.413 ,66 ,1:31.059
LAP  ,TIME,LAP  ,TIME
1 ,14:05:17 ,34 ,1:32.306
2 ,1:32.313 ,35 ,1:32.385
3 ,1:31.755 ,36 ,1:31.692
4 ,1:32.027 ,37 ,1:32.083
5 ,1:31.908 ,38 ,1:31.880
6 ,1:31.539 ,39 ,1:31.585
7 ,1:31.585 ,40 ,1:31.599
8 ,1:31.567 ,41 ,1:31.612
9 ,1:31.403 ,42 ,1:31.222
10 ,1:32.079 ,43 ,1:31.793
11 ,1:32.200 ,44 ,1:31.999
12 ,1:32.129 ,45 P ,1:35.985
13 ,1:32.201 ,46 ,1:49.361
14 ,1:32.447 ,47 ,1:30.095
15 P ,1:35.740 ,48 ,1:30.229
16 ,1:50.606 ,49 ,1:30.062
17 ,1:31.846 ,50 ,1:30.673
18 ,1:31.515 ,51 ,1:30.474
19 ,1:31.489 ,52 ,1:30.073
20 ,1:31.442 ,53 ,1:29.109
21 ,1:31.324 ,54 ,1:29.293
22 ,1:31.400 ,55 ,1:29.500
23 ,1:31.562 ,56 ,1:29.582
24 ,1:32.030 ,57 ,1:29.743
25 ,1:31.793 ,58 ,1:30.145
26 ,1:31.676 ,59 ,1:30.062
27 ,1:32.529 ,60 ,1:30.286
28 ,1:31.266 ,61 ,1:30.426
29 ,1:31.278 ,62 ,1:29.987
30 ,1:31.540 ,63 ,1:30.321
31 ,1:31.740 ,64 ,1:30.263
32 ,1:31.677 ,65 ,1:30.318
33 ,1:32.190 ,66 ,1:30.958
8 ,R. GROSJEAN
9 ,M. ERICSSON
7 ,K. RAIKKONEN
LAP  ,TIME,LAP  ,TIME
1 ,14:05:22 ,34 ,1:33.319
2 ,1:33.753 ,35 ,1:33.278
3 ,1:32.958 ,36 ,1:32.555
4 ,1:33.219 ,37 ,1:32.469
5 ,1:33.084 ,38 ,1:32.723
6 ,1:33.149 ,39 ,1:33.203
7 ,1:32.929 ,40 ,1:33.475
8 ,1:32.881 ,41 P ,1:36.471
