SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,23.111
44 ,L. HAMILTON ,23.214
5 ,S. VETTEL ,23.271
77 ,V. BOTTAS ,23.288
19 ,F. MASSA ,23.328
7 ,K. RAIKKONEN ,23.441
33 ,M. VERSTAPPEN ,23.502
55 ,C. SAINZ ,23.523
8 ,R. GROSJEAN ,23.533
13 ,P. MALDONADO ,23.586
26 ,D. KVYAT ,23.664
3 ,D. RICCIARDO ,23.766
11 ,S. PEREZ ,23.848
9 ,M. ERICSSON ,23.862
12 ,F. NASR ,23.872
27 ,N. HULKENBERG ,23.883
14 ,F. ALONSO ,23.901
22 ,J. BUTTON ,24.026
28 ,W. STEVENS ,24.844
98 ,R. MERHI ,25.261
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,31.883
6 ,N. ROSBERG ,31.894
5 ,S. VETTEL ,32.090
77 ,V. BOTTAS ,32.243
55 ,C. SAINZ ,32.357
33 ,M. VERSTAPPEN ,32.425
7 ,K. RAIKKONEN ,32.443
19 ,F. MASSA ,32.534
26 ,D. KVYAT ,32.542
3 ,D. RICCIARDO ,32.609
8 ,R. GROSJEAN ,32.806
13 ,P. MALDONADO ,32.956
22 ,J. BUTTON ,33.020
14 ,F. ALONSO ,33.172
12 ,F. NASR ,33.194
27 ,N. HULKENBERG ,33.282
9 ,M. ERICSSON ,33.457
11 ,S. PEREZ ,33.502
28 ,W. STEVENS ,34.524
98 ,R. MERHI ,34.747
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,29.547
44 ,L. HAMILTON ,29.689
5 ,S. VETTEL ,30.009
3 ,D. RICCIARDO ,30.022
77 ,V. BOTTAS ,30.049
7 ,K. RAIKKONEN ,30.120
19 ,F. MASSA ,30.161
55 ,C. SAINZ ,30.256
33 ,M. VERSTAPPEN ,30.322
26 ,D. KVYAT ,30.345
14 ,F. ALONSO ,30.476
12 ,F. NASR ,30.559
13 ,P. MALDONADO ,30.583
22 ,J. BUTTON ,30.646
8 ,R. GROSJEAN ,30.692
9 ,M. ERICSSON ,30.793
11 ,S. PEREZ ,30.980
27 ,N. HULKENBERG ,31.200
28 ,W. STEVENS ,31.774
98 ,R. MERHI ,32.030
