LAP 1 ,LAP 2 ,LAP 3 ,LAP 4 ,LAP 5
NO ,GAP,TIME
44 ,"",1:26.226
6 ,0.884 ,1:27.110
5 ,1.618 ,1:27.844
26 ,2.767 ,1:28.993
3 ,3.471 ,1:29.697
7 ,4.456 ,1:30.682
11 ,5.565 ,1:31.791
13 ,7.664 ,1:33.890
33 ,7.837 ,1:34.063
22 ,8.579 ,1:34.805
14 ,9.211 ,1:35.437
12 ,9.764 ,1:35.990
8 ,10.606 ,1:36.832
77 ,11.323 ,1:37.549
9 ,12.213 ,1:38.439
28 ,14.098 ,1:40.324
55 ,14.258 ,1:40.484
98 ,15.442 ,1:41.668
27 ,PIT  ,2:26.277
NO ,GAP,TIME
44 ,"",1:20.852
6 ,1.527 ,1:21.495
5 ,2.566 ,1:21.800
26 ,3.718 ,1:21.803
19 ,PIT  ,2:51.051
3 ,4.711 ,1:22.092
7 ,6.108 ,1:22.504
11 ,7.272 ,1:22.559
13 ,9.519 ,1:22.707
33 ,10.212 ,1:23.227
22 ,11.291 ,1:23.564
14 ,12.413 ,1:24.054
12 ,13.011 ,1:24.099
8 ,14.104 ,1:24.350
77 ,15.072 ,1:24.601
9 ,16.040 ,1:24.679
55 ,16.352 ,1:22.946
28 ,19.610 ,1:26.364
98 ,20.559 ,1:25.969
27 ,62.905 ,1:23.706
NO ,GAP,TIME
44 ,"",1:20.720
6 ,1.795 ,1:20.988
5 ,3.056 ,1:21.210
26 ,4.515 ,1:21.517
3 ,5.706 ,1:21.715
7 ,7.392 ,1:22.004
11 ,9.096 ,1:22.544
13 ,11.070 ,1:22.271
33 ,11.716 ,1:22.224
22 ,13.781 ,1:23.210
19 ,1 LAP ,1:30.617
14 ,14.907 ,1:23.214
12 ,15.572 ,1:23.281
8 ,16.731 ,1:23.347
77 ,17.544 ,1:23.192
9 ,18.508 ,1:23.188
55 ,19.035 ,1:23.403
28 ,23.724 ,1:24.834
98 ,24.841 ,1:25.002
27 ,62.405 ,1:20.220
NO ,GAP,TIME
44 ,"",1:20.241
6 ,2.242 ,1:20.688
5 ,3.964 ,1:21.149
26 ,5.426 ,1:21.152
3 ,7.068 ,1:21.603
7 ,8.782 ,1:21.631
11 ,10.289 ,1:21.434
13 ,13.297 ,1:22.468
33 ,13.684 ,1:22.209
22 ,15.616 ,1:22.076
14 ,17.814 ,1:23.148
12 ,18.636 ,1:23.305
8 ,20.635 ,1:24.145
19 ,1 LAP ,1:27.304
77 ,21.110 ,1:23.807
9 ,21.905 ,1:23.638
55 ,22.443 ,1:23.649
28 ,27.678 ,1:24.195
98 ,29.081 ,1:24.481
27 ,62.698 ,1:20.534
NO ,GAP,TIME
44 ,"",1:20.383
6 ,2.397 ,1:20.538
5 ,4.401 ,1:20.820
26 ,6.093 ,1:21.050
3 ,8.200 ,1:21.515
7 ,9.689 ,1:21.290
11 ,11.366 ,1:21.460
13 ,17.637 ,1:24.723
33 ,17.804 ,1:24.503
22 ,18.446 ,1:23.213
14 ,20.235 ,1:22.804
12 ,20.878 ,1:22.625
8 ,22.743 ,1:22.491
77 ,23.750 ,1:23.023
9 ,24.617 ,1:23.095
55 ,25.764 ,1:23.704
19 ,1 LAP ,1:26.522
28 ,32.263 ,1:24.968
98 ,33.388 ,1:24.690
27 ,63.291 ,1:20.976
