NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,1 ,14:04:47 ,"",1 ,"",34.773 ,34.773
19 ,F. MASSA ,Williams Martini Racing ,1 ,14:05:03 ,"",1 ,"",42.934 ,42.934
55 ,C. SAINZ ,Scuderia Toro Rosso ,12 ,14:19:42 ,"",1 ,"",25.306 ,25.306
77 ,V. BOTTAS ,Williams Martini Racing ,14 ,14:22:23 ,"",1 ,"",24.641 ,24.641
9 ,M. ERICSSON ,Sauber F1 Team ,14 ,14:22:25 ,"",1 ,"",25.618 ,25.618
8 ,R. GROSJEAN ,Lotus F1 Team ,17 ,14:26:21 ,"",1 ,"",25.077 ,25.077
12 ,F. NASR ,Sauber F1 Team ,18 ,14:27:40 ,"",1 ,"",25.732 ,25.732
26 ,D. KVYAT ,Infiniti Red Bull Racing ,28 ,14:40:43 ,"",1 ,"",25.119 ,25.119
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,29 ,14:42:14 ,"",1 ,"",52.821 ,52.821
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,31 ,14:46:02 ,"",2 ,"",24.758 ,59.531
14 ,F. ALONSO ,McLaren Honda ,32 ,14:46:31 ,"",1 ,"",30.345 ,30.345
28 ,W. STEVENS ,Manor Marussia F1 Team ,33 ,14:50:20 ,"",1 ,"",28.606 ,28.606
22 ,J. BUTTON ,McLaren Honda ,35 ,14:50:28 ,"",1 ,"",25.062 ,25.062
5 ,S. VETTEL ,Scuderia Ferrari ,36 ,14:51:19 ,"",1 ,"",24.851 ,24.851
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,36 ,14:51:34 ,"",1 ,"",24.501 ,24.501
11 ,S. PEREZ ,Sahara Force India F1 Team ,36 ,14:51:43 ,"",1 ,"",24.733 ,24.733
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,37 ,14:52:37 ,"",1 ,"",24.789 ,24.789
98 ,R. MERHI ,Manor Marussia F1 Team ,35 ,14:52:53 ,"",1 ,"",27.554 ,27.554
7 ,K. RAIKKONEN ,Scuderia Ferrari ,37 ,14:52:54 ,"",1 ,"",24.177 ,24.177
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,38 ,14:53:49 ,"",1 ,"",24.181 ,24.181
9 ,M. ERICSSON ,Sauber F1 Team ,38 ,14:55:31 ,"",2 ,"",25.398 ,51.016
19 ,F. MASSA ,Williams Martini Racing ,39 ,14:58:08 ,"",2 ,"",24.970 ,1:07.904
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,46 ,15:06:05 ,"",2 ,"",25.736 ,1:18.557
77 ,V. BOTTAS ,Williams Martini Racing ,56 ,15:19:50 ,"",2 ,"",24.412 ,49.053
19 ,F. MASSA ,Williams Martini Racing ,62 ,15:29:53 ,"",3 ,"",24.395 ,1:32.299
11 ,S. PEREZ ,Sahara Force India F1 Team ,64 ,15:29:57 ,"",2 ,"",25.119 ,49.852
22 ,J. BUTTON ,McLaren Honda ,64 ,15:30:17 ,"",2 ,"",24.661 ,49.723
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,65 ,15:30:51 ,"",2 ,"",25.495 ,49.676
12 ,F. NASR ,Sauber F1 Team ,64 ,15:30:55 ,"",2 ,"",26.420 ,52.152
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,65 ,15:31:26 ,"",2 ,"",24.244 ,48.745
9 ,M. ERICSSON ,Sauber F1 Team ,69 ,15:40:15 ,"",3 ,"",25.234 ,1:16.250
