SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
33 ,M. VERSTAPPEN ,20.601
6 ,N. ROSBERG ,20.632
3 ,D. RICCIARDO ,20.725
5 ,S. VETTEL ,20.759
9 ,M. ERICSSON ,20.779
44 ,L. HAMILTON ,20.805
7 ,K. RAIKKONEN ,20.863
11 ,S. PEREZ ,20.947
26 ,D. KVYAT ,20.968
77 ,V. BOTTAS ,20.972
55 ,C. SAINZ ,20.981
22 ,J. BUTTON ,20.990
19 ,F. MASSA ,21.079
27 ,N. HULKENBERG ,21.103
12 ,F. NASR ,21.171
8 ,R. GROSJEAN ,21.197
14 ,F. ALONSO ,21.251
13 ,P. MALDONADO ,21.629
98 ,R. MERHI ,21.798
28 ,W. STEVENS ,21.836
NO ,DRIVER ,TIME
3 ,D. RICCIARDO ,36.136
44 ,L. HAMILTON ,36.267
6 ,N. ROSBERG ,36.412
26 ,D. KVYAT ,36.441
5 ,S. VETTEL ,36.450
77 ,V. BOTTAS ,36.474
33 ,M. VERSTAPPEN ,36.536
9 ,M. ERICSSON ,36.616
7 ,K. RAIKKONEN ,36.645
11 ,S. PEREZ ,36.677
22 ,J. BUTTON ,36.715
27 ,N. HULKENBERG ,36.873
12 ,F. NASR ,36.892
19 ,F. MASSA ,36.901
55 ,C. SAINZ ,37.009
8 ,R. GROSJEAN ,37.073
14 ,F. ALONSO ,37.237
98 ,R. MERHI ,37.706
28 ,W. STEVENS ,38.206
13 ,P. MALDONADO ,38.275
NO ,DRIVER ,TIME
3 ,D. RICCIARDO ,21.188
77 ,V. BOTTAS ,21.369
6 ,N. ROSBERG ,21.388
44 ,L. HAMILTON ,21.449
5 ,S. VETTEL ,21.536
33 ,M. VERSTAPPEN ,21.569
7 ,K. RAIKKONEN ,21.616
19 ,F. MASSA ,21.677
9 ,M. ERICSSON ,21.687
22 ,J. BUTTON ,21.704
27 ,N. HULKENBERG ,21.718
26 ,D. KVYAT ,21.721
11 ,S. PEREZ ,21.724
12 ,F. NASR ,21.776
55 ,C. SAINZ ,21.819
14 ,F. ALONSO ,21.838
8 ,R. GROSJEAN ,21.981
13 ,P. MALDONADO ,22.183
98 ,R. MERHI ,22.211
28 ,W. STEVENS ,22.481
