POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:18.063 ,74 ,"","",153.891 ,15:47:03
2 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:18.599 ,76 ,0.536 ,0.077,152.841 ,15:49:34
3 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:18.676 ,42 ,0.613 ,0.178,152.692 ,14:59:34
4 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:18.854 ,75 ,0.791 ,0.019,152.347 ,15:48:20
5 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:18.873 ,49 ,0.810 ,0.071,152.310 ,15:10:31
6 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:18.944 ,74 ,0.881 ,"",152.173 ,15:47:34
"","","","","","","","",0.186,"",""
7 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:19.130 ,75 ,1.067 ,0.155,151.815 ,15:48:25
8 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:19.285 ,75 ,1.222 ,0.205,151.519 ,15:48:44
9 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:19.490 ,76 ,1.427 ,0.161,151.128 ,15:49:50
10 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:19.651 ,74 ,1.588 ,0.006,150.822 ,15:47:08
11 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:19.657 ,74 ,1.594 ,0.107,150.811 ,15:47:08
12 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:19.764 ,72 ,1.701 ,0.052,150.609 ,15:45:57
13 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:19.816 ,48 ,1.753 ,0.105,150.511 ,15:09:03
14 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:19.921 ,46 ,1.858 ,"",150.313 ,15:06:35
"","","","","","","","",0.096,"",""
15 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:20.017 ,76 ,1.954 ,0.442,150.133 ,15:49:53
16 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:20.459 ,36 ,2.396 ,0.024,149.308 ,14:52:29
17 ,8 ,R. GROSJEAN ,FRA ,Lotus F1 Team ,1:20.483 ,40 ,2.420 ,"",149.263 ,14:58:02
"","","","","","","","",1.232,"",""
18 ,98 ,R. MERHI ,ESP ,Manor Marussia F1 Team ,1:21.715 ,47 ,3.652 ,"",147.013 ,15:09:54
"","","","","","","","",0.556,"",""
19 ,13 ,P. MALDONADO ,VEN ,Lotus F1 Team ,1:22.271 ,3 ,4.208 ,0.422,146.019 ,14:07:13
20 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:22.693 ,58 ,4.630 ,"",145.274 ,15:26:02
