5 ,S. VETTEL
6 ,N. ROSBERG
3 ,D. RICCIARDO
LAP  ,TIME,LAP  ,TIME
1 ,14:04:40 ,36 ,1:19.599
2 ,1:21.997 ,37 ,1:19.719
3 ,1:21.279 ,38 ,1:21.589
4 ,1:20.359 ,39 ,1:20.414
5 ,1:20.262 ,40 ,1:20.059
6 ,1:20.309 ,41 ,1:19.640
7 ,1:20.524 ,42 ,1:19.430
8 ,1:20.544 ,43 ,1:19.426
9 ,1:21.161 ,44 ,1:19.164
10 ,1:21.145 ,45 ,1:19.536
11 ,1:20.535 ,46 ,1:19.557
12 ,1:20.225 ,47 ,1:22.910
13 ,1:21.057 ,48 ,1:19.816
14 ,1:20.450 ,49 ,1:19.546
15 ,1:20.722 ,50 ,1:19.523
16 ,1:20.317 ,51 ,1:19.479
17 ,1:20.297 ,52 ,1:19.800
18 ,1:20.389 ,53 ,1:20.217
19 ,1:20.089 ,54 ,1:20.201
20 ,1:20.739 ,55 ,1:19.561
21 ,1:20.325 ,56 ,1:19.321
22 ,1:20.352 ,57 ,1:19.488
23 P ,1:36.699 ,58 ,1:19.899
24 ,1:21.736 ,59 ,1:19.970
25 ,1:19.321 ,60 ,1:19.753
26 ,1:19.693 ,61 ,1:19.328
27 ,1:19.887 ,62 ,1:19.494
28 ,1:19.457 ,63 ,1:19.290
29 ,1:20.477 ,64 ,1:21.195
30 ,1:19.848 ,65 ,1:19.867
31 ,1:19.974 ,66 ,1:19.416
32 ,1:20.020 ,67 ,1:19.060
33 ,1:19.629 ,68 ,1:21.942
34 ,1:19.610 ,69 ,1:21.656
35 ,1:19.700,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:04:35 ,36 ,1:18.640
2 ,1:19.794 ,37 ,1:19.164
3 ,1:19.732 ,38 ,1:19.049
4 ,1:19.056 ,39 ,1:18.619
5 ,1:19.101 ,40 ,1:18.550
6 ,1:19.089 ,41 ,1:18.586
7 ,1:19.109 ,42 ,1:18.199
8 ,1:19.344 ,43 ,1:18.375
9 ,1:18.909 ,44 ,1:18.322
10 ,1:18.795 ,45 ,1:18.008
11 ,1:18.673 ,46 ,1:18.270
12 ,1:18.740 ,47 ,1:17.920
13 ,1:18.462 ,48 ,1:18.161
14 ,1:18.758 ,49 ,1:18.419
15 ,1:18.338 ,50 ,1:17.955
16 ,1:18.232 ,51 ,1:18.031
17 ,1:18.335 ,52 ,1:17.803
18 ,1:18.715 ,53 ,1:17.865
19 ,1:19.039 ,54 ,1:18.082
20 ,1:18.363 ,55 ,1:17.888
21 ,1:18.243 ,56 ,1:17.905
22 ,1:18.693 ,57 ,1:17.882
23 ,1:18.715 ,58 ,1:18.135
24 ,1:19.141 ,59 ,1:17.926
25 ,1:18.396 ,60 ,1:18.215
26 ,1:18.567 ,61 ,1:17.981
27 ,1:18.221 ,62 ,1:18.084
28 ,1:17.970 ,63 ,1:17.637
29 ,1:19.241 ,64 ,1:17.661
30 P ,1:33.758 ,65 ,1:18.350
31 ,1:20.108 ,66 ,1:18.134
32 ,1:18.010 ,67 ,1:18.592
33 ,1:18.055 ,68 ,1:18.063
34 ,1:18.392 ,69 ,1:17.984
35 ,1:18.543 ,70 ,1:18.148
LAP  ,TIME,LAP  ,TIME
1 ,14:04:44 ,36 ,1:19.905
2 ,1:21.937 ,37 ,1:17.481
3 ,1:20.966 ,38 ,1:17.299
4 ,1:21.368 ,39 ,1:17.472
5 ,1:20.413 ,40 ,1:17.428
6 ,1:20.968 ,41 ,1:18.614
7 P ,1:41.133 ,42 ,1:18.603
8 ,1:21.071 ,43 ,1:19.499
9 ,1:19.970 ,44 ,1:18.230
10 ,1:18.645 ,45 ,1:17.828
11 ,1:18.482 ,46 ,1:17.959
12 ,1:18.617 ,47 ,1:17.675
13 ,1:18.835 ,48 ,1:17.772
14 ,1:18.616 ,49 ,1:19.000
15 ,1:19.496 ,50 ,1:17.898
16 ,1:18.573 ,51 ,1:17.799
