INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
19 ,F. MASSA ,262.2
8 ,R. GROSJEAN ,260.7
44 ,L. HAMILTON ,260.1
13 ,P. MALDONADO ,259.3
27 ,N. HULKENBERG ,259.2
77 ,V. BOTTAS ,259.1
6 ,N. ROSBERG ,259.1
33 ,M. VERSTAPPEN ,257.6
9 ,M. ERICSSON ,257.4
26 ,D. KVYAT ,256.8
7 ,K. RAIKKONEN ,256.7
55 ,C. SAINZ ,255.6
3 ,D. RICCIARDO ,255.0
5 ,S. VETTEL ,253.5
12 ,F. NASR ,252.0
11 ,S. PEREZ ,251.6
28 ,W. STEVENS ,248.7
98 ,R. MERHI ,244.2
22 ,J. BUTTON ,242.1
14 ,F. ALONSO ,241.5
NO ,DRIVER ,KPH
19 ,F. MASSA ,294.1
8 ,R. GROSJEAN ,294.1
77 ,V. BOTTAS ,293.1
5 ,S. VETTEL ,292.1
27 ,N. HULKENBERG ,291.7
11 ,S. PEREZ ,291.6
13 ,P. MALDONADO ,291.6
44 ,L. HAMILTON ,290.4
7 ,K. RAIKKONEN ,289.0
6 ,N. ROSBERG ,288.8
9 ,M. ERICSSON ,288.4
33 ,M. VERSTAPPEN ,288.0
55 ,C. SAINZ ,287.3
12 ,F. NASR ,286.7
26 ,D. KVYAT ,285.2
22 ,J. BUTTON ,282.2
3 ,D. RICCIARDO ,282.2
28 ,W. STEVENS ,276.4
98 ,R. MERHI ,275.9
14 ,F. ALONSO ,275.0
NO ,DRIVER ,KPH
5 ,S. VETTEL ,300.0
77 ,V. BOTTAS ,297.7
8 ,R. GROSJEAN ,297.7
19 ,F. MASSA ,297.3
27 ,N. HULKENBERG ,295.4
9 ,M. ERICSSON ,294.9
13 ,P. MALDONADO ,294.5
6 ,N. ROSBERG ,293.7
33 ,M. VERSTAPPEN ,293.7
7 ,K. RAIKKONEN ,292.6
12 ,F. NASR ,291.8
44 ,L. HAMILTON ,291.8
3 ,D. RICCIARDO ,290.0
11 ,S. PEREZ ,288.9
26 ,D. KVYAT ,288.6
14 ,F. ALONSO ,288.1
55 ,C. SAINZ ,286.0
98 ,R. MERHI ,282.2
28 ,W. STEVENS ,280.8
22 ,J. BUTTON ,279.8
