NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
22 ,J. BUTTON ,McLaren Honda ,1 ,14:04:39 ,"",1 ,"",18.057 ,18.057
5 ,S. VETTEL ,Scuderia Ferrari ,7 ,14:12:45 ,"",1 ,"",27.241 ,27.241
13 ,P. MALDONADO ,Lotus F1 Team ,17 ,14:25:56 ,"",1 ,"",23.660 ,23.660
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,23 ,14:34:08 ,"",1 ,"",23.997 ,23.997
11 ,S. PEREZ ,Sahara Force India F1 Team ,24 ,14:35:26 ,"",1 ,"",23.453 ,23.453
7 ,K. RAIKKONEN ,Scuderia Ferrari ,26 ,14:37:27 ,"",1 ,"",23.630 ,23.630
12 ,F. NASR ,Sauber F1 Team ,26 ,14:38:33 ,"",1 ,"",24.795 ,24.795
8 ,R. GROSJEAN ,Lotus F1 Team ,27 ,14:39:08 ,"",1 ,"",24.292 ,24.292
26 ,D. KVYAT ,Infiniti Red Bull Racing ,27 ,14:39:23 ,"",1 ,"",23.681 ,23.681
55 ,C. SAINZ ,Scuderia Toro Rosso ,27 ,14:39:37 ,"",1 ,"",24.277 ,24.277
77 ,V. BOTTAS ,Williams Martini Racing ,28 ,14:40:10 ,"",1 ,"",25.541 ,25.541
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,28 ,14:40:35 ,"",1 ,"",23.507 ,23.507
9 ,M. ERICSSON ,Sauber F1 Team ,28 ,14:40:57 ,"",1 ,"",24.149 ,24.149
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,29 ,14:41:11 ,"",1 ,"",23.708 ,23.708
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,30 ,14:42:33 ,"",1 ,"",23.321 ,23.321
14 ,F. ALONSO ,McLaren Honda ,31 ,14:45:06 ,"",1 ,"",23.553 ,23.553
5 ,S. VETTEL ,Scuderia Ferrari ,35 ,14:50:00 ,"",2 ,"",23.945 ,51.186
28 ,W. STEVENS ,Manor Marussia F1 Team ,34 ,14:50:14 ,"",1 ,"",30.807 ,30.807
98 ,R. MERHI ,Manor Marussia F1 Team ,35 ,14:51:40 ,"",1 ,"",26.986 ,26.986
19 ,F. MASSA ,Williams Martini Racing ,37 ,14:52:40 ,"",1 ,"",23.912 ,23.912
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,39 ,14:55:43 ,"",1 ,"",36.105 ,36.105
7 ,K. RAIKKONEN ,Scuderia Ferrari ,40 ,14:56:15 ,"",2 ,"",24.578 ,48.208
22 ,J. BUTTON ,McLaren Honda ,44 ,15:03:06 ,"",2 ,"",25.374 ,43.431
