POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:16.987 ,42 ,"","",203.925 ,14:59:16
2 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:17.105 ,59 ,0.118 ,0.367,203.613 ,15:21:35
3 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:17.472 ,64 ,0.485 ,0.081,202.648 ,15:27:14
4 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:17.553 ,64 ,0.566 ,0.084,202.437 ,15:28:11
5 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:17.637 ,63 ,0.650 ,0.285,202.218 ,15:25:58
6 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:17.922 ,67 ,0.935 ,0.047,201.478 ,15:31:42
7 ,8 ,R. GROSJEAN ,FRA ,Lotus F1 Team ,1:17.969 ,51 ,0.982 ,"",201.356 ,15:11:43
"","","","","","","","",0.079,"",""
8 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:18.048 ,69 ,1.061 ,0.190,201.153 ,15:35:15
9 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:18.238 ,66 ,1.251 ,0.147,200.664 ,15:31:12
10 ,13 ,P. MALDONADO ,VEN ,Lotus F1 Team ,1:18.385 ,51 ,1.398 ,0.231,200.288 ,15:11:09
11 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:18.616 ,50 ,1.629 ,0.195,199.699 ,15:10:50
12 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:18.811 ,61 ,1.824 ,0.045,199.205 ,15:25:02
13 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:18.856 ,49 ,1.869 ,0.033,199.092 ,15:10:08
14 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:18.889 ,49 ,1.902 ,0.001,199.008 ,15:09:00
15 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:18.890 ,58 ,1.903 ,"",199.006 ,15:21:19
"","","","","","","","",0.170,"",""
16 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:19.060 ,67 ,2.073 ,0.028,198.578 ,15:33:05
17 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:19.088 ,47 ,2.101 ,0.492,198.507 ,15:06:59
18 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:19.580 ,41 ,2.593 ,"",197.280 ,14:58:54
"","","","","","","","",1.127,"",""
19 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:20.707 ,38 ,3.720 ,0.097,194.525 ,14:56:12
20 ,98 ,R. MERHI ,ESP ,Manor Marussia F1 Team ,1:20.804 ,37 ,3.817 ,"",194.292 ,14:54:50
