5 ,S. VETTEL
3 ,D. RICCIARDO
6 ,N. ROSBERG
LAP  ,TIME,LAP  ,TIME
1 ,14:04:30 ,37 ,1:39.811
2 ,2:17.731 ,38 ,1:12.314
3 ,2:04.860 ,39 ,1:11.839
4 ,1:58.449 ,40 ,1:12.069
5 ,1:53.492 ,41 ,1:11.898
6 ,1:48.979 ,42 ,1:11.891
7 ,1:15.223 ,43 ,1:11.725
8 ,1:13.836 ,44 ,1:11.499
9 ,1:13.419 ,45 ,1:11.573
10 ,1:12.896 ,46 ,1:11.787
11 ,1:12.811 ,47 ,1:11.989
12 ,1:12.822 ,48 ,1:11.921
13 ,1:12.677 ,49 ,1:12.234
14 ,1:12.768 ,50 ,1:11.881
15 ,1:12.913 ,51 ,1:11.724
16 ,1:12.733 ,52 ,1:11.808
17 ,1:12.530 ,53 ,1:12.018
18 ,1:12.529 ,54 ,1:12.008
19 ,1:12.346 ,55 ,1:11.783
20 ,1:12.866 ,56 ,1:11.626
21 ,1:12.963 ,57 ,1:11.555
22 ,1:12.677 ,58 ,1:11.665
23 ,1:12.673 ,59 ,1:11.759
24 ,1:12.943 ,60 ,1:11.680
25 ,1:13.042 ,61 ,1:11.649
26 ,1:13.313 ,62 ,1:11.826
27 ,1:12.948 ,63 ,1:11.676
28 ,1:13.076 ,64 ,1:11.539
29 ,1:12.939 ,65 ,1:11.723
30 ,1:13.006 ,66 ,1:11.792
31 ,1:12.745 ,67 ,1:12.421
32 ,1:13.176 ,68 ,1:11.905
33 ,1:12.981 ,69 ,1:11.816
34 ,1:12.879 ,70 ,1:12.147
35 ,1:12.894 ,71 ,1:12.115
36 P ,1:16.958,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:04:28 ,37 ,1:11.973
2 ,2:17.155 ,38 ,1:11.705
3 ,2:05.597 ,39 ,1:11.690
4 ,1:58.402 ,40 ,1:12.144
5 ,1:53.637 ,41 ,1:12.150
6 ,1:49.873 ,42 ,1:12.058
7 ,1:13.607 ,43 ,1:12.211
8 ,1:13.177 ,44 ,1:11.991
9 ,1:12.629 ,45 ,1:11.445
10 ,1:12.419 ,46 ,1:11.821
11 ,1:12.157 ,47 ,1:11.933
12 ,1:12.509 ,48 ,1:12.144
13 ,1:12.345 ,49 ,1:11.736
14 ,1:12.506 ,50 ,1:12.303
15 ,1:12.389 ,51 ,1:12.493
16 ,1:12.466 ,52 ,1:11.810
17 ,1:12.173 ,53 ,1:12.071
18 ,1:12.184 ,54 ,1:12.001
19 ,1:12.001 ,55 ,1:11.826
20 ,1:12.182 ,56 ,1:11.816
21 ,1:12.271 ,57 ,1:11.667
22 ,1:12.131 ,58 ,1:11.930
23 ,1:12.373 ,59 ,1:11.732
24 ,1:12.144 ,60 ,1:11.764
25 ,1:12.487 ,61 ,1:11.910
26 ,1:13.139 ,62 ,1:12.247
27 ,1:12.770 ,63 ,1:12.072
28 ,1:12.948 ,64 ,1:11.928
29 ,1:12.785 ,65 ,1:12.013
30 ,1:12.876 ,66 ,1:12.308
31 ,1:12.914 ,67 ,1:12.411
32 ,1:13.175 ,68 ,1:12.269
33 P ,1:17.160 ,69 ,1:12.564
34 ,1:29.701 ,70 ,1:14.190
35 ,1:11.235 ,71 ,1:12.521
36 ,1:11.664,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:04:43 ,36 ,1:13.697
2 ,2:17.708 ,37 ,1:13.941
3 ,2:04.128 ,38 ,1:13.949
4 ,1:59.923 ,39 ,1:14.329
5 ,1:51.412 ,40 ,1:14.126
6 ,1:41.619 ,41 ,1:13.846
7 ,1:17.494 ,42 ,1:13.755
8 ,1:15.671 ,43 ,1:13.659
9 ,1:15.099 ,44 ,1:13.717
10 ,1:14.829 ,45 ,1:13.711
11 ,1:14.376 ,46 ,1:13.611
12 ,1:14.463 ,47 ,1:13.618
13 ,1:14.283 ,48 ,1:13.820
14 ,1:14.583 ,49 ,1:14.204
15 ,1:14.288 ,50 P ,1:18.162
16 ,1:14.188 ,51 ,1:36.222
17 ,1:14.290 ,52 ,1:12.004
18 ,1:14.116 ,53 ,1:11.739
19 ,1:14.037 ,54 ,1:11.779
20 ,1:14.144 ,55 ,1:11.809
21 ,1:14.071 ,56 ,1:11.742
22 ,1:14.087 ,57 ,1:11.715
23 ,1:14.130 ,58 ,1:11.838
24 ,1:14.277 ,59 ,1:12.256
25 ,1:13.985 ,60 ,1:12.364
26 ,1:14.071 ,61 ,1:11.905
27 ,1:14.160 ,62 ,1:11.690
28 ,1:13.925 ,63 ,1:15.818
29 ,1:14.031 ,64 ,1:12.012
30 ,1:13.862 ,65 ,1:12.093
31 ,1:13.764 ,66 ,1:12.130
32 ,1:13.929 ,67 ,1:11.916
33 ,1:13.801 ,68 ,1:11.835
34 ,1:13.718 ,69 ,1:11.689
35 ,1:13.512 ,70 ,1:11.962
8 ,R. GROSJEAN
7 ,K. RAIKKONEN
9 ,M. ERICSSON
