SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,16.806
6 ,N. ROSBERG ,16.882
19 ,F. MASSA ,17.025
27 ,N. HULKENBERG ,17.026
77 ,V. BOTTAS ,17.061
5 ,S. VETTEL ,17.061
12 ,F. NASR ,17.078
8 ,R. GROSJEAN ,17.111
13 ,P. MALDONADO ,17.165
26 ,D. KVYAT ,17.231
33 ,M. VERSTAPPEN ,17.272
9 ,M. ERICSSON ,17.283
55 ,C. SAINZ ,17.287
14 ,F. ALONSO ,17.361
3 ,D. RICCIARDO ,17.379
22 ,J. BUTTON ,17.724
11 ,S. PEREZ ,17.808
98 ,R. MERHI ,18.043
7 ,K. RAIKKONEN ,18.060
28 ,W. STEVENS ,18.480
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,30.204
44 ,L. HAMILTON ,30.364
5 ,S. VETTEL ,30.365
19 ,F. MASSA ,30.535
27 ,N. HULKENBERG ,30.611
77 ,V. BOTTAS ,30.696
33 ,M. VERSTAPPEN ,30.764
13 ,P. MALDONADO ,30.791
26 ,D. KVYAT ,30.805
12 ,F. NASR ,30.854
8 ,R. GROSJEAN ,31.013
9 ,M. ERICSSON ,31.045
55 ,C. SAINZ ,31.129
3 ,D. RICCIARDO ,31.276
14 ,F. ALONSO ,31.411
7 ,K. RAIKKONEN ,31.848
11 ,S. PEREZ ,32.042
22 ,J. BUTTON ,32.068
98 ,R. MERHI ,32.601
28 ,W. STEVENS ,33.261
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,21.219
44 ,L. HAMILTON ,21.285
5 ,S. VETTEL ,21.384
19 ,F. MASSA ,21.519
33 ,M. VERSTAPPEN ,21.527
77 ,V. BOTTAS ,21.562
27 ,N. HULKENBERG ,21.641
26 ,D. KVYAT ,21.658
12 ,F. NASR ,21.694
13 ,P. MALDONADO ,21.785
3 ,D. RICCIARDO ,21.789
8 ,R. GROSJEAN ,21.796
9 ,M. ERICSSON ,21.911
55 ,C. SAINZ ,21.936
14 ,F. ALONSO ,21.964
11 ,S. PEREZ ,22.672
22 ,J. BUTTON ,22.840
7 ,K. RAIKKONEN ,22.959
98 ,R. MERHI ,23.427
28 ,W. STEVENS ,23.621
