5 ,S. VETTEL
6 ,N. ROSBERG
3 ,D. RICCIARDO
LAP  ,TIME,LAP  ,TIME
1 ,13:05:20 ,27 ,1:38.035
2 ,2:33.646 ,28 ,1:38.084
3 ,2:23.293 ,29 ,1:37.980
4 ,1:44.797 ,30 ,1:37.951
5 ,1:41.751 ,31 ,1:37.707
6 ,1:40.869 ,32 ,1:37.913
7 ,1:40.523 ,33 ,1:47.338
8 ,1:40.249 ,34 ,2:08.003
9 ,1:39.824 ,35 ,1:53.127
10 ,1:39.829 ,36 ,1:38.815
11 ,1:39.890 ,37 ,1:43.101
12 ,1:40.063 ,38 ,1:47.698
13 ,1:40.552 ,39 ,1:44.427
14 P ,1:38.785 ,40 ,1:41.630
15 ,1:58.672 ,41 ,1:41.652
16 ,1:38.520 ,42 ,1:42.314
17 ,1:38.592 ,43 P ,1:42.498
18 ,1:38.973 ,44 ,2:11.213
19 ,1:39.733 ,45 ,1:53.881
20 ,1:39.029 ,46 ,1:52.552
21 ,1:38.991 ,47 ,1:51.884
22 ,1:38.748 ,48 ,1:50.642
23 ,1:38.775 ,49 ,1:50.559
24 ,1:38.361 ,50 ,1:50.291
25 ,1:38.311 ,51 ,1:50.614
26 ,1:38.456 ,52 ,1:51.155
LAP  ,TIME,LAP  ,TIME
1 ,13:05:24 ,12 ,1:59.861
2 ,2:32.993 ,13 ,1:40.463
3 ,2:20.362 ,14 ,1:39.940
4 ,1:44.842 ,15 ,1:40.486
5 ,1:42.341 ,16 ,1:44.488
6 ,1:41.296 ,17 ,1:47.465
7 ,1:40.506 ,18 ,1:45.090
8 ,1:40.499 ,19 ,1:44.417
9 ,1:41.008 ,20 P ,1:43.380
10 ,1:40.763 ,21 P ,2:21.451
11 P ,1:39.119,"",""
LAP  ,TIME,LAP  ,TIME
1 ,13:05:16 ,27 ,1:37.701
2 ,2:33.686 ,28 ,1:37.736
3 ,2:25.275 ,29 ,1:37.705
4 ,1:42.375 ,30 ,1:37.649
5 ,1:40.865 ,31 ,1:37.475
6 ,1:39.849 ,32 ,1:37.549
7 ,1:39.331 ,33 ,1:40.063
8 ,1:39.198 ,34 ,2:11.650
9 ,1:39.412 ,35 ,1:56.994
10 ,1:39.506 ,36 ,1:39.113
11 ,1:39.197 ,37 ,1:39.322
12 ,1:39.759 ,38 ,1:48.709
13 ,1:39.546 ,39 ,1:47.629
14 ,1:39.541 ,40 ,1:42.769
15 ,1:39.236 ,41 ,1:41.895
16 ,1:39.702 ,42 ,1:39.183
17 ,1:39.254 ,43 ,1:41.838
18 ,1:39.598 ,44 P ,1:53.679
19 ,1:39.447 ,45 ,2:13.409
20 P ,1:36.975 ,46 ,1:51.281
21 ,1:58.054 ,47 ,1:51.415
22 ,1:38.303 ,48 ,1:50.889
23 ,1:38.093 ,49 ,1:51.148
24 ,1:37.403 ,50 ,1:51.083
25 ,1:37.768 ,51 ,1:51.439
26 ,1:37.547 ,52 ,1:51.223
8 ,R. GROSJEAN
9 ,M. ERICSSON
7 ,K. RAIKKONEN
LAP  ,TIME,LAP  ,TIME
LAP  ,TIME,LAP  ,TIME
1 ,13:05:18 ,27 ,1:37.860
2 ,2:33.562 ,28 ,1:38.140
3 ,2:24.363 ,29 ,1:38.020
4 ,1:43.604 ,30 ,1:37.702
5 ,1:41.856 ,31 ,1:37.493
6 ,1:40.725 ,32 ,1:37.719
7 ,1:39.954 ,33 ,1:45.991
8 ,1:40.249 ,34 ,2:08.872
9 ,1:40.776 ,35 ,1:53.353
10 ,1:39.951 ,36 ,1:39.280
11 ,1:40.027 ,37 ,1:43.230
12 ,1:40.085 ,38 P ,1:49.653
13 P ,1:38.948 ,39 ,2:06.361
