INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
6 ,N. ROSBERG ,322.3
44 ,L. HAMILTON ,322.0
27 ,N. HULKENBERG ,319.4
11 ,S. PEREZ ,317.1
5 ,S. VETTEL ,316.9
26 ,D. KVYAT ,316.9
77 ,V. BOTTAS ,315.5
7 ,K. RAIKKONEN ,312.4
19 ,F. MASSA ,311.2
3 ,D. RICCIARDO ,310.6
55 ,C. SAINZ ,305.6
9 ,M. ERICSSON ,301.4
14 ,F. ALONSO ,301.3
33 ,M. VERSTAPPEN ,294.8
28 ,W. STEVENS ,290.7
98 ,R. MERHI ,289.8
13 ,P. MALDONADO ,192.6
NO ,DRIVER ,KPH
77 ,V. BOTTAS ,252.1
44 ,L. HAMILTON ,251.6
19 ,F. MASSA ,251.4
5 ,S. VETTEL ,250.6
6 ,N. ROSBERG ,250.4
7 ,K. RAIKKONEN ,250.2
11 ,S. PEREZ ,249.7
9 ,M. ERICSSON ,249.4
27 ,N. HULKENBERG ,248.8
26 ,D. KVYAT ,247.2
55 ,C. SAINZ ,245.9
14 ,F. ALONSO ,244.1
3 ,D. RICCIARDO ,243.2
28 ,W. STEVENS ,242.4
33 ,M. VERSTAPPEN ,241.6
98 ,R. MERHI ,238.7
13 ,P. MALDONADO ,168.0
NO ,DRIVER ,KPH
5 ,S. VETTEL ,242.6
19 ,F. MASSA ,242.0
7 ,K. RAIKKONEN ,241.7
44 ,L. HAMILTON ,241.3
77 ,V. BOTTAS ,240.8
6 ,N. ROSBERG ,240.8
26 ,D. KVYAT ,240.5
27 ,N. HULKENBERG ,239.3
9 ,M. ERICSSON ,236.8
11 ,S. PEREZ ,236.7
14 ,F. ALONSO ,235.7
55 ,C. SAINZ ,235.2
3 ,D. RICCIARDO ,231.9
28 ,W. STEVENS ,229.3
98 ,R. MERHI ,226.1
33 ,M. VERSTAPPEN ,217.8
