NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
14 ,F. ALONSO ,McLaren Honda ,1 ,13:05:14 ,"",1 ,"",1:11.178 ,1:11.178
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,11 ,13:23:42 ,"",1 ,"",28.464 ,28.464
55 ,C. SAINZ ,Scuderia Toro Rosso ,12 ,13:25:22 ,"",1 ,"",29.393 ,29.393
7 ,K. RAIKKONEN ,Scuderia Ferrari ,13 ,13:26:56 ,"",1 ,"",28.974 ,28.974
5 ,S. VETTEL ,Scuderia Ferrari ,14 ,13:28:38 ,"",1 ,"",28.946 ,28.946
14 ,F. ALONSO ,McLaren Honda ,17 ,13:34:06 ,"",2 ,"",28.703 ,1:39.881
26 ,D. KVYAT ,Infiniti Red Bull Racing ,18 ,13:35:17 ,"",1 ,"",28.347 ,28.347
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,19 ,13:36:43 ,"",1 ,"",28.417 ,28.417
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,19 ,13:36:56 ,"",1 ,"",28.558 ,28.558
19 ,F. MASSA ,Williams Martini Racing ,20 ,13:38:21 ,"",1 ,"",29.369 ,29.369
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,20 ,13:38:22 ,"",1 ,"",28.393 ,28.393
11 ,S. PEREZ ,Sahara Force India F1 Team ,20 ,13:38:41 ,"",1 ,"",28.860 ,28.860
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,20 ,13:39:28 ,"",2 ,"",43.240 ,1:11.704
77 ,V. BOTTAS ,Williams Martini Racing ,21 ,13:39:59 ,"",1 ,"",28.781 ,28.781
9 ,M. ERICSSON ,Sauber F1 Team ,23 ,13:43:56 ,"",1 ,"",29.598 ,29.598
28 ,W. STEVENS ,Manor Marussia F1 Team ,36 ,14:07:55 ,"",1 ,"",48.861 ,48.861
98 ,R. MERHI ,Manor Marussia F1 Team ,36 ,14:08:22 ,"",1 ,"",34.672 ,34.672
9 ,M. ERICSSON ,Sauber F1 Team ,37 ,14:08:39 ,"",2 ,"",30.867 ,1:00.465
14 ,F. ALONSO ,McLaren Honda ,37 ,14:08:45 ,"",3 ,"",32.593 ,2:12.474
7 ,K. RAIKKONEN ,Scuderia Ferrari ,38 ,14:09:28 ,"",2 ,"",30.397 ,59.371
9 ,M. ERICSSON ,Sauber F1 Team ,41 ,14:16:26 ,"",3 ,"",29.828 ,1:30.293
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,43 ,14:17:40 ,"",2 ,"",28.979 ,57.396
5 ,S. VETTEL ,Scuderia Ferrari ,43 ,14:18:01 ,"",2 ,"",29.676 ,58.622
9 ,M. ERICSSON ,Sauber F1 Team ,42 ,14:18:36 ,"",4 ,"",30.197 ,2:00.490
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,44 ,14:19:37 ,"",2 ,"",30.393 ,58.786
19 ,F. MASSA ,Williams Martini Racing ,44 ,14:19:54 ,"",2 ,"",31.948 ,1:01.317
77 ,V. BOTTAS ,Williams Martini Racing ,44 ,14:20:02 ,"",2 ,"",31.937 ,1:00.718
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
26 ,D. KVYAT ,Infiniti Red Bull Racing ,44 ,14:20:27 ,"",2 ,"",33.979 ,1:02.326
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,44 ,14:20:36 ,"",2 ,"",33.891 ,1:02.449
11 ,S. PEREZ ,Sahara Force India F1 Team ,44 ,14:21:16 ,"",2 ,"",31.998 ,1:00.858
98 ,R. MERHI ,Manor Marussia F1 Team ,44 ,14:24:44 ,"",2 ,"",30.686 ,1:05.358
7 ,K. RAIKKONEN ,Scuderia Ferrari ,47 ,14:26:56 ,"",3 ,"",30.178 ,1:29.549
28 ,W. STEVENS ,Manor Marussia F1 Team ,45 ,14:27:17 ,"",2 ,"",43.964 ,1:32.825
