SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,29.005
44 ,L. HAMILTON ,29.090
19 ,F. MASSA ,29.168
77 ,V. BOTTAS ,29.177
5 ,S. VETTEL ,29.274
55 ,C. SAINZ ,29.277
27 ,N. HULKENBERG ,29.294
7 ,K. RAIKKONEN ,29.372
11 ,S. PEREZ ,29.445
26 ,D. KVYAT ,29.448
3 ,D. RICCIARDO ,29.453
9 ,M. ERICSSON ,29.570
33 ,M. VERSTAPPEN ,29.587
13 ,P. MALDONADO ,29.605
8 ,R. GROSJEAN ,29.617
22 ,J. BUTTON ,29.880
12 ,F. NASR ,29.885
14 ,F. ALONSO ,29.906
28 ,W. STEVENS ,30.485
98 ,R. MERHI ,30.730
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,37.690
6 ,N. ROSBERG ,37.844
77 ,V. BOTTAS ,38.090
26 ,D. KVYAT ,38.143
3 ,D. RICCIARDO ,38.205
19 ,F. MASSA ,38.219
7 ,K. RAIKKONEN ,38.233
5 ,S. VETTEL ,38.275
55 ,C. SAINZ ,38.282
27 ,N. HULKENBERG ,38.348
8 ,R. GROSJEAN ,38.543
11 ,S. PEREZ ,38.570
33 ,M. VERSTAPPEN ,38.650
14 ,F. ALONSO ,38.664
13 ,P. MALDONADO ,38.703
12 ,F. NASR ,38.896
9 ,M. ERICSSON ,38.938
22 ,J. BUTTON ,39.038
28 ,W. STEVENS ,40.000
98 ,R. MERHI ,40.115
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,25.468
6 ,N. ROSBERG ,25.512
7 ,K. RAIKKONEN ,25.593
77 ,V. BOTTAS ,25.644
19 ,F. MASSA ,25.697
3 ,D. RICCIARDO ,25.789
5 ,S. VETTEL ,25.850
27 ,N. HULKENBERG ,25.913
8 ,R. GROSJEAN ,25.917
26 ,D. KVYAT ,25.929
11 ,S. PEREZ ,25.942
55 ,C. SAINZ ,25.952
13 ,P. MALDONADO ,26.021
12 ,F. NASR ,26.107
33 ,M. VERSTAPPEN ,26.110
9 ,M. ERICSSON ,26.111
14 ,F. ALONSO ,26.199
22 ,J. BUTTON ,26.289
28 ,W. STEVENS ,26.879
98 ,R. MERHI ,27.111
