SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,30.271
44 ,L. HAMILTON ,30.408
19 ,F. MASSA ,30.438
26 ,D. KVYAT ,30.511
77 ,V. BOTTAS ,30.513
5 ,S. VETTEL ,30.519
7 ,K. RAIKKONEN ,30.546
27 ,N. HULKENBERG ,30.606
9 ,M. ERICSSON ,30.738
11 ,S. PEREZ ,30.743
55 ,C. SAINZ ,30.821
3 ,D. RICCIARDO ,31.159
14 ,F. ALONSO ,31.184
28 ,W. STEVENS ,31.782
98 ,R. MERHI ,31.944
33 ,M. VERSTAPPEN ,48.349
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,39.466
19 ,F. MASSA ,39.870
6 ,N. ROSBERG ,39.888
77 ,V. BOTTAS ,39.953
26 ,D. KVYAT ,39.964
5 ,S. VETTEL ,39.970
7 ,K. RAIKKONEN ,39.996
9 ,M. ERICSSON ,40.199
27 ,N. HULKENBERG ,40.310
55 ,C. SAINZ ,40.333
14 ,F. ALONSO ,40.451
11 ,S. PEREZ ,40.510
3 ,D. RICCIARDO ,40.921
28 ,W. STEVENS ,41.947
98 ,R. MERHI ,42.069
33 ,M. VERSTAPPEN ,42.128
13 ,P. MALDONADO ,63.105
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,26.486
6 ,N. ROSBERG ,26.788
19 ,F. MASSA ,26.859
7 ,K. RAIKKONEN ,26.876
77 ,V. BOTTAS ,26.903
27 ,N. HULKENBERG ,27.067
26 ,D. KVYAT ,27.068
5 ,S. VETTEL ,27.098
11 ,S. PEREZ ,27.107
9 ,M. ERICSSON ,27.139
14 ,F. ALONSO ,27.236
55 ,C. SAINZ ,27.327
3 ,D. RICCIARDO ,27.690
28 ,W. STEVENS ,28.159
98 ,R. MERHI ,28.298
33 ,M. VERSTAPPEN ,34.424
