POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:37.093 ,29 ,"","",218.425 ,13:53:21
2 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:37.403 ,24 ,0.310 ,0.063,217.730 ,13:45:20
3 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:37.466 ,26 ,0.373 ,0.027,217.589 ,13:48:33
4 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:37.493 ,31 ,0.400 ,0.020,217.529 ,13:56:56
5 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:37.513 ,32 ,0.420 ,0.194,217.484 ,13:58:20
6 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:37.707 ,31 ,0.614 ,0.203,217.053 ,13:56:59
7 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:37.910 ,28 ,0.817 ,"",216.603 ,13:52:07
"","","","","","","","",0.221,"",""
8 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:38.131 ,31 ,1.038 ,0.165,216.115 ,13:57:33
9 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:38.296 ,32 ,1.203 ,0.170,215.752 ,13:58:46
10 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:38.466 ,25 ,1.373 ,0.231,215.379 ,13:47:23
11 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:38.697 ,26 ,1.604 ,0.186,214.875 ,13:49:01
12 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:38.883 ,30 ,1.790 ,"",214.471 ,13:56:09
"","","","","","","","",1.057,"",""
13 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:39.940 ,14 ,2.847 ,"",212.203 ,13:29:08
"","","","","","","","",1.979,"",""
14 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:41.919 ,28 ,4.826 ,"",208.082 ,13:53:19
"","","","","","","","",0.405,"",""
15 ,98 ,R. MERHI ,ESP ,Manor Marussia F1 Team ,1:42.324 ,26 ,5.231 ,"",207.259 ,13:50:06
"","","","","","","","",38.452,"",""
16 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,2:20.776 ,3 ,43.683 ,"",150.647 ,13:10:19
