LAP,TIME,LAP_2,TIME_2,NO,DRIVER
1 ,16:08:56 ,30 ,1:32.225 ,3 ,D. RICCIARDO
2 ,1:34.270 ,31 ,1:32.465 ,3 ,D. RICCIARDO
3 ,1:33.950 ,32 ,1:32.536 ,3 ,D. RICCIARDO
4 ,1:33.914 ,33 ,1:32.419 ,3 ,D. RICCIARDO
5 ,1:33.015 ,34 ,1:32.133 ,3 ,D. RICCIARDO
6 ,1:32.583 ,35 ,1:31.918 ,3 ,D. RICCIARDO
7 ,1:32.743 ,36 ,1:31.938 ,3 ,D. RICCIARDO
8 ,1:32.992 ,37 ,1:31.943 ,3 ,D. RICCIARDO
9 ,1:33.119 ,38 ,1:32.122 ,3 ,D. RICCIARDO
10 ,1:32.855 ,39 ,1:32.264 ,3 ,D. RICCIARDO
11 ,1:32.708 ,40 ,1:32.119 ,3 ,D. RICCIARDO
12 ,1:50.524 ,41 ,1:32.855 ,3 ,D. RICCIARDO
13 ,1:36.994 ,42 ,1:51.355 ,3 ,D. RICCIARDO
14 ,1:33.552 ,43 ,1:37.426 ,3 ,D. RICCIARDO
15 ,1:32.303 ,44 ,1:30.048 ,3 ,D. RICCIARDO
16 ,1:32.520 ,45 ,1:31.138 ,3 ,D. RICCIARDO
17 ,1:46.970 ,46 ,1:29.965 ,3 ,D. RICCIARDO
18 ,3:10.570 ,47 ,1:29.466 ,3 ,D. RICCIARDO
19 ,19:58.834 ,48 ,1:29.420 ,3 ,D. RICCIARDO
20 ,1:32.401 ,49 ,1:28.997 ,3 ,D. RICCIARDO
21 ,1:31.470 ,50 ,1:29.307 ,3 ,D. RICCIARDO
22 ,1:31.445 ,51 ,1:30.299 ,3 ,D. RICCIARDO
23 ,1:31.278 ,52 ,1:30.365 ,3 ,D. RICCIARDO
24 ,1:31.453 ,53 ,1:30.390 ,3 ,D. RICCIARDO
25 ,1:31.517 ,54 ,1:30.953 ,3 ,D. RICCIARDO
26 ,1:31.845 ,55 ,1:31.776 ,3 ,D. RICCIARDO
27 ,1:31.954 ,56 ,1:31.794 ,3 ,D. RICCIARDO
28 ,1:31.894 ,57 ,1:34.766 ,3 ,D. RICCIARDO
29 ,1:32.044,"","" ,3 ,D. RICCIARDO
1 ,16:08:49 ,30 ,1:32.003 ,5 ,S. VETTEL
2 ,1:31.664 ,31 ,1:32.228 ,5 ,S. VETTEL
