INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
44 ,L. HAMILTON ,278.7
77 ,V. BOTTAS ,278.5
3 ,D. RICCIARDO ,278.4
6 ,N. ROSBERG ,277.9
22 ,J. BUTTON ,277.5
11 ,S. PEREZ ,277.2
27 ,N. HULKENBERG ,277.1
5 ,S. VETTEL ,276.5
19 ,F. MASSA ,274.8
94 ,P. WEHRLEIN ,274.4
30 ,J. PALMER ,274.1
20 ,K. MAGNUSSEN ,274.0
14 ,F. ALONSO ,273.2
88 ,R. HARYANTO ,271.2
33 ,M. VERSTAPPEN ,271.1
8 ,R. GROSJEAN ,270.7
7 ,K. RAIKKONEN ,270.5
55 ,C. SAINZ ,270.1
21 ,E. GUTIERREZ ,265.6
12 ,F. NASR ,265.5
9 ,M. ERICSSON ,263.8
NO ,DRIVER ,KPH
44 ,L. HAMILTON ,305.2
11 ,S. PEREZ ,303.1
77 ,V. BOTTAS ,302.4
94 ,P. WEHRLEIN ,302.1
5 ,S. VETTEL ,301.9
6 ,N. ROSBERG ,301.3
27 ,N. HULKENBERG ,300.4
19 ,F. MASSA ,298.0
12 ,F. NASR ,297.1
30 ,J. PALMER ,296.8
20 ,K. MAGNUSSEN ,296.5
88 ,R. HARYANTO ,296.4
33 ,M. VERSTAPPEN ,296.3
22 ,J. BUTTON ,295.8
3 ,D. RICCIARDO ,295.0
14 ,F. ALONSO ,294.6
8 ,R. GROSJEAN ,294.3
21 ,E. GUTIERREZ ,293.4
55 ,C. SAINZ ,292.9
9 ,M. ERICSSON ,290.0
7 ,K. RAIKKONEN ,286.2
NO ,DRIVER ,KPH
3 ,D. RICCIARDO ,309.8
44 ,L. HAMILTON ,309.2
94 ,P. WEHRLEIN ,308.8
5 ,S. VETTEL ,308.8
77 ,V. BOTTAS ,308.6
11 ,S. PEREZ ,308.4
55 ,C. SAINZ ,308.1
33 ,M. VERSTAPPEN ,307.6
27 ,N. HULKENBERG ,306.1
22 ,J. BUTTON ,305.1
20 ,K. MAGNUSSEN ,304.3
88 ,R. HARYANTO ,303.7
19 ,F. MASSA ,303.2
12 ,F. NASR ,303.2
6 ,N. ROSBERG ,302.9
14 ,F. ALONSO ,302.2
8 ,R. GROSJEAN ,301.4
21 ,E. GUTIERREZ ,301.2
9 ,M. ERICSSON ,300.0
30 ,J. PALMER ,298.8
7 ,K. RAIKKONEN ,295.1
