INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
77 ,V. BOTTAS ,246.6
44 ,L. HAMILTON ,246.1
94 ,P. WEHRLEIN ,245.7
88 ,R. HARYANTO ,245.6
27 ,N. HULKENBERG ,244.5
47 ,S. VANDOORNE ,244.0
6 ,N. ROSBERG ,243.9
19 ,F. MASSA ,243.7
11 ,S. PEREZ ,242.7
26 ,D. KVYAT ,242.6
3 ,D. RICCIARDO ,241.6
20 ,K. MAGNUSSEN ,241.5
21 ,E. GUTIERREZ ,240.2
8 ,R. GROSJEAN ,239.6
22 ,J. BUTTON ,239.3
12 ,F. NASR ,239.3
7 ,K. RAIKKONEN ,238.6
33 ,M. VERSTAPPEN ,237.3
55 ,C. SAINZ ,236.5
9 ,M. ERICSSON ,235.6
NO ,DRIVER ,KPH
27 ,N. HULKENBERG ,260.8
11 ,S. PEREZ ,260.6
94 ,P. WEHRLEIN ,258.4
3 ,D. RICCIARDO ,257.8
33 ,M. VERSTAPPEN ,257.6
6 ,N. ROSBERG ,256.6
26 ,D. KVYAT ,255.5
7 ,K. RAIKKONEN ,254.7
44 ,L. HAMILTON ,254.5
12 ,F. NASR ,254.5
88 ,R. HARYANTO ,253.8
47 ,S. VANDOORNE ,253.2
9 ,M. ERICSSON ,253.1
20 ,K. MAGNUSSEN ,251.5
19 ,F. MASSA ,250.0
77 ,V. BOTTAS ,248.9
8 ,R. GROSJEAN ,248.3
55 ,C. SAINZ ,247.8
21 ,E. GUTIERREZ ,244.1
22 ,J. BUTTON ,242.0
NO ,DRIVER ,KPH
94 ,P. WEHRLEIN ,304.0
19 ,F. MASSA ,302.6
44 ,L. HAMILTON ,302.0
8 ,R. GROSJEAN ,299.3
26 ,D. KVYAT ,298.9
12 ,F. NASR ,298.2
7 ,K. RAIKKONEN ,297.7
77 ,V. BOTTAS ,297.6
6 ,N. ROSBERG ,297.6
27 ,N. HULKENBERG ,297.2
47 ,S. VANDOORNE ,296.5
20 ,K. MAGNUSSEN ,296.4
33 ,M. VERSTAPPEN ,296.0
3 ,D. RICCIARDO ,295.3
88 ,R. HARYANTO ,295.3
9 ,M. ERICSSON ,295.1
11 ,S. PEREZ ,295.0
55 ,C. SAINZ ,292.0
22 ,J. BUTTON ,288.9
21 ,E. GUTIERREZ ,287.9
