NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,1 ,18:05:30 ,"",1 ,"",31.931 ,31.931
11 ,S. PEREZ ,Sahara Force India F1 Team ,2 ,18:07:15 ,"",1 ,"",30.326 ,30.326
55 ,C. SAINZ ,Scuderia Toro Rosso ,2 ,18:07:43 ,"",1 ,"",28.401 ,28.401
3 ,D. RICCIARDO ,Red Bull Racing ,6 ,18:13:44 ,"",1 ,"",24.541 ,24.541
19 ,F. MASSA ,Williams Martini Racing ,7 ,18:15:20 ,"",1 ,"",24.093 ,24.093
77 ,V. BOTTAS ,Williams Martini Racing ,8 ,18:17:05 ,"",1 ,"",24.944 ,24.944
21 ,E. GUTIERREZ ,Haas F1 Team ,8 ,18:17:13 ,"",1 ,"",32.793 ,32.793
47 ,S. VANDOORNE ,McLaren Honda ,9 ,18:18:55 ,"",1 ,"",24.604 ,24.604
77 ,V. BOTTAS ,Williams Martini Racing ,9 ,18:19:07 ,"",2 ,"",19.369 ,44.313
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,10 ,18:20:31 ,"",1 ,"",25.810 ,25.810
12 ,F. NASR ,Sauber F1 Team ,10 ,18:20:44 ,"",1 ,"",26.246 ,26.246
8 ,R. GROSJEAN ,Haas F1 Team ,11 ,18:22:08 ,"",1 ,"",25.739 ,25.739
94 ,P. WEHRLEIN ,Manor Racing MRT ,11 ,18:22:24 ,"",1 ,"",26.236 ,26.236
7 ,K. RAIKKONEN ,Scuderia Ferrari ,12 ,18:23:37 ,"",1 ,"",24.720 ,24.720
20 ,K. MAGNUSSEN ,Renault Sport F1 Team ,12 ,18:24:08 ,"",1 ,"",26.876 ,26.876
88 ,R. HARYANTO ,Manor Racing MRT ,12 ,18:24:14 ,"",1 ,"",26.382 ,26.382
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,13 ,18:25:02 ,"",1 ,"",24.934 ,24.934
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,13 ,18:25:20 ,"",1 ,"",24.512 ,24.512
