INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
19 ,F. MASSA ,291.7
7 ,K. RAIKKONEN ,291.4
27 ,N. HULKENBERG ,290.6
88 ,R. HARYANTO ,290.2
5 ,S. VETTEL ,289.9
22 ,J. BUTTON ,289.5
77 ,V. BOTTAS ,289.0
6 ,N. ROSBERG ,288.6
55 ,C. SAINZ ,288.3
44 ,L. HAMILTON ,287.7
3 ,D. RICCIARDO ,286.9
11 ,S. PEREZ ,286.7
26 ,D. KVYAT ,286.3
14 ,F. ALONSO ,285.2
94 ,P. WEHRLEIN ,285.0
21 ,E. GUTIERREZ ,284.9
8 ,R. GROSJEAN ,283.5
20 ,K. MAGNUSSEN ,283.4
30 ,J. PALMER ,282.6
33 ,M. VERSTAPPEN ,282.0
9 ,M. ERICSSON ,281.7
12 ,F. NASR ,278.4
NO ,DRIVER ,KPH
7 ,K. RAIKKONEN ,283.5
5 ,S. VETTEL ,281.9
6 ,N. ROSBERG ,281.6
94 ,P. WEHRLEIN ,280.3
77 ,V. BOTTAS ,280.3
88 ,R. HARYANTO ,280.1
3 ,D. RICCIARDO ,279.6
19 ,F. MASSA ,278.9
27 ,N. HULKENBERG ,278.2
21 ,E. GUTIERREZ ,277.6
44 ,L. HAMILTON ,276.6
22 ,J. BUTTON ,276.5
11 ,S. PEREZ ,276.4
14 ,F. ALONSO ,276.4
26 ,D. KVYAT ,276.2
33 ,M. VERSTAPPEN ,275.2
55 ,C. SAINZ ,274.6
8 ,R. GROSJEAN ,273.7
20 ,K. MAGNUSSEN ,273.6
30 ,J. PALMER ,272.8
9 ,M. ERICSSON ,271.9
12 ,F. NASR ,268.7
NO ,DRIVER ,KPH
44 ,L. HAMILTON ,270.7
7 ,K. RAIKKONEN ,270.4
19 ,F. MASSA ,270.3
33 ,M. VERSTAPPEN ,269.8
88 ,R. HARYANTO ,269.5
77 ,V. BOTTAS ,269.5
6 ,N. ROSBERG ,268.7
11 ,S. PEREZ ,268.3
3 ,D. RICCIARDO ,267.9
94 ,P. WEHRLEIN ,267.8
55 ,C. SAINZ ,267.6
21 ,E. GUTIERREZ ,267.3
8 ,R. GROSJEAN ,267.1
5 ,S. VETTEL ,267.1
9 ,M. ERICSSON ,266.9
27 ,N. HULKENBERG ,266.2
12 ,F. NASR ,265.0
22 ,J. BUTTON ,264.6
26 ,D. KVYAT ,264.6
14 ,F. ALONSO ,264.6
30 ,J. PALMER ,263.6
20 ,K. MAGNUSSEN ,260.9
