NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
8 ,R. GROSJEAN ,Haas F1 Team ,1 ,14:05:35 ,"",1 ,"",58.563 ,58.563
7 ,K. RAIKKONEN ,Scuderia Ferrari ,1 ,14:05:39 ,"",1 ,"",31.134 ,31.134
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,1 ,14:05:46 ,"",1 ,"",29.322 ,29.322
12 ,F. NASR ,Sauber F1 Team ,1 ,14:06:25 ,"",1 ,"",36.854 ,36.854
3 ,D. RICCIARDO ,Red Bull Racing ,3 ,14:08:57 ,"",1 ,"",24.392 ,24.392
26 ,D. KVYAT ,Red Bull Racing ,4 ,14:10:42 ,"",1 ,"",24.084 ,24.084
11 ,S. PEREZ ,Sahara Force India F1 Team ,4 ,14:10:46 ,"",1 ,"",23.215 ,23.215
5 ,S. VETTEL ,Scuderia Ferrari ,4 ,14:10:50 ,"",1 ,"",30.115 ,30.115
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,4 ,14:10:50 ,"",1 ,"",27.683 ,27.683
55 ,C. SAINZ ,Scuderia Toro Rosso ,4 ,14:10:51 ,"",1 ,"",25.754 ,25.754
22 ,J. BUTTON ,McLaren Honda ,4 ,14:10:51 ,"",1 ,"",24.072 ,24.072
77 ,V. BOTTAS ,Williams Martini Racing ,4 ,14:10:52 ,"",1 ,"",22.682 ,22.682
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,4 ,14:10:54 ,"",1 ,"",30.034 ,30.034
9 ,M. ERICSSON ,Sauber F1 Team ,4 ,14:10:56 ,"",1 ,"",23.955 ,23.955
20 ,K. MAGNUSSEN ,Renault Sport F1 Team ,4 ,14:10:58 ,"",1 ,"",23.158 ,23.158
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,5 ,14:13:57 ,"",2 ,"",25.179 ,54.501
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,6 ,14:16:03 ,"",3 ,"",22.301 ,1:16.802
7 ,K. RAIKKONEN ,Scuderia Ferrari ,14 ,14:31:08 ,"",2 ,"",23.296 ,54.430
94 ,P. WEHRLEIN ,Manor Racing MRT ,15 ,14:32:55 ,"",1 ,"",26.969 ,26.969
30 ,J. PALMER ,Renault Sport F1 Team ,15 ,14:33:07 ,"",1 ,"",22.799 ,22.799
14 ,F. ALONSO ,McLaren Honda ,16 ,14:34:30 ,"",1 ,"",22.874 ,22.874
5 ,S. VETTEL ,Scuderia Ferrari ,17 ,14:36:07 ,"",2 ,"",22.276 ,52.391
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,17 ,14:36:22 ,"",2 ,"",23.867 ,51.550
11 ,S. PEREZ ,Sahara Force India F1 Team ,18 ,14:37:55 ,"",2 ,"",22.485 ,45.700
88 ,R. HARYANTO ,Manor Racing MRT ,18 ,14:38:25 ,"",1 ,"",23.183 ,23.183
26 ,D. KVYAT ,Red Bull Racing ,19 ,14:39:28 ,"",2 ,"",22.607 ,46.691
19 ,F. MASSA ,Williams Martini Racing ,19 ,14:39:36 ,"",1 ,"",22.124 ,22.124
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
55 ,C. SAINZ ,Scuderia Toro Rosso ,19 ,14:39:44 ,"",2 ,"",22.832 ,48.586
3 ,D. RICCIARDO ,Red Bull Racing ,19 ,14:39:45 ,"",2 ,"",22.461 ,46.853
21 ,E. GUTIERREZ ,Haas F1 Team ,19 ,14:39:57 ,"",1 ,"",23.878 ,23.878
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,20 ,14:40:58 ,"",1 ,"",22.831 ,22.831
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,20 ,14:41:36 ,"",2 ,"",23.744 ,53.778
20 ,K. MAGNUSSEN ,Renault Sport F1 Team ,20 ,14:41:50 ,"",2 ,"",23.257 ,46.415
8 ,R. GROSJEAN ,Haas F1 Team ,20 ,14:41:52 ,"",2 ,"",24.615 ,1:23.178
12 ,F. NASR ,Sauber F1 Team ,20 ,14:42:01 ,"",2 ,"",23.735 ,1:00.589
77 ,V. BOTTAS ,Williams Martini Racing ,21 ,14:43:09 ,"",2 ,"",22.630 ,45.312
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,21 ,14:43:15 ,"",4 ,"",22.626 ,1:39.428
30 ,J. PALMER ,Renault Sport F1 Team ,24 ,14:49:09 ,"",2 ,"",23.280 ,46.079
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,26 ,14:52:18 ,"",3 ,"",29.570 ,1:21.120
22 ,J. BUTTON ,McLaren Honda ,27 ,14:53:52 ,"",2 ,"",23.029 ,47.101
94 ,P. WEHRLEIN ,Manor Racing MRT ,27 ,14:54:13 ,"",2 ,"",24.104 ,51.073
11 ,S. PEREZ ,Sahara Force India F1 Team ,28 ,14:55:33 ,"",3 ,"",22.351 ,1:08.051
9 ,M. ERICSSON ,Sauber F1 Team ,28 ,14:55:48 ,"",2 ,"",23.563 ,47.518
88 ,R. HARYANTO ,Manor Racing MRT ,28 ,14:56:08 ,"",2 ,"",24.635 ,47.818
77 ,V. BOTTAS ,Williams Martini Racing ,30 ,14:58:55 ,"",3 ,"",22.747 ,1:08.059
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,30 ,14:59:03 ,"",5 ,"",22.698 ,2:02.126
19 ,F. MASSA ,Williams Martini Racing ,31 ,15:00:34 ,"",2 ,"",23.349 ,45.473
14 ,F. ALONSO ,McLaren Honda ,32 ,15:02:40 ,"",2 ,"",22.927 ,45.801
55 ,C. SAINZ ,Scuderia Toro Rosso ,33 ,15:04:13 ,"",3 ,"",24.269 ,1:12.855
8 ,R. GROSJEAN ,Haas F1 Team ,33 ,15:04:55 ,"",3 ,"",23.342 ,1:46.520
21 ,E. GUTIERREZ ,Haas F1 Team ,34 ,15:06:14 ,"",2 ,"",22.963 ,46.841
26 ,D. KVYAT ,Red Bull Racing ,35 ,15:07:13 ,"",3 ,"",22.684 ,1:09.375
5 ,S. VETTEL ,Scuderia Ferrari ,35 ,15:07:15 ,"",3 ,"",22.350 ,1:14.741
20 ,K. MAGNUSSEN ,Renault Sport F1 Team ,35 ,15:08:20 ,"",3 ,"",22.677 ,1:09.092
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,36 ,15:08:27 ,"",2 ,"",23.559 ,46.390
3 ,D. RICCIARDO ,Red Bull Racing ,37 ,15:10:56 ,"",3 ,"",22.426 ,1:09.279
7 ,K. RAIKKONEN ,Scuderia Ferrari ,37 ,15:11:04 ,"",3 ,"",22.832 ,1:17.262
30 ,J. PALMER ,Renault Sport F1 Team ,38 ,15:13:56 ,"",3 ,"",24.099 ,1:10.178
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,39 ,15:14:39 ,"",3 ,"",23.130 ,1:16.908
12 ,F. NASR ,Sauber F1 Team ,40 ,15:17:07 ,"",3 ,"",25.357 ,1:25.946
88 ,R. HARYANTO ,Manor Racing MRT ,40 ,15:17:16 ,"",3 ,"",24.369 ,1:12.187
21 ,E. GUTIERREZ ,Haas F1 Team ,43 ,15:21:59 ,"",3 ,"",23.070 ,1:09.911
94 ,P. WEHRLEIN ,Manor Racing MRT ,43 ,15:22:12 ,"",3 ,"",24.274 ,1:15.347
22 ,J. BUTTON ,McLaren Honda ,44 ,15:23:28 ,"",3 ,"",22.510 ,1:09.611
8 ,R. GROSJEAN ,Haas F1 Team ,44 ,15:24:06 ,"",4 ,"",23.284 ,2:09.804
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,46 ,15:27:09 ,"",4 ,"",22.790 ,1:43.910
