SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
27 ,N. HULKENBERG ,26.355
22 ,J. BUTTON ,26.360
6 ,N. ROSBERG ,26.431
8 ,R. GROSJEAN ,26.434
5 ,S. VETTEL ,26.490
44 ,L. HAMILTON ,26.493
7 ,K. RAIKKONEN ,26.515
12 ,F. NASR ,26.531
77 ,V. BOTTAS ,26.558
21 ,E. GUTIERREZ ,26.559
55 ,C. SAINZ ,26.590
33 ,M. VERSTAPPEN ,26.633
94 ,P. WEHRLEIN ,26.637
3 ,D. RICCIARDO ,26.656
88 ,R. HARYANTO ,26.688
11 ,S. PEREZ ,26.733
26 ,D. KVYAT ,26.788
19 ,F. MASSA ,26.804
20 ,K. MAGNUSSEN ,26.850
30 ,J. PALMER ,26.867
14 ,F. ALONSO ,26.921
9 ,M. ERICSSON ,27.201
NO ,DRIVER ,TIME
22 ,J. BUTTON ,29.913
44 ,L. HAMILTON ,30.020
7 ,K. RAIKKONEN ,30.125
8 ,R. GROSJEAN ,30.157
27 ,N. HULKENBERG ,30.250
5 ,S. VETTEL ,30.265
21 ,E. GUTIERREZ ,30.296
33 ,M. VERSTAPPEN ,30.317
6 ,N. ROSBERG ,30.344
3 ,D. RICCIARDO ,30.408
30 ,J. PALMER ,30.430
12 ,F. NASR ,30.488
26 ,D. KVYAT ,30.562
11 ,S. PEREZ ,30.574
19 ,F. MASSA ,30.839
20 ,K. MAGNUSSEN ,30.855
88 ,R. HARYANTO ,30.928
55 ,C. SAINZ ,30.940
77 ,V. BOTTAS ,30.963
94 ,P. WEHRLEIN ,31.006
14 ,F. ALONSO ,31.107
9 ,M. ERICSSON ,31.260
NO ,DRIVER ,TIME
5 ,S. VETTEL ,42.618
8 ,R. GROSJEAN ,42.957
22 ,J. BUTTON ,43.028
3 ,D. RICCIARDO ,43.137
27 ,N. HULKENBERG ,43.186
6 ,N. ROSBERG ,43.200
7 ,K. RAIKKONEN ,43.251
44 ,L. HAMILTON ,43.282
21 ,E. GUTIERREZ ,43.332
77 ,V. BOTTAS ,43.429
33 ,M. VERSTAPPEN ,43.449
12 ,F. NASR ,43.563
94 ,P. WEHRLEIN ,43.599
11 ,S. PEREZ ,43.689
55 ,C. SAINZ ,43.762
30 ,J. PALMER ,43.861
26 ,D. KVYAT ,43.911
20 ,K. MAGNUSSEN ,43.958
19 ,F. MASSA ,43.973
88 ,R. HARYANTO ,44.049
14 ,F. ALONSO ,44.054
9 ,M. ERICSSON ,44.192
