INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
44 ,L. HAMILTON ,293.6
6 ,N. ROSBERG ,292.8
5 ,S. VETTEL ,288.2
13 ,P. MALDONADO ,288.0
19 ,F. MASSA ,287.8
77 ,V. BOTTAS ,286.9
12 ,F. NASR ,286.5
8 ,R. GROSJEAN ,286.2
9 ,M. ERICSSON ,285.2
27 ,N. HULKENBERG ,284.7
11 ,S. PEREZ ,284.4
7 ,K. RAIKKONEN ,284.0
3 ,D. RICCIARDO ,282.2
26 ,D. KVYAT ,280.5
22 ,J. BUTTON ,278.2
14 ,F. ALONSO ,278.2
33 ,M. VERSTAPPEN ,278.1
55 ,C. SAINZ ,276.7
28 ,W. STEVENS ,274.6
98 ,R. MERHI ,269.5
NO ,DRIVER ,KPH
6 ,N. ROSBERG ,235.3
19 ,F. MASSA ,234.7
3 ,D. RICCIARDO ,233.8
44 ,L. HAMILTON ,233.0
5 ,S. VETTEL ,232.8
11 ,S. PEREZ ,231.2
26 ,D. KVYAT ,230.9
8 ,R. GROSJEAN ,230.7
77 ,V. BOTTAS ,230.3
9 ,M. ERICSSON ,230.2
27 ,N. HULKENBERG ,229.8
12 ,F. NASR ,228.8
33 ,M. VERSTAPPEN ,228.1
13 ,P. MALDONADO ,228.1
55 ,C. SAINZ ,227.4
14 ,F. ALONSO ,227.1
7 ,K. RAIKKONEN ,226.3
22 ,J. BUTTON ,225.5
28 ,W. STEVENS ,223.4
98 ,R. MERHI ,221.4
NO ,DRIVER ,KPH
6 ,N. ROSBERG ,258.6
44 ,L. HAMILTON ,256.7
8 ,R. GROSJEAN ,256.0
19 ,F. MASSA ,255.6
12 ,F. NASR ,255.2
9 ,M. ERICSSON ,255.1
11 ,S. PEREZ ,254.8
26 ,D. KVYAT ,254.4
3 ,D. RICCIARDO ,254.2
5 ,S. VETTEL ,253.5
13 ,P. MALDONADO ,253.4
77 ,V. BOTTAS ,252.9
7 ,K. RAIKKONEN ,252.6
27 ,N. HULKENBERG ,251.9
55 ,C. SAINZ ,250.4
14 ,F. ALONSO ,249.7
33 ,M. VERSTAPPEN ,249.4
22 ,J. BUTTON ,248.3
28 ,W. STEVENS ,243.5
98 ,R. MERHI ,241.7
